intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-REC-RISK-000001,RISK,DECISION,DEC-000001,Recommendation-000001,Recommendation Execution Risk,22,Low,0.97,Operational Context,MODEL-REC-RISK-001,2026-07-05,2026-08-05,Active,
INT-REC-RISK-000002,RISK,DECISION,DEC-000002,Recommendation-000002,Business Risk if Ignored,91,Critical,0.98,Business Impact Assessment,MODEL-REC-RISK-001,2026-07-05,2026-08-05,Active,
INT-REC-RISK-000003,RISK,DECISION,DEC-000003,Recommendation-000003,Customer Dissatisfaction Risk,61,Medium,0.95,Customer Context,MODEL-REC-RISK-002,2026-07-05,2026-08-05,Active,
INT-REC-RISK-000004,RISK,DECISION,DEC-000004,Recommendation-000004,Financial Exposure Risk,83,High,0.97,Financial Analytics,MODEL-REC-RISK-002,2026-07-05,2026-08-05,Active,
INT-REC-RISK-000005,RISK,DECISION,DEC-000005,Recommendation-000005,Operational Delay Risk,47,Medium,0.93,Operations Context,MODEL-REC-RISK-003,2026-07-05,2026-08-05,Active,
INT-REC-RISK-000006,RISK,DECISION,DEC-000006,Recommendation-000006,Compliance Risk,18,Low,0.99,Regulatory Rules,MODEL-REC-RISK-003,2026-07-05,2026-08-05,Active,
INT-REC-RISK-000007,RISK,DECISION,DEC-000007,Recommendation-000007,Fraud Escalation Risk,79,High,0.96,Fraud Intelligence,MODEL-REC-RISK-004,2026-07-05,2026-08-05,Active,
INT-REC-RISK-000008,RISK,DECISION,DEC-000008,Recommendation-000008,Recommendation Failure Risk,38,Low,0.94,Historical Outcomes,MODEL-REC-RISK-004,2026-07-05,2026-08-05,Active,
INT-REC-RISK-000009,RISK,DECISION,DEC-000009,Recommendation-000009,Resource Utilization Risk,58,Medium,0.93,Operations Analytics,MODEL-REC-RISK-005,2026-07-05,2026-08-05,Active,
INT-REC-RISK-000010,RISK,DECISION,DEC-000010,Recommendation-000010,Overall Recommendation Risk,34,Low,0.98,Combined Intelligence,MODEL-REC-RISK-005,2026-07-05,2026-08-05,Active,
INT-REC-RISK-000011,RISK,DECISION,DEC-000011,Recommendation-000011,Legal Risk,44,Medium,0.92,Legal Assessment,MODEL-REC-RISK-006,2026-07-05,2026-08-05,Active,
INT-REC-RISK-000012,RISK,DECISION,DEC-000012,Recommendation-000012,Reputation Risk,53,Medium,0.93,Customer Analytics,MODEL-REC-RISK-006,2026-07-05,2026-08-05,Active,
INT-REC-RISK-000013,RISK,DECISION,DEC-000013,Recommendation-000013,Implementation Complexity Risk,65,High,0.95,Operational Analytics,MODEL-REC-RISK-007,2026-07-05,2026-08-05,Active,
INT-REC-RISK-000014,RISK,DECISION,DEC-000014,Recommendation-000014,Decision Reversal Risk,29,Low,0.91,Historical Decisions,MODEL-REC-RISK-007,2026-07-05,2026-08-05,Active,
INT-REC-RISK-000015,RISK,DECISION,DEC-000015,Recommendation-000015,Enterprise Decision Risk,27,Low,0.98,Recommendation Engine,MODEL-REC-RISK-008,2026-07-05,2026-08-05,Active,
