intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-VEH-IDX-000001,INDEX,VEHICLE,VH-000001,Vehicle-000001,Vehicle Health Score,94,Excellent,0.98,Multiple Observations,MODEL-VEH-IDX-001,2026-07-01,2026-12-31,Active,
INT-VEH-IDX-000002,INDEX,VEHICLE,VH-000002,Vehicle-000002,Operational Efficiency Index,88,High,0.96,Multiple Observations,MODEL-VEH-IDX-001,2026-07-01,2026-12-31,Active,
INT-VEH-IDX-000003,INDEX,VEHICLE,VH-000003,Vehicle-000003,Engine Health Index,81,High,0.95,OBS-VEH2-000003,MODEL-VEH-IDX-002,2026-07-01,2026-12-31,Active,
INT-VEH-IDX-000004,INDEX,VEHICLE,VH-000004,Vehicle-000004,Powertrain Reliability Index,79,High,0.94,Multiple Observations,MODEL-VEH-IDX-002,2026-07-01,2026-12-31,Active,
INT-VEH-IDX-000005,INDEX,VEHICLE,VH-000005,Vehicle-000005,Brake Health Score,92,Excellent,0.97,OBS-VEH3-000005,MODEL-VEH-IDX-003,2026-07-01,2026-12-31,Active,
INT-VEH-IDX-000006,INDEX,VEHICLE,VH-000006,Vehicle-000006,Tyre Wear Index,74,Medium,0.93,OBS-VEH3-000004,MODEL-VEH-IDX-003,2026-07-01,2026-12-31,Active,
INT-VEH-IDX-000007,INDEX,VEHICLE,VH-000007,Vehicle-000007,Battery Health Index,89,High,0.95,OBS-VEH3-000002,MODEL-VEH-IDX-004,2026-07-01,2026-12-31,Active,
INT-VEH-IDX-000008,INDEX,VEHICLE,VH-000008,Vehicle-000008,Fuel Efficiency Index,84,High,0.94,OBS-VEH2-000004,MODEL-VEH-IDX-004,2026-07-01,2026-12-31,Active,
INT-VEH-IDX-000009,INDEX,VEHICLE,VH-000009,Vehicle-000009,Maintenance Compliance Index,77,Medium,0.93,OBS-VEH3-000006;OBS-VEH3-000011,MODEL-VEH-IDX-005,2026-07-01,2026-12-31,Active,
INT-VEH-IDX-000010,INDEX,VEHICLE,VH-000010,Vehicle-000010,Usage Intensity Index,83,High,0.94,OBS-VEH1-000001;OBS-VEH1-000005,MODEL-VEH-IDX-005,2026-07-01,2026-12-31,Active,
INT-VEH-IDX-000011,INDEX,VEHICLE,VH-000011,Vehicle-000011,Mechanical Reliability Index,73,Medium,0.92,Multiple Observations,MODEL-VEH-IDX-006,2026-07-01,2026-12-31,Active,
INT-VEH-IDX-000012,INDEX,VEHICLE,VH-000012,Vehicle-000012,Remaining Useful Life Index,69,Medium,0.91,Multiple Observations,MODEL-VEH-IDX-006,2026-07-01,2026-12-31,Active,
