intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-CLM-IDX-000001,INDEX,CLAIM,CLM-000001,Claim-000001,Claim Health Index,94,Excellent,0.98,Combined Observations,MODEL-CLM-IDX-001,2026-07-01,2026-12-31,Active,
INT-CLM-IDX-000002,INDEX,CLAIM,CLM-000002,Claim-000002,Severity Index,81,High,0.96,Damage Assessment,MODEL-CLM-IDX-001,2026-07-01,2026-12-31,Active,
INT-CLM-IDX-000003,INDEX,CLAIM,CLM-000003,Claim-000003,Repair Complexity Index,73,Medium,0.95,Repair Estimate,MODEL-CLM-IDX-002,2026-07-01,2026-12-31,Active,
INT-CLM-IDX-000004,INDEX,CLAIM,CLM-000004,Claim-000004,Documentation Completeness Index,96,Excellent,0.98,Document Verification,MODEL-CLM-IDX-002,2026-07-01,2026-12-31,Active,
INT-CLM-IDX-000005,INDEX,CLAIM,CLM-000005,Claim-000005,Fraud Suspicion Index,69,High,0.95,Fraud Analysis,MODEL-CLM-IDX-003,2026-07-01,2026-12-31,Active,
INT-CLM-IDX-000006,INDEX,CLAIM,CLM-000006,Claim-000006,Settlement Confidence Index,91,High,0.97,Settlement Engine,MODEL-CLM-IDX-003,2026-07-01,2026-12-31,Active,
INT-CLM-IDX-000007,INDEX,CLAIM,CLM-000007,Claim-000007,Recovery Potential Index,63,Medium,0.92,Recovery Analysis,MODEL-CLM-IDX-004,2026-07-01,2026-12-31,Active,
INT-CLM-IDX-000008,INDEX,CLAIM,CLM-000008,Claim-000008,Investigation Priority Index,84,High,0.96,Combined Intelligence,MODEL-CLM-IDX-004,2026-07-01,2026-12-31,Active,
INT-CLM-IDX-000009,INDEX,CLAIM,CLM-000009,Claim-000009,Customer Experience Index,87,High,0.94,Customer Feedback,MODEL-CLM-IDX-005,2026-07-01,2026-12-31,Active,
INT-CLM-IDX-000010,INDEX,CLAIM,CLM-000010,Claim-000010,Operational Efficiency Index,89,High,0.95,Workflow Metrics,MODEL-CLM-IDX-005,2026-07-01,2026-12-31,Active,
INT-CLM-IDX-000011,INDEX,CLAIM,CLM-000011,Claim-000011,Reserve Accuracy Index,92,Excellent,0.97,Reserve Engine,MODEL-CLM-IDX-006,2026-07-01,2026-12-31,Active,
INT-CLM-IDX-000012,INDEX,CLAIM,CLM-000012,Claim-000012,Evidence Strength Index,95,Excellent,0.98,Evidence Analysis,MODEL-CLM-IDX-006,2026-07-01,2026-12-31,Active,
INT-CLM-IDX-000013,INDEX,CLAIM,CLM-000013,Claim-000013,Litigation Probability Index,41,Low,0.90,Legal Analysis,MODEL-CLM-IDX-007,2026-07-01,2026-12-31,Active,
INT-CLM-IDX-000014,INDEX,CLAIM,CLM-000014,Claim-000014,Automation Readiness Index,88,High,0.95,STP Engine,MODEL-CLM-IDX-007,2026-07-01,2026-12-31,Active,
INT-CLM-IDX-000015,INDEX,CLAIM,CLM-000015,Claim-000015,Overall Claim Quality Index,93,Excellent,0.98,Combined Intelligence,MODEL-CLM-IDX-008,2026-07-01,2026-12-31,Active,
