playbook_id,issue_type,user_symptom,first_action,insurer_tat_days,escalation_channel,ombudsman_applicable,ombudsman_rule,required_evidence,grounded_knowledge_ids,provenance,plain_language_script
CP001,delay_claim_settlement,My insurer has not settled my motor claim on time.,"Raise the complaint with the insurer’s grievance officer first and capture claim number, accident date and pending document list.",15,IRDAI/Bima Bharosa,Conditional,"If insurer does not respond within 15 days, escalate to IRDAI; Ombudsman is available after rejection / non-resolution / 30 days non-response subject to personal-lines conditions.","Claim form, policy copy, claim intimation proof, repair estimate","RK005,RK008,RK015",report-informed,"Start with the insurer. If they do not resolve the issue within 15 days, move to IRDAI/Bima Bharosa. Keep all proofs ready: Claim form, policy copy, claim intimation proof, repair estimate."
CP002,partial_claim_rejection,Only part of my repair bill was approved.,"Ask for the insurer’s written break-up showing depreciation, deductibles, exclusions and non-payable items.",15,IRDAI/Bima Bharosa,Yes,"Premium disputes, partial repudiation and policy interpretation are Ombudsman-covered grounds for eligible individual policies.","Settlement letter, surveyor report, invoice, policy schedule","RK008,RK009,RK010",report-informed,"Start with the insurer. If they do not resolve the issue within 15 days, move to IRDAI/Bima Bharosa. Keep all proofs ready: Settlement letter, surveyor report, invoice, policy schedule."
CP003,total_claim_rejection,My own-damage or health claim was fully rejected.,"Request a written repudiation letter citing policy clause, exclusion and factual basis.",15,IRDAI/Bima Bharosa,Yes,Total repudiation is an Ombudsman ground for eligible individual policies up to the monetary cap.,"Repudiation letter, proposal form, policy wording, evidence of loss","RK008,RK010",report-informed,"Start with the insurer. If they do not resolve the issue within 15 days, move to IRDAI/Bima Bharosa. Keep all proofs ready: Repudiation letter, proposal form, policy wording, evidence of loss."
CP004,premium_dispute,The insurer says I owe more premium / renewal premium changed unexpectedly.,"Ask for premium calculation, endorsement trail and whether claim history or slab changes affected pricing.",15,IRDAI/Bima Bharosa,Yes,Disputes on premium paid or payable can go to the Ombudsman for eligible personal policies.,"Receipt, schedule, endorsement copies, renewal quote comparison","RK008,RK014",report-informed,"Start with the insurer. If they do not resolve the issue within 15 days, move to IRDAI/Bima Bharosa. Keep all proofs ready: Receipt, schedule, endorsement copies, renewal quote comparison."
CP005,policy_misrepresentation,The policy sold to me is not what the seller explained.,"Capture seller channel, sales script, brochure, proposal form and the mismatch between promised and issued coverage.",15,IRDAI/Bima Bharosa,Yes,Misrepresentation of policy terms is an Ombudsman ground; flag possible mis-selling.,"Proposal form, brochure, welcome kit, call/chat transcript","RK001,RK009,RK010",report-informed,"Start with the insurer. If they do not resolve the issue within 15 days, move to IRDAI/Bima Bharosa. Keep all proofs ready: Proposal form, brochure, welcome kit, call/chat transcript."
CP006,policy_not_matching_proposal,My issued policy does not match the proposal I signed.,"Compare issued schedule against proposal form field by field; note sum insured, add-ons, IDV and nominee details.",15,IRDAI/Bima Bharosa,Yes,Issuance not in conformity with proposal form is an Ombudsman ground.,"Proposal form, policy schedule, payment proof","RK008,RK013",report-informed,"Start with the insurer. If they do not resolve the issue within 15 days, move to IRDAI/Bima Bharosa. Keep all proofs ready: Proposal form, policy schedule, payment proof."
CP007,non_issuance_after_premium,Premium was collected but the policy was not issued.,"Ask for payment reference, insurer acknowledgement and risk commencement status.",15,IRDAI/Bima Bharosa,Yes,Non-issuance after receipt of premium can go to the Ombudsman for eligible cases.,"Payment proof, proposal number, email/SMS acknowledgements","RK008,RK015",report-informed,"Start with the insurer. If they do not resolve the issue within 15 days, move to IRDAI/Bima Bharosa. Keep all proofs ready: Payment proof, proposal number, email/SMS acknowledgements."
CP008,policy_servicing_issue,Endorsement / address change / NCB update is stuck.,Log a service ticket with insurer and retain timestamped proof of request.,15,IRDAI/Bima Bharosa,Yes,"Policy-servicing grievances against insurer, agents or intermediaries are Ombudsman grounds if personal-lines conditions are met.","Ticket number, policy copy, endorsement request","RK007,RK008",report-informed,"Start with the insurer. If they do not resolve the issue within 15 days, move to IRDAI/Bima Bharosa. Keep all proofs ready: Ticket number, policy copy, endorsement request."
CP009,spurious_calls,I received suspicious calls claiming to be from IRDAI / insurer.,"Do not pay; record number, message content and report to insurer plus regulator complaint channels.",0,Insurer + regulator awareness/reporting channel,No,Treat as fraud / unfair business practice rather than coverage dispute.,"Call log, screenshots, payment request proof","RK009,RK010",report-informed,"Start with the insurer. If they do not resolve the issue within 0 days, move to Insurer + regulator awareness/reporting channel. Keep all proofs ready: Call log, screenshots, payment request proof."
CP010,mis_selling,I was pushed into an unsuitable product.,"Document why the product was unsuitable relative to your age, use case, budget and disclosure received.",15,IRDAI/Bima Bharosa,Conditional,May be framed as misrepresentation / policy mismatch / unfair business practice depending facts.,"Suitability mismatch note, policy doc, sales proof","RK001,RK009,RK010",report-informed,"Start with the insurer. If they do not resolve the issue within 15 days, move to IRDAI/Bima Bharosa. Keep all proofs ready: Suitability mismatch note, policy doc, sales proof."
