reference_id,code,name,description,status,effective_date,expiry_date,source_authority,remarks
REF-LANG-000001,AS,Assamese,Scheduled Language,Active,1950-01-26,,Government of India,
REF-LANG-000002,BN,Bengali,Scheduled Language,Active,1950-01-26,,Government of India,
REF-LANG-000003,BO,Bodo,Scheduled Language,Active,2003-01-07,,Government of India,
REF-LANG-000004,DOG,Dogri,Scheduled Language,Active,2003-01-07,,Government of India,
REF-LANG-000005,EN,English,Official Associate Language,Active,1950-01-26,,Government of India,
REF-LANG-000006,GU,Gujarati,Scheduled Language,Active,1950-01-26,,Government of India,
REF-LANG-000007,HI,Hindi,Official Language,Active,1950-01-26,,Government of India,
REF-LANG-000008,KN,Kannada,Scheduled Language,Active,1950-01-26,,Government of India,
REF-LANG-000009,KS,Kashmiri,Scheduled Language,Active,1950-01-26,,Government of India,
REF-LANG-000010,KOK,Konkani,Scheduled Language,Active,1992-08-31,,Government of India,
REF-LANG-000011,MAI,Maithili,Scheduled Language,Active,2003-01-07,,Government of India,
REF-LANG-000012,ML,Malayalam,Scheduled Language,Active,1950-01-26,,Government of India,
REF-LANG-000013,MNI,Manipuri,Scheduled Language,Active,1992-08-31,,Government of India,
REF-LANG-000014,MR,Marathi,Scheduled Language,Active,1950-01-26,,Government of India,
REF-LANG-000015,NE,Nepali,Scheduled Language,Active,1992-08-31,,Government of India,
REF-LANG-000016,OR,Odia,Scheduled Language,Active,1950-01-26,,Government of India,
REF-LANG-000017,PA,Punjabi,Scheduled Language,Active,1950-01-26,,Government of India,
REF-LANG-000018,SA,Sanskrit,Scheduled Language,Active,1950-01-26,,Government of India,
REF-LANG-000019,SAT,Santhali,Scheduled Language,Active,2003-01-07,,Government of India,
REF-LANG-000020,SD,Sindhi,Scheduled Language,Active,1967-04-10,,Government of India,
REF-LANG-000021,TA,Tamil,Scheduled Language,Active,1950-01-26,,Government of India,
REF-LANG-000022,TE,Telugu,Scheduled Language,Active,1950-01-26,,Government of India,
REF-LANG-000023,UR,Urdu,Scheduled Language,Active,1950-01-26,,Government of India,
