template_id,template_name,template_category,trigger_condition,template_structure,required_variables,output_format,audience,explainability_level,example_output,status
TEMP-000001,Fast Track Settlement,Claims,LowRiskClaim=True,"Because {fraud_score}, {claim_severity}, and {document_status}, recommend {action}.","fraud_score|claim_severity|document_status|action",Natural Language,Claims Adjuster,High,"Because fraud risk is low, claim severity is moderate, and all documents are verified, the claim is recommended for fast-track settlement.",Active
TEMP-000002,SIU Investigation,Fraud,FraudRisk>=90,"Because {fraud_score}, {network_score}, and {document_risk}, recommend {action}.","fraud_score|network_score|document_risk|action",Natural Language,Fraud Investigator,High,"Multiple fraud indicators suggest assigning the claim to SIU.",Active
TEMP-000003,Coverage Recommendation,Insurance,CoverageGap=True,"Current coverage is insufficient due to {coverage_gap}. Recommend {action}.","coverage_gap|action",Natural Language,Sales Advisor,Medium,"Coverage gap detected. Recommend comprehensive coverage.",Active
TEMP-000004,Vehicle Maintenance,Vehicle,VehicleHealth<70,"Vehicle health score of {vehicle_health} suggests {action}.","vehicle_health|action",Natural Language,Customer,Medium,"Vehicle diagnostics recommend preventive maintenance.",Active
TEMP-000005,Safe Driving,Driver,DrivingRisk>75,"Driving behavior indicates {driving_risk}. Recommend {action}.","driving_risk|action",Natural Language,Customer,Medium,"Aggressive driving detected. Recommend safe-driving coaching.",Active
TEMP-000006,Reserve Increase,Claims,RepairCost>Reserve,"Estimated repair cost exceeds reserve. Recommend {action}.","repair_cost|reserve|action",Natural Language,Claims Manager,High,"Reserve increase recommended.",Active
TEMP-000007,Compliance Review,Regulatory,ComplianceScore<85,"Regulatory rule {rule} requires {action}.","rule|action",Natural Language,Compliance Officer,Very High,"Compliance review required before execution.",Active
TEMP-000008,Human Review,Recommendation,Confidence<0.70,"AI confidence is {confidence}. Recommend {action}.","confidence|action",Natural Language,Operations,High,"Manual review recommended due to low confidence.",Active
TEMP-000009,Automatic Execution,Recommendation,Confidence>=0.95,"Confidence of {confidence} enables {action}.","confidence|action",Natural Language,Operations,Medium,"Recommendation executed automatically.",Active
TEMP-000010,Enterprise Decision,Enterprise,DecisionReadiness>=90,"Based on {evidence_summary}, execute {action}.","evidence_summary|action",Natural Language,Executive,Very High,"Enterprise recommendation generated successfully.",Active
