intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-VEH-ALT-000001,ALERT,VEHICLE,VH-000001,Vehicle-000001,Engine Overheating Alert,94,Critical,0.98,OBS-VEH2-000003,MODEL-VEH-ALT-001,2026-07-01,2026-07-01,Active,
INT-VEH-ALT-000002,ALERT,VEHICLE,VH-000002,Vehicle-000002,Low Battery Alert,89,High,0.96,OBS-VEH3-000002,MODEL-VEH-ALT-001,2026-07-01,2026-07-03,Active,
INT-VEH-ALT-000003,ALERT,VEHICLE,VH-000003,Vehicle-000003,Low Tyre Pressure Alert,86,High,0.95,OBS-VEH3-000003,MODEL-VEH-ALT-002,2026-07-01,2026-07-02,Active,
INT-VEH-ALT-000004,ALERT,VEHICLE,VH-000004,Vehicle-000004,Brake Wear Alert,82,High,0.94,OBS-VEH3-000005,MODEL-VEH-ALT-002,2026-07-01,2026-07-10,Active,
INT-VEH-ALT-000005,ALERT,VEHICLE,VH-000005,Vehicle-000005,Service Due Alert,80,Medium,0.93,OBS-VEH3-000006,MODEL-VEH-ALT-003,2026-07-01,2026-07-30,Active,
INT-VEH-ALT-000006,ALERT,VEHICLE,VH-000006,Vehicle-000006,Oil Change Alert,77,Medium,0.92,Workshop Records,MODEL-VEH-ALT-003,2026-07-01,2026-07-15,Active,
INT-VEH-ALT-000007,ALERT,VEHICLE,VH-000007,Vehicle-000007,Coolant Level Alert,84,High,0.94,OBD Telemetry,MODEL-VEH-ALT-004,2026-07-01,2026-07-03,Active,
INT-VEH-ALT-000008,ALERT,VEHICLE,VH-000008,Vehicle-000008,Powertrain Fault Alert,92,Critical,0.97,DTC Logs,MODEL-VEH-ALT-004,2026-07-01,2026-07-02,Active,
INT-VEH-ALT-000009,ALERT,VEHICLE,VH-000009,Vehicle-000009,High Engine Load Alert,74,Medium,0.91,OBS-VEH2-000002,MODEL-VEH-ALT-005,2026-07-01,2026-07-01,Active,
INT-VEH-ALT-000010,ALERT,VEHICLE,VH-000010,Vehicle-000010,Excessive Idling Alert,69,Medium,0.90,OBS-VEH1-000006,MODEL-VEH-ALT-005,2026-07-01,2026-07-01,Active,
INT-VEH-ALT-000011,ALERT,VEHICLE,VH-000011,Vehicle-000011,Frequent Hard Braking Alert,81,High,0.93,OBS-VEH2-000006,MODEL-VEH-ALT-006,2026-07-01,2026-07-07,Active,
INT-VEH-ALT-000012,ALERT,VEHICLE,VH-000012,Vehicle-000012,Predictive Maintenance Alert,88,High,0.95,Multiple Observations,MODEL-VEH-ALT-006,2026-07-01,2026-08-01,Active,
