schema_id,entity_id,attribute_name,business_definition,data_type,required,derived,derived_from,default_value,validation_rule,reference_catalog,collection_source,privacy_class,example_value,ai_importance,remarks
SCH-CLM-000001,ENT-CLM-000001,claim_identifier,Unique identifier assigned to the claim.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,CLM-100001,Critical,
SCH-CLM-000002,ENT-CLM-000001,claim_number,Official claim number.,String,Yes,No,,,Required;Unique,,Insurance Company,Internal,CLM2026001234,Critical,
SCH-CLM-000003,ENT-CLM-000001,claim_type,Classification of claim.,Enumeration,Yes,No,,,Reference Integrity,Claim Type Master,Business,Internal,Own Damage,Critical,
SCH-CLM-000004,ENT-CLM-000001,claim_status,Current workflow status.,Enumeration,Yes,Yes,lifecycle_stage,,Reference Integrity,Workflow Status Master,Derived,Internal,Open,Critical,
SCH-CLM-000005,ENT-CLM-000001,claim_registration_date,Date of claim registration.,Date,Yes,No,,,ISO Date,,Business,Internal,2026-08-12,High,
SCH-CLM-000006,ENT-CLM-000001,claim_priority,Business priority.,Enumeration,Yes,Yes,severity_assessment,,Reference Integrity,Priority Master,Derived,Internal,High,Medium,
SCH-CLM-000007,ENT-CLM-000001,claim_source,Channel through which claim was initiated.,Enumeration,Yes,No,,,Reference Integrity,Channel Master,Business,Internal,Mobile App,Medium,
SCH-CLM-000008,ENT-CLM-000001,policy_identifier,Referenced issued policy.,Identifier,Yes,No,,,Reference Integrity,Policy Identifier Master,Policy,Internal,POL-100001,Critical,
SCH-CLM-000009,ENT-CLM-000001,claim_summary,Simplified explanation of claim.,Text,Yes,Yes,claim_type,,Domain Constraint,,Derived,Public,Own damage claim.,Low,
SCH-CLM-000010,ENT-CLM-000002,notification_timestamp,FNOL submission timestamp.,DateTime,Yes,No,,,ISO DateTime,,Business,Internal,2026-08-12T09:32:00,Medium,
SCH-CLM-000011,ENT-CLM-000002,notification_channel,Channel used for reporting.,Enumeration,Yes,No,,,Reference Integrity,Channel Master,Business,Internal,Mobile App,Medium,
SCH-CLM-000012,ENT-CLM-000002,reporter_type,Type of reporting person.,Enumeration,Yes,No,,,Reference Integrity,Reporter Type Master,Business,Internal,Policyholder,Medium,
SCH-CLM-000013,ENT-CLM-000002,incident_description,Initial description of reported loss.,Text,Yes,No,,,,,Customer,Internal,Vehicle hit divider.,High,
SCH-CLM-000014,ENT-CLM-000002,emergency_assistance_requested,Emergency assistance indicator.,Boolean,Yes,No,,,,,Customer,Internal,True,Medium,
SCH-CLM-000015,ENT-CLM-000002,police_report_available,FIR availability.,Boolean,Yes,No,,,,,Customer,Internal,True,Medium,
SCH-CLM-000016,ENT-CLM-000002,notification_completeness,Completeness score.,Enumeration,Yes,Yes,document_validation,,Reference Integrity,Completeness Master,Derived,Internal,Complete,Medium,
SCH-CLM-000017,ENT-CLM-000002,notification_summary,Simplified FNOL summary.,Text,Yes,Yes,incident_description,,Domain Constraint,,Derived,Public,Collision reported via app.,Low,
SCH-CLM-000018,ENT-CLM-000003,loss_event_type,Classification of loss event.,Enumeration,Yes,No,,,Reference Integrity,Loss Event Master,Business,Internal,Collision,Critical,
SCH-CLM-000019,ENT-CLM-000003,loss_date,Date of insured event.,Date,Yes,No,,,ISO Date,,Business,Internal,2026-08-11,High,
SCH-CLM-000020,ENT-CLM-000003,loss_time,Time of insured event.,Time,Yes,No,,,ISO Time,,Business,Internal,18:45,Medium,
SCH-CLM-000021,ENT-CLM-000003,loss_location,Location of insured event.,String,Yes,No,,,,,Business,Internal,Pune,Medium,
SCH-CLM-000022,ENT-CLM-000003,weather_condition,Weather during incident.,Enumeration,No,No,,,Reference Integrity,Weather Master,Business,Internal,Rain,Medium,
SCH-CLM-000023,ENT-CLM-000003,road_condition,Road condition.,Enumeration,No,No,,,Reference Integrity,Road Condition Master,Business,Internal,Wet,Medium,
SCH-CLM-000024,ENT-CLM-000003,third_party_involved,Third-party involvement indicator.,Boolean,Yes,No,,,,,Business,Internal,True,High,
SCH-CLM-000025,ENT-CLM-000003,injury_reported,Injury occurrence indicator.,Boolean,Yes,No,,,,,Business,Internal,False,High,
SCH-CLM-000026,ENT-CLM-000003,loss_event_summary,Simplified explanation of event.,Text,Yes,Yes,loss_event_type,,Domain Constraint,,Derived,Public,Rear-end collision.,Low,
SCH-CLM-000027,ENT-CLM-000004,damage_category,Classification of damage.,Enumeration,Yes,No,,,Reference Integrity,Damage Type Master,Business,Internal,Body Damage,Critical,
SCH-CLM-000028,ENT-CLM-000004,damaged_component,Primary damaged component.,String,Yes,No,,,,,Survey,Internal,Front Bumper,High,
SCH-CLM-000029,ENT-CLM-000004,damage_severity,Severity of assessed damage.,Enumeration,Yes,Yes,inspection,,Reference Integrity,Severity Master,Derived,Internal,Moderate,Critical,
SCH-CLM-000030,ENT-CLM-000004,estimated_repair_cost,Estimated repair cost.,Decimal,Yes,No,,,Positive Number,,Survey,Confidential,45000,Critical,
SCH-CLM-000031,ENT-CLM-000004,total_loss_indicator,Indicates total loss.,Boolean,Yes,Yes,inspection,,Domain Constraint,,Derived,Internal,False,Critical,
SCH-CLM-000032,ENT-CLM-000004,damage_summary,Simplified damage explanation.,Text,Yes,Yes,inspection,,Domain Constraint,,Derived,Public,Moderate frontal damage.,Low,
SCH-CLM-000033,ENT-CLM-000005,coverage_decision,Coverage decision.,Enumeration,Yes,Yes,coverage_rules,,Reference Integrity,Coverage Decision Master,Derived,Internal,Covered,Critical,
SCH-CLM-000034,ENT-CLM-000005,coverage_rejection_reason,Reason for denial if applicable.,String,No,No,,,,,Business,Internal,Driving under influence,High,
SCH-CLM-000035,ENT-CLM-000005,deductible_amount,Applicable deductible.,Decimal,Yes,Yes,deductible_rules,,Positive Number,,Derived,Confidential,1000,High,
SCH-CLM-000036,ENT-CLM-000005,coverage_validation_summary,Simplified validation explanation.,Text,Yes,Yes,coverage_decision,,Domain Constraint,,Derived,Public,Covered under Own Damage.,Low,
SCH-CLM-000037,ENT-CLM-000006,survey_identifier,Survey identifier.,Identifier,Yes,No,,,Required,,Internal System,Internal,SRV-100001,High,
SCH-CLM-000038,ENT-CLM-000006,surveyor_identifier,Assigned surveyor.,Identifier,Yes,No,,,Reference Integrity,Surveyor Master,Business,Internal,SUR-100001,Medium,
SCH-CLM-000039,ENT-CLM-000006,survey_findings,Survey findings.,Text,Yes,No,,,,,Survey,Internal,Front bumper replacement.,High,
SCH-CLM-000040,ENT-CLM-000006,approved_repair_estimate,Approved repair estimate.,Decimal,Yes,Yes,survey,,Positive Number,,Derived,Confidential,42500,Critical,
SCH-CLM-000041,ENT-CLM-000006,survey_summary,Simplified survey explanation.,Text,Yes,Yes,survey_findings,,Domain Constraint,,Derived,Public,Repair approved.,Low,
SCH-CLM-000042,ENT-CLM-000007,approved_claim_amount,Approved claim amount.,Decimal,Yes,Yes,survey,,Positive Number,,Derived,Confidential,40000,Critical,
SCH-CLM-000043,ENT-CLM-000007,depreciation_amount,Applicable depreciation.,Decimal,Yes,Yes,depreciation_rules,,Positive Number,,Derived,Confidential,2500,High,
SCH-CLM-000044,ENT-CLM-000007,net_payable_amount,Final payable amount.,Decimal,Yes,Yes,settlement_engine,,Positive Number,,Derived,Confidential,36500,Critical,
SCH-CLM-000045,ENT-CLM-000007,settlement_status,Settlement workflow status.,Enumeration,Yes,Yes,workflow,,Reference Integrity,Workflow Status Master,Derived,Internal,Completed,Medium,
SCH-CLM-000046,ENT-CLM-000007,settlement_summary,Simplified settlement explanation.,Text,Yes,Yes,net_payable_amount,,Domain Constraint,,Derived,Public,₹36,500 transferred.,Low,
SCH-CLM-000047,ENT-CLM-000008,recovery_amount,Recoverable amount.,Decimal,Yes,Yes,recovery_engine,,Positive Number,,Derived,Confidential,0,Medium,
SCH-CLM-000048,ENT-CLM-000008,salvage_value,Estimated salvage value.,Decimal,Yes,Yes,valuation_engine,,Positive Number,,Derived,Confidential,0,Medium,
SCH-CLM-000049,ENT-CLM-000008,subrogation_indicator,Subrogation applicability.,Boolean,Yes,Yes,legal_engine,,Domain Constraint,,Derived,Internal,False,Medium,
SCH-CLM-000050,ENT-CLM-000008,recovery_summary,Simplified recovery explanation.,Text,Yes,Yes,recovery_engine,,Domain Constraint,,Derived,Public,No recovery required.,Low,
SCH-CLM-000051,ENT-CLM-000009,lifecycle_stage,Current lifecycle stage.,Enumeration,Yes,Yes,workflow,,Reference Integrity,Lifecycle Stage Master,Derived,Internal,Assessment,Critical,
