schema_id,entity_id,attribute_name,business_definition,data_type,required,derived,derived_from,default_value,validation_rule,reference_catalog,collection_source,privacy_class,example_value,ai_importance,remarks
SCH-VEH-000001,ENT-VEH-000001,vehicle_identifier,Unique business identifier assigned to the vehicle.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,VEH-100001,Critical,
SCH-VEH-000002,ENT-VEH-000001,vehicle_type,Classification of vehicle.,Enumeration,Yes,No,,,Reference Integrity,Vehicle Category Master,User Input,Internal,Private Car,High,
SCH-VEH-000003,ENT-VEH-000001,vehicle_status,Current operational status.,Enumeration,Yes,Yes,vehicle_lifecycle_stage,,Domain Constraint,,Derived,Internal,Active,Medium,
SCH-VEH-000004,ENT-VEH-000001,vehicle_registration_date,Platform onboarding date.,Date,Yes,No,,,ISO Date,,Internal System,Internal,2026-07-01,Low,
SCH-VEH-000005,ENT-VEH-000001,vehicle_segment,Market segment of the vehicle.,Enumeration,Yes,No,,,Reference Integrity,Vehicle Segment Master,User Input,Internal,SUV,Medium,
SCH-VEH-000006,ENT-VEH-000002,registration_number,Official vehicle registration number.,String,Yes,No,,,Required;Unique,,Government Records,Sensitive Personal,MH12AB1234,Critical,
SCH-VEH-000007,ENT-VEH-000002,vehicle_identification_number,Vehicle Identification Number (VIN).,String,Yes,No,,,Required;Unique,,Manufacturer,Sensitive Personal,MA1XXXXXXXXXXXXXX,Critical,
SCH-VEH-000008,ENT-VEH-000002,engine_number,Manufacturer-issued engine number.,String,Yes,No,,,Required;Unique,,Manufacturer,Sensitive Personal,ENG123456789,Critical,
SCH-VEH-000009,ENT-VEH-000002,chassis_number,Manufacturer-issued chassis number.,String,Yes,No,,,Required;Unique,,Manufacturer,Sensitive Personal,CHS123456789,Critical,
SCH-VEH-000010,ENT-VEH-000002,manufacturing_year,Calendar year of manufacture.,Integer,Yes,No,,,Year Format,,Manufacturer,Internal,2022,High,
SCH-VEH-000011,ENT-VEH-000002,model_year,Commercial model year.,Integer,Yes,No,,,Year Format,,Manufacturer,Internal,2023,Medium,
SCH-VEH-000012,ENT-VEH-000002,vehicle_age,Current age of the vehicle.,Integer,Yes,Yes,manufacturing_year,,Positive Number,,Derived,Internal,4,High,
SCH-VEH-000013,ENT-VEH-000002,manufacturer,Vehicle manufacturer.,Enumeration,Yes,No,,,Reference Integrity,Vehicle Manufacturer Master,Manufacturer,Internal,Tata Motors,Critical,
SCH-VEH-000014,ENT-VEH-000002,vehicle_model,Vehicle model.,Enumeration,Yes,No,,,Reference Integrity,Vehicle Model Master,Manufacturer,Internal,Nexon,Critical,
SCH-VEH-000015,ENT-VEH-000002,vehicle_variant,Vehicle variant.,Enumeration,Yes,No,,,Reference Integrity,Vehicle Variant Master,Manufacturer,Internal,XZ+,High,
SCH-VEH-000016,ENT-VEH-000003,registration_authority,RTO responsible for registration.,Enumeration,Yes,No,,,Reference Integrity,RTO Master,Government Records,Internal,Pune RTO,Medium,
SCH-VEH-000017,ENT-VEH-000003,registration_state,State where vehicle is registered.,Enumeration,Yes,No,,,Reference Integrity,State Master,Government Records,Internal,Maharashtra,Medium,
SCH-VEH-000018,ENT-VEH-000003,registration_expiry_date,Registration expiry date.,Date,Yes,No,,,ISO Date,,Government Records,Internal,2036-03-10,Medium,
SCH-VEH-000019,ENT-VEH-000003,registration_validity,Registration validity indicator.,Boolean,Yes,Yes,registration_expiry_date,,Domain Constraint,,Derived,Internal,True,High,
SCH-VEH-000020,ENT-VEH-000003,registration_verification,Registration verification status.,Boolean,Yes,Yes,registration_number,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-VEH-000021,ENT-VEH-000003,hypothecation_status,Hypothecation status.,Boolean,No,No,,,,,User Input,Internal,True,Medium,
SCH-VEH-000022,ENT-VEH-000003,hypothecation_institution,Financial institution holding hypothecation.,String,No,No,,,,,User Input,Internal,HDFC Bank,Medium,
SCH-VEH-000023,ENT-VEH-000004,fuel_type,Primary fuel type.,Enumeration,Yes,No,,,Reference Integrity,Fuel Type Master,Manufacturer,Internal,Petrol,Critical,
SCH-VEH-000024,ENT-VEH-000004,transmission_type,Transmission mechanism.,Enumeration,Yes,No,,,Reference Integrity,Transmission Type Master,Manufacturer,Internal,Automatic,High,
SCH-VEH-000025,ENT-VEH-000004,body_type,Vehicle body style.,Enumeration,Yes,No,,,Reference Integrity,Body Type Master,Manufacturer,Internal,SUV,High,
SCH-VEH-000026,ENT-VEH-000004,drive_configuration,Wheel drive configuration.,Enumeration,Yes,No,,,Reference Integrity,Drive Configuration Master,Manufacturer,Internal,FWD,Medium,
SCH-VEH-000027,ENT-VEH-000004,engine_capacity,Engine displacement.,Decimal,Yes,No,,,Positive Number,,Manufacturer,Internal,1498,High,
SCH-VEH-000028,ENT-VEH-000004,engine_power,Maximum engine power.,Decimal,Yes,No,,,Positive Number,,Manufacturer,Internal,118,Medium,
SCH-VEH-000029,ENT-VEH-000004,torque,Maximum engine torque.,Decimal,Yes,No,,,Positive Number,,Manufacturer,Internal,170,Medium,
SCH-VEH-000030,ENT-VEH-000004,seating_capacity,Maximum seating capacity.,Integer,Yes,No,,,Positive Number,,Manufacturer,Internal,5,Medium,
SCH-VEH-000031,ENT-VEH-000004,cargo_capacity,Cargo capacity.,Decimal,No,No,,,Positive Number,,Manufacturer,Internal,382,Low,
SCH-VEH-000032,ENT-VEH-000004,gross_vehicle_weight,Maximum gross vehicle weight.,Decimal,No,No,,,Positive Number,,Manufacturer,Internal,1650,Medium,
SCH-VEH-000033,ENT-VEH-000004,emission_standard,Applicable emission standard.,Enumeration,Yes,No,,,Reference Integrity,Emission Standard Master,Manufacturer,Internal,BS6,High,
SCH-VEH-000034,ENT-VEH-000004,vehicle_color,Vehicle exterior color.,Enumeration,No,No,,,Reference Integrity,Vehicle Color Master,User Input,Internal,White,Low,
SCH-VEH-000035,ENT-VEH-000005,owner_type,Registered owner type.,Enumeration,Yes,No,,,Reference Integrity,Customer Type Master,User Input,Internal,Individual,High,
SCH-VEH-000036,ENT-VEH-000005,ownership_type,Legal ownership type.,Enumeration,Yes,No,,,Reference Integrity,Ownership Type Master,User Input,Internal,Owned,High,
SCH-VEH-000037,ENT-VEH-000005,ownership_start_date,Ownership commencement date.,Date,Yes,No,,,ISO Date,,User Input,Internal,2023-05-12,Medium,
SCH-VEH-000038,ENT-VEH-000005,ownership_duration,Duration of ownership.,Integer,Yes,Yes,ownership_start_date,,Positive Number,,Derived,Internal,3,Medium,
SCH-VEH-000039,ENT-VEH-000005,number_of_previous_owners,Number of previous owners.,Integer,No,No,,,Non-negative Number,,User Input,Internal,1,Medium,
SCH-VEH-000040,ENT-VEH-000005,ownership_transfer_history,Historical ownership transfer summary.,String,No,No,,,,,Government Records,Internal,One Transfer,Low,
SCH-VEH-000041,ENT-VEH-000005,primary_owner_verification,Owner verification status.,Boolean,Yes,Yes,owner_identity,,Domain Constraint,,Derived,Internal,True,High,
SCH-VEH-000042,ENT-VEH-000006,usage_category,Primary vehicle usage.,String,Yes,No,,,,,User Input,Internal,Personal,High,
SCH-VEH-000043,ENT-VEH-000006,annual_mileage,Estimated annual mileage.,Decimal,No,No,,,Positive Number,,User Input,Internal,12000,High,
SCH-VEH-000044,ENT-VEH-000006,average_daily_usage,Average daily distance travelled.,Decimal,Yes,Yes,annual_mileage,,Positive Number,,Derived,Internal,33,Medium,
SCH-VEH-000045,ENT-VEH-000006,parking_type,Typical parking environment.,String,No,No,,,,,User Input,Internal,Covered Garage,Medium,
SCH-VEH-000046,ENT-VEH-000006,primary_operating_region,Primary operating region.,Enumeration,Yes,No,,,Reference Integrity,City Master,User Input,Internal,Pune,Medium,
SCH-VEH-000047,ENT-VEH-000006,urban_usage_percentage,Urban driving percentage.,Decimal,No,No,,,Percentage Range,,User Input,Internal,80,Low,
SCH-VEH-000048,ENT-VEH-000006,highway_usage_percentage,Highway driving percentage.,Decimal,No,No,,,Percentage Range,,User Input,Internal,20,Low,
SCH-VEH-000049,ENT-VEH-000006,commercial_usage_indicator,Commercial usage indicator.,Boolean,Yes,No,,,,,User Input,Internal,False,Critical,
SCH-VEH-000050,ENT-VEH-000006,usage_risk_level,Usage risk category.,Enumeration,Yes,Yes,annual_mileage;primary_operating_region,,Reference Integrity,Score Band Master,Derived,Internal,Moderate,High,
SCH-VEH-000051,ENT-VEH-000007,invoice_value,Original invoice value.,Decimal,Yes,No,,,Positive Number,,User Input,Confidential,1120000,Critical,
SCH-VEH-000052,ENT-VEH-000007,purchase_price,Purchase price.,Decimal,Yes,No,,,Positive Number,,User Input,Confidential,1100000,High,
SCH-VEH-000053,ENT-VEH-000007,current_market_value,Estimated market value.,Decimal,Yes,Yes,purchase_price;vehicle_age,,Positive Number,,Derived,Confidential,875000,Critical,
SCH-VEH-000054,ENT-VEH-000007,insured_declared_value,Current insured declared value.,Decimal,Yes,Yes,current_market_value,,Positive Number,,Derived,Confidential,840000,Critical,
SCH-VEH-000055,ENT-VEH-000007,depreciation_percentage,Applicable depreciation percentage.,Decimal,Yes,Yes,vehicle_age,,Percentage Range,,Derived,Internal,24,Medium,
SCH-VEH-000056,ENT-VEH-000007,replacement_cost,Estimated replacement cost.,Decimal,No,Yes,current_market_value,,Positive Number,,Derived,Confidential,910000,Medium,
SCH-VEH-000057,ENT-VEH-000007,residual_value,Residual value.,Decimal,No,Yes,current_market_value,,Positive Number,,Derived,Confidential,840000,Medium,
SCH-VEH-000058,ENT-VEH-000008,puc_expiry_date,PUC expiry date.,Date,Yes,No,,,ISO Date,,Government Records,Internal,2026-10-15,Medium,
SCH-VEH-000059,ENT-VEH-000008,fitness_certificate_status,Fitness certificate validity.,Boolean,No,No,,,,,Government Records,Internal,True,Medium,
SCH-VEH-000060,ENT-VEH-000008,road_tax_status,Road tax payment status.,Boolean,Yes,No,,,,,Government Records,Internal,True,High,
SCH-VEH-000061,ENT-VEH-000008,road_tax_expiry_date,Road tax expiry date.,Date,No,No,,,ISO Date,,Government Records,Internal,2032-05-12,Medium,
SCH-VEH-000062,ENT-VEH-000008,compliance_score,Overall compliance score.,Decimal,Yes,Yes,registration_verification;road_tax_status,,Value Range,,AI Generated,Internal,98.20,High,
SCH-VEH-000063,ENT-VEH-000008,compliance_status,Overall compliance classification.,Enumeration,Yes,Yes,compliance_score,,Reference Integrity,Score Band Master,Derived,Internal,Compliant,High,
SCH-VEH-000064,ENT-VEH-000008,compliance_review_date,Most recent compliance review date.,Date,Yes,No,,,ISO Date,,Internal System,Internal,2026-07-01,Low,
SCH-VEH-000065,ENT-VEH-000009,vehicle_condition,Overall physical and operational condition of the vehicle.,Enumeration,Yes,Yes,exterior_condition;interior_condition;mechanical_condition,,Reference Integrity,Score Band Master,Derived,Internal,Good,High,
SCH-VEH-000066,ENT-VEH-000009,exterior_condition,Assessment of the vehicle's exterior condition.,Enumeration,No,No,,,Reference Integrity,Score Band Master,Inspection,Internal,Good,Medium,
SCH-VEH-000067,ENT-VEH-000009,interior_condition,Assessment of the vehicle's interior condition.,Enumeration,No,No,,,Reference Integrity,Score Band Master,Inspection,Internal,Excellent,Medium,
SCH-VEH-000068,ENT-VEH-000009,mechanical_condition,Assessment of the vehicle's mechanical condition.,Enumeration,No,No,,,Reference Integrity,Score Band Master,Inspection,Internal,Good,High,
SCH-VEH-000069,ENT-VEH-000009,odometer_reading,Current odometer reading of the vehicle.,Decimal,Yes,No,,,Positive Number,,User Input,Internal,48215,Medium,
SCH-VEH-000070,ENT-VEH-000009,modification_status,Indicates whether the vehicle has undergone structural or mechanical modifications.,Boolean,No,No,,,,,User Input,Internal,False,Medium,
SCH-VEH-000071,ENT-VEH-000009,vehicle_risk_score,Composite insurance risk score assigned to the vehicle.,Decimal,Yes,Yes,usage_risk_level;vehicle_condition;compliance_score,,Value Range,,AI Generated,Internal,68.40,Critical,
SCH-VEH-000072,ENT-VEH-000009,theft_risk_score,Predicted likelihood of vehicle theft.,Decimal,No,Yes,primary_operating_region;vehicle_model,,Value Range,,AI Generated,Internal,22.30,High,
SCH-VEH-000073,ENT-VEH-000009,accident_risk_score,Predicted likelihood of future accidents involving the vehicle.,Decimal,No,Yes,vehicle_age;annual_mileage;usage_risk_level,,Value Range,,AI Generated,Internal,41.80,High,
SCH-VEH-000074,ENT-VEH-000009,fraud_risk_score,Predicted likelihood of fraudulent activity involving the vehicle.,Decimal,No,Yes,ownership_transfer_history;vehicle_condition,,Value Range,,AI Generated,Confidential,8.70,High,
SCH-VEH-000075,ENT-VEH-000009,vehicle_trust_score,Composite trust score assigned to the vehicle.,Decimal,Yes,Yes,compliance_score;vehicle_condition,,Value Range,,AI Generated,Internal,96.20,High,
SCH-VEH-000076,ENT-VEH-000009,risk_category,Categorized insurance risk associated with the vehicle.,Enumeration,Yes,Yes,vehicle_risk_score,,Reference Integrity,Score Band Master,Derived,Internal,Low Risk,High,
SCH-VEH-000077,ENT-VEH-000009,premium_impact,Represents the impact of vehicle characteristics on insurance premium calculation.,String,Yes,Yes,vehicle_risk_score;current_market_value,,Domain Constraint,,Derived,Internal,Reduced Premium,High,
SCH-VEH-000078,ENT-VEH-000009,recommendation_readiness,Indicates whether sufficient information exists to generate reliable policy recommendations.,Boolean,Yes,Yes,compliance_status;insured_declared_value,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-VEH-000079,ENT-VEH-000009,recommendation_confidence,Confidence score associated with the generated recommendation.,Decimal,Yes,Yes,recommendation_engine,,Percentage Range,,AI Generated,Internal,95.80,High,
SCH-VEH-000080,ENT-VEH-000009,next_best_action,Recommended next business action for the vehicle.,String,No,Yes,recommendation_engine,,Domain Constraint,,AI Generated,Internal,Recommend Comprehensive Policy,High,
SCH-VEH-000081,ENT-VEH-000009,assessment_date,Date and time of the latest vehicle assessment.,DateTime,Yes,Yes,assessment_pipeline,,ISO DateTime,,Internal System,Internal,2026-07-01T10:30:00,Low,
SCH-VEH-000082,ENT-VEH-000009,assessment_version,Version of the assessment methodology used.,String,Yes,No,,,Required,,Internal System,Internal,1.0.0,Low,
SCH-VEH-000083,ENT-VEH-000009,assessment_status,Current execution status of the vehicle assessment.,Enumeration,Yes,Yes,assessment_pipeline,,Reference Integrity,Workflow Status Master,Derived,Internal,Completed,Medium,
SCH-VEH-000084,ENT-VEH-000009,assessment_remarks,Additional remarks associated with the latest assessment.,String,No,No,,,,,Internal System,Internal,Low-risk privately owned vehicle.,Low,
SCH-VEH-000085,ENT-VEH-000009,preferred_underwriting_band,Recommended underwriting band assigned to the vehicle.,Enumeration,Yes,Yes,vehicle_risk_score;vehicle_trust_score,,Reference Integrity,Score Band Master,AI Generated,Internal,Preferred,High,

