intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-ALT-000001,ALERT,CITY,MUM,Mumbai,Heavy Rain Alert,95,Critical,0.98,OBS-WTH-000001,MODEL-ENV-ALT-001,2026-07-01,2026-07-03,Active,
INT-ALT-000002,ALERT,CITY,MUM,Mumbai,Flood Warning,96,Critical,0.98,OBS-DIS-000001,MODEL-ENV-ALT-001,2026-07-01,2026-07-05,Active,
INT-ALT-000003,ALERT,CITY,CHE,Chennai,Cyclone Warning,92,Critical,0.97,OBS-DIS-000002,MODEL-ENV-ALT-002,2026-10-20,2026-10-25,Active,
INT-ALT-000004,ALERT,CITY,DEL,Delhi,Heatwave Alert,94,Critical,0.97,OBS-DIS-000004,MODEL-ENV-ALT-003,2026-06-10,2026-06-20,Active,
INT-ALT-000005,ALERT,CITY,KOL,Kolkata,Lightning Alert,84,High,0.95,OBS-DIS-000005,MODEL-ENV-ALT-004,2026-08-15,2026-08-20,Active,
INT-ALT-000006,ALERT,CITY,GOA,Panaji,Coastal Surge Alert,82,High,0.94,OBS-DIS-000006,MODEL-ENV-ALT-005,2026-06-20,2026-06-25,Active,
INT-ALT-000007,ALERT,CITY,GUW,Guwahati,Flood Warning,98,Critical,0.99,OBS-DIS-000007,MODEL-ENV-ALT-001,2026-07-14,2026-07-18,Active,
INT-ALT-000008,ALERT,CITY,JAI,Jaipur,Drought Advisory,71,Medium,0.91,OBS-DIS-000008,MODEL-ENV-ALT-006,2026-04-15,2026-06-30,Active,
INT-ALT-000009,ALERT,CITY,PUN,Pune,Hailstorm Advisory,63,Medium,0.90,OBS-DIS-000009,MODEL-ENV-ALT-007,2026-03-20,2026-03-22,Active,
INT-ALT-000010,ALERT,CITY,AHM,Ahmedabad,Dust Storm Advisory,74,Medium,0.91,OBS-DIS-000010,MODEL-ENV-ALT-008,2026-05-18,2026-05-20,Active,
INT-ALT-000011,ALERT,CITY,SHI,Shimla,Snowfall Advisory,81,High,0.94,OBS-DIS-000011,MODEL-ENV-ALT-009,2026-01-10,2026-01-15,Active,
INT-ALT-000012,ALERT,CITY,DEL,Delhi,Poor AQI Alert,89,High,0.96,OBS-WTH-000005,MODEL-ENV-ALT-010,2026-11-15,2026-11-20,Active,
