schema_id,entity_id,attribute_name,business_definition,data_type,required,derived,derived_from,default_value,validation_rule,reference_catalog,collection_source,privacy_class,example_value,ai_importance,remarks
SCH-DOC-000001,ENT-DOC-000001,document_identifier,Unique identifier assigned to the document.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,DOC-100001,Critical,
SCH-DOC-000002,ENT-DOC-000001,document_name,Official document name.,String,Yes,No,,,Required,,Business,Public,policy.pdf,High,
SCH-DOC-000003,ENT-DOC-000001,document_type,Classification of document.,Enumeration,Yes,No,,,Reference Integrity,Document Type Master,Business,Internal,Policy Certificate,Critical,
SCH-DOC-000004,ENT-DOC-000001,document_status,Current operational status.,Enumeration,Yes,Yes,lifecycle_stage,,Reference Integrity,Workflow Status Master,Derived,Internal,Active,Critical,
SCH-DOC-000005,ENT-DOC-000001,document_owner_type,Business entity owning the document.,Enumeration,Yes,No,,,Reference Integrity,Entity Type Master,Business,Internal,Customer,High,
SCH-DOC-000006,ENT-DOC-000001,document_owner_identifier,Identifier of owning business entity.,Identifier,Yes,No,,,Reference Integrity,Entity Identifier Master,Business,Internal,CUST-100001,High,
SCH-DOC-000007,ENT-DOC-000001,upload_timestamp,Upload timestamp.,DateTime,Yes,No,,,ISO DateTime,,Business,Internal,2026-08-15T09:30:00,Medium,
SCH-DOC-000008,ENT-DOC-000001,document_summary,Simplified explanation of document.,Text,Yes,Yes,document_type,,Domain Constraint,,Derived,Public,Uploaded policy certificate.,Low,
SCH-DOC-000009,ENT-DOC-000002,file_name,Original filename.,String,Yes,No,,,Required,,Business,Public,policy.pdf,Medium,
SCH-DOC-000010,ENT-DOC-000002,file_extension,Document extension.,Enumeration,Yes,No,,,Reference Integrity,File Extension Master,Business,Internal,PDF,Medium,
SCH-DOC-000011,ENT-DOC-000002,mime_type,Internet media type.,String,Yes,No,,,Required,,System,Internal,application/pdf,Medium,
SCH-DOC-000012,ENT-DOC-000002,file_size,Document size.,Decimal,Yes,No,,,Positive Number,,System,Internal,2.4,Medium,
