intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-FRD-IDX-000001,INDEX,CASE,CASE-000001,Case-000001,Fraud Suspicion Index,91,Critical,0.99,Combined Intelligence,MODEL-FRD-IDX-001,2026-07-01,2026-12-31,Active,
INT-FRD-IDX-000002,INDEX,CASE,CASE-000002,Case-000002,Evidence Strength Index,95,Excellent,0.98,Evidence Correlation,MODEL-FRD-IDX-001,2026-07-01,2026-12-31,Active,
INT-FRD-IDX-000003,INDEX,CASE,CASE-000003,Case-000003,Identity Trust Index,82,High,0.95,Identity Verification,MODEL-FRD-IDX-002,2026-07-01,2026-12-31,Active,
INT-FRD-IDX-000004,INDEX,CASE,CASE-000004,Case-000004,Document Integrity Index,88,High,0.96,OCR Engine,MODEL-FRD-IDX-002,2026-07-01,2026-12-31,Active,
INT-FRD-IDX-000005,INDEX,CASE,CASE-000005,Case-000005,Behavior Consistency Index,79,Medium,0.93,Behavior Analytics,MODEL-FRD-IDX-003,2026-07-01,2026-12-31,Active,
INT-FRD-IDX-000006,INDEX,CASE,CASE-000006,Case-000006,Network Connectivity Index,93,Excellent,0.98,Graph Engine,MODEL-FRD-IDX-003,2026-07-01,2026-12-31,Active,
INT-FRD-IDX-000007,INDEX,CASE,CASE-000007,Case-000007,Investigation Readiness Index,89,High,0.96,SIU Workflow,MODEL-FRD-IDX-004,2026-07-01,2026-12-31,Active,
INT-FRD-IDX-000008,INDEX,CASE,CASE-000008,Case-000008,Case Complexity Index,84,High,0.95,Combined Intelligence,MODEL-FRD-IDX-004,2026-07-01,2026-12-31,Active,
INT-FRD-IDX-000009,INDEX,CASE,CASE-000009,Case-000009,Evidence Correlation Index,94,Excellent,0.98,Evidence Graph,MODEL-FRD-IDX-005,2026-07-01,2026-12-31,Active,
INT-FRD-IDX-000010,INDEX,CASE,CASE-000010,Case-000010,Investigator Confidence Index,92,Excellent,0.97,SIU Analysis,MODEL-FRD-IDX-005,2026-07-01,2026-12-31,Active,
INT-FRD-IDX-000011,INDEX,CASE,CASE-000011,Case-000011,False Positive Index,23,Low,0.90,Historical Outcomes,MODEL-FRD-IDX-006,2026-07-01,2026-12-31,Active,
INT-FRD-IDX-000012,INDEX,CASE,CASE-000012,Case-000012,Recovery Potential Index,72,Medium,0.92,Recovery Analytics,MODEL-FRD-IDX-006,2026-07-01,2026-12-31,Active,
INT-FRD-IDX-000013,INDEX,CASE,CASE-000013,Case-000013,Legal Strength Index,90,High,0.96,Legal Analysis,MODEL-FRD-IDX-007,2026-07-01,2026-12-31,Active,
INT-FRD-IDX-000014,INDEX,CASE,CASE-000014,Case-000014,Case Quality Index,87,High,0.95,Case Review,MODEL-FRD-IDX-007,2026-07-01,2026-12-31,Active,
INT-FRD-IDX-000015,INDEX,CASE,CASE-000015,Case-000015,Overall Fraud Intelligence Index,94,Excellent,0.98,Combined Intelligence,MODEL-FRD-IDX-008,2026-07-01,2026-12-31,Active,
