intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-MOB-RISK-000001,RISK,CITY,MUM,Mumbai,Congestion Risk,91,Very High,0.97,OBS-MOB1-000001;OBS-MOB1-000002,MODEL-MOB-RISK-001,2026-07-01,2026-07-31,Active,
INT-MOB-RISK-000002,RISK,CITY,DEL,Delhi,Intersection Accident Risk,82,High,0.95,OBS-MOB1-000002,MODEL-MOB-RISK-001,2026-07-01,2026-07-31,Active,
INT-MOB-RISK-000003,RISK,CITY,BLR,Bengaluru,Travel Exposure Risk,88,High,0.96,OBS-MOB2-000004,MODEL-MOB-RISK-002,2026-07-01,2026-07-31,Active,
INT-MOB-RISK-000004,RISK,CITY,CHE,Chennai,Peak Hour Risk,74,Medium,0.92,OBS-MOB1-000004,MODEL-MOB-RISK-002,2026-07-01,2026-07-31,Active,
INT-MOB-RISK-000005,RISK,CITY,PUN,Pune,Commute Fatigue Risk,68,Medium,0.91,OBS-MOB2-000006,MODEL-MOB-RISK-003,2026-07-01,2026-07-31,Active,
INT-MOB-RISK-000006,RISK,CITY,KOL,Kolkata,Travel Delay Risk,83,High,0.94,OBS-MOB1-000005,MODEL-MOB-RISK-003,2026-07-01,2026-07-31,Active,
INT-MOB-RISK-000007,RISK,CITY,GOA,Panaji,Tourist Traffic Risk,71,Medium,0.90,OBS-MOB3-000007,MODEL-MOB-RISK-004,2026-07-01,2026-08-31,Active,
INT-MOB-RISK-000008,RISK,CITY,SHI,Shimla,Mountain Route Risk,86,High,0.95,OBS-MOB2-000009,MODEL-MOB-RISK-004,2026-07-01,2026-09-30,Active,
INT-MOB-RISK-000009,RISK,CITY,AHM,Ahmedabad,Commercial Traffic Risk,63,Medium,0.89,OBS-MOB3-000008,MODEL-MOB-RISK-005,2026-07-01,2026-07-31,Active,
INT-MOB-RISK-000010,RISK,CITY,GUW,Guwahati,Travel Exposure Risk,78,High,0.93,OBS-MOB1-000010,MODEL-MOB-RISK-005,2026-07-01,2026-07-31,Active,
INT-MOB-RISK-000011,RISK,STATE,MH,Maharashtra,State Mobility Risk,69,Medium,0.91,OBS-MOB2-000010,MODEL-MOB-RISK-006,2026-07-01,2026-07-31,Active,
INT-MOB-RISK-000012,RISK,ROAD_SEGMENT,NH48,NH-48,Highway Accident Risk,73,High,0.93,OBS-MOB1-000011;OBS-MOB3-000010,MODEL-MOB-RISK-006,2026-07-01,2026-07-31,Active,
INT-MOB-RISK-000013,RISK,DISTRICT,PUNE,Pune District,Fleet Exposure Risk,81,High,0.94,OBS-MOB3-000011,MODEL-MOB-RISK-007,2026-07-01,2026-07-31,Active,
INT-MOB-RISK-000014,RISK,CITY,MUM,Mumbai,Mobility Hazard Score,89,High,0.96,Multiple Observations,MODEL-MOB-RISK-008,2026-07-01,2026-07-31,Active,
INT-MOB-RISK-000015,RISK,CITY,DEL,Delhi,Overall Mobility Risk,85,High,0.95,Multiple Observations,MODEL-MOB-RISK-008,2026-07-01,2026-07-31,Active,
