glossary_id,canonical_term,business_definition,domain,concept_category,semantic_class,lifecycle,parent_concept,derived_from,aliases,example,source,remarks
GLOSS-POL-000001,Policy,Represents an issued insurance contract between an insurer and a policyholder.,Policy,Identity,Core,Dynamic,,,Insurance Contract,Motor Policy,Business,Root business concept.
GLOSS-POL-000002,Policy Identifier,Unique business identifier assigned to the policy.,Policy,Identity,Core,Stable,Policy,,Policy ID,POL-100001,Platform,Primary business identifier.
GLOSS-POL-000003,Policy Number,Official policy number issued by the insurer.,Policy,Identity,Core,Stable,Policy,,Policy No.,2311000001234,Insurance Company,Customer-facing identifier.
GLOSS-POL-000004,Policy Status,Current operational status of the policy.,Policy,Operational,Derived,Dynamic,Policy,Policy Lifecycle Stage,,Active,Derived,Platform status.
GLOSS-POL-000005,Policy Type,Classification of the issued policy.,Policy,Classification,Core,Stable,Policy,,Policy Type,Comprehensive,Business,References Policy Type Master.
GLOSS-POL-000006,Policy Effective Date,Date on which insurance coverage begins.,Policy,Operational,Core,Stable,Policy,,Effective Date,2026-07-01,Business,Contract start.
GLOSS-POL-000007,Policy Expiry Date,Date on which insurance coverage expires.,Policy,Operational,Core,Stable,Policy,,Expiry Date,2027-06-30,Business,Contract end.
GLOSS-POL-000008,Policy Duration,Duration for which the policy remains valid.,Policy,Operational,Derived,Computed,Policy,Policy Effective Date;Policy Expiry Date,,365 Days,Derived,Computed duration.
GLOSS-POL-000009,Policy Version,Version of the issued policy after endorsements.,Policy,Identity,Core,Dynamic,Policy,,Version,1.0,Business,Supports endorsements.
GLOSS-POL-000010,Policy Summary,Simplified business summary of the issued policy.,Policy,Derived,Derived,Computed,Policy,Policy Type,,Comprehensive private car insurance.,Derived,Supports AI explanation.
GLOSS-POL-000011,Policy Holder,Represents the legal owner of the insurance policy.,Policy,Identity,Core,Stable,Policy,,Insured Person,Customer,Business,Parent business concept.
GLOSS-POL-000012,Policy Holder Identifier,Reference to the canonical customer.,Policy,Reference,Core,Stable,Policy Holder,,Customer ID,CUST-100001,Customer,Foreign reference.
GLOSS-POL-000013,Policy Holder Name,Full legal name of the policyholder.,Policy,Reference,Core,Dynamic,Policy Holder,,Insured Name,Rahul Sharma,Customer,Reference copy.
GLOSS-POL-000014,Policy Holder Type,Classification of the policyholder.,Policy,Classification,Core,Stable,Policy Holder,,Customer Type,Individual,Business,Individual/Corporate.
GLOSS-POL-000015,Primary Contact,Primary communication channel for policy servicing.,Policy,Operational,Core,Dynamic,Policy Holder,,Mobile,+91XXXXXXXXXX,Customer,Customer contact.
GLOSS-POL-000016,Communication Preference,Preferred communication method.,Policy,Operational,User Provided,Dynamic,Policy Holder,,Preference,WhatsApp,Customer,Supports servicing.
GLOSS-POL-000017,KYC Verification Status,Represents whether policyholder KYC is verified.,Policy,Operational,Derived,Computed,Policy Holder,KYC Documents,,Verified,Derived,Supports issuance.
GLOSS-POL-000018,Policy Holder Relationship,Relationship between insured object owner and policyholder.,Policy,Classification,Core,Stable,Policy Holder,,Relationship,Owner,Business,Supports underwriting.
GLOSS-POL-000019,Nominee Available,Indicates whether a nominee has been specified.,Policy,Operational,Core,Dynamic,Policy Holder,,Nominee,False,Business,Future extensibility.
GLOSS-POL-000020,Policy Holder Summary,Simplified explanation of the policyholder.,Policy,Derived,Derived,Computed,Policy Holder,Customer Profile,,Verified customer.,Derived,Supports AI explanation.
GLOSS-POL-000021,Policy Vehicle,Represents the insured vehicle associated with the policy.,Policy,Identity,Core,Stable,Policy,,Insured Vehicle,Vehicle,Business,Parent business concept.
GLOSS-POL-000022,Vehicle Identifier,Reference to the canonical vehicle.,Policy,Reference,Core,Stable,Policy Vehicle,,Vehicle ID,VEH-100001,Vehicle,Foreign reference.
GLOSS-POL-000023,Registration Number,Registered vehicle number insured under the policy.,Policy,Reference,Core,Stable,Policy Vehicle,,Registration,MH12AB1234,Vehicle,Vehicle reference.
