observation_id,observation_type,subject_type,subject_code,subject_name,attribute,metric,metric_unit,observed_value,observation_timestamp,geographic_scope,temporal_scope,source_type,source_name,collection_method,quality_score,confidence_score,version,remarks
OBS-INS3-000001,ENGAGEMENT,POLICY,POL-000001,Policy-000001,Customer Portal Login Frequency,Frequency,logins/month,12,2026-07-01T00:00:00Z,Mumbai,Monthly,Portal,Customer Portal,System,0.98,0.97,v1.0,
OBS-INS3-000002,ENGAGEMENT,POLICY,POL-000002,Policy-000002,Mobile App Usage,Frequency,sessions/month,24,2026-07-01T00:00:00Z,Delhi,Monthly,Mobile App,Customer App,System,0.98,0.97,v1.0,
OBS-INS3-000003,SERVICE,POLICY,POL-000003,Policy-000003,Customer Support Calls,Count,calls/year,3,2026-07-01T00:00:00Z,Bengaluru,Annual,CRM,Call Center,System,0.97,0.96,v1.0,
OBS-INS3-000004,SERVICE,POLICY,POL-000004,Policy-000004,Agent Interactions,Count,meetings/year,2,2026-07-01T00:00:00Z,Chennai,Annual,CRM,Agent Portal,System,0.97,0.96,v1.0,
OBS-INS3-000005,ENGAGEMENT,POLICY,POL-000005,Policy-000005,Email Open Rate,Percentage,%,81,2026-07-01T00:00:00Z,Pune,Monthly,Marketing,Campaign System,System,0.96,0.95,v1.0,
OBS-INS3-000006,ENGAGEMENT,POLICY,POL-000006,Policy-000006,SMS Response Rate,Percentage,%,74,2026-07-01T00:00:00Z,Ahmedabad,Monthly,CRM,Notification Service,System,0.96,0.95,v1.0,
OBS-INS3-000007,ENGAGEMENT,POLICY,POL-000007,Policy-000007,Renewal Reminder Response Time,Duration,days,2,2026-07-01T00:00:00Z,Kolkata,Annual,CRM,Reminder Engine,System,0.98,0.97,v1.0,
OBS-INS3-000008,SERVICE,POLICY,POL-000008,Policy-000008,Policy Servicing Requests,Count,requests/year,5,2026-07-01T00:00:00Z,Hyderabad,Annual,PAS,Policy Admin System,System,0.97,0.96,v1.0,
OBS-INS3-000009,SERVICE,POLICY,POL-000009,Policy-000009,Endorsement Requests,Count,requests/year,2,2026-07-01T00:00:00Z,Jaipur,Annual,PAS,Policy Admin System,System,0.98,0.97,v1.0,
OBS-INS3-000010,ENGAGEMENT,POLICY,POL-000010,Policy-000010,Feedback Score,Score,index,4.7,2026-07-01T00:00:00Z,Surat,Quarterly,CRM,Survey Platform,System,0.98,0.97,v1.0,
OBS-INS3-000011,ENGAGEMENT,POLICY,POL-000011,Policy-000011,Claim Notification Preference,Category,Type,Mobile App,2026-07-01T00:00:00Z,Nagpur,Current,CRM,Customer Preferences,System,0.99,0.99,v1.0,
OBS-INS3-000012,ENGAGEMENT,POLICY,POL-000012,Policy-000012,Cross-sell Acceptance Rate,Percentage,%,36,2026-07-01T00:00:00Z,Lucknow,Annual,CRM,Sales Platform,System,0.97,0.96,v1.0,
OBS-INS3-000013,ENGAGEMENT,POLICY,POL-000013,Policy-000013,Upsell Acceptance Rate,Percentage,%,21,2026-07-01T00:00:00Z,Goa,Annual,CRM,Sales Platform,System,0.97,0.96,v1.0,
OBS-INS3-000014,ENGAGEMENT,POLICY,POL-000014,Policy-000014,Customer Satisfaction Score,Score,index,91,2026-07-01T00:00:00Z,Indore,Quarterly,CRM,Survey Platform,System,0.98,0.97,v1.0,
OBS-INS3-000015,SERVICE,POLICY,POL-000015,Policy-000015,Digital Self-Service Usage,Percentage,%,88,2026-07-01T00:00:00Z,Kochi,Monthly,Portal,Customer Portal,System,0.98,0.97,v1.0,
OBS-INS3-000016,ENGAGEMENT,POLICY,POL-000016,Policy-000016,Document Upload Completion Time,Duration,hours,6,2026-07-01T00:00:00Z,Mumbai,Per Request,Portal,Customer Portal,System,0.97,0.96,v1.0,
OBS-INS3-000017,SERVICE,POLICY,POL-000017,Policy-000017,KYC Update Frequency,Count,updates/year,1,2026-07-01T00:00:00Z,Delhi,Annual,CRM,KYC Platform,System,0.99,0.98,v1.0,
OBS-INS3-000018,ENGAGEMENT,POLICY,POL-000018,Policy-000018,Renewal Offer Acceptance Rate,Percentage,%,83,2026-07-01T00:00:00Z,Bengaluru,Annual,CRM,Renewal Engine,System,0.98,0.97,v1.0,
OBS-INS3-000019,SERVICE,POLICY,POL-000019,Policy-000019,Complaint Resolution Time,Duration,hours,18,2026-07-01T00:00:00Z,Chennai,Per Complaint,CRM,Support System,System,0.97,0.96,v1.0,
OBS-INS3-000020,ENGAGEMENT,POLICY,POL-000020,Policy-000020,Digital Engagement Score,Score,index,87,2026-07-01T00:00:00Z,Pune,Monthly,Analytics,Customer Intelligence Platform,Analytics,0.98,0.97,v1.0,
