intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-REC-IDX-000001,INDEX,DECISION,DEC-000001,Recommendation-000001,Recommendation Quality Index,96,Excellent,0.99,Recommendation Engine,MODEL-REC-IDX-001,2026-07-05,2026-12-31,Active,
INT-REC-IDX-000002,INDEX,DECISION,DEC-000002,Recommendation-000002,Business Impact Index,92,Excellent,0.98,Business Analytics,MODEL-REC-IDX-001,2026-07-05,2026-12-31,Active,
INT-REC-IDX-000003,INDEX,DECISION,DEC-000003,Recommendation-000003,Decision Confidence Index,95,Excellent,0.99,AI Confidence,MODEL-REC-IDX-002,2026-07-05,2026-12-31,Active,
INT-REC-IDX-000004,INDEX,DECISION,DEC-000004,Recommendation-000004,Execution Readiness Index,89,High,0.97,Operations Analytics,MODEL-REC-IDX-002,2026-07-05,2026-12-31,Active,
INT-REC-IDX-000005,INDEX,DECISION,DEC-000005,Recommendation-000005,Cost Effectiveness Index,88,High,0.96,Financial Analytics,MODEL-REC-IDX-003,2026-07-05,2026-12-31,Active,
INT-REC-IDX-000006,INDEX,DECISION,DEC-000006,Recommendation-000006,Customer Benefit Index,94,Excellent,0.98,Customer Analytics,MODEL-REC-IDX-003,2026-07-05,2026-12-31,Active,
INT-REC-IDX-000007,INDEX,DECISION,DEC-000007,Recommendation-000007,Risk Reduction Index,91,Excellent,0.98,Risk Analytics,MODEL-REC-IDX-004,2026-07-05,2026-12-31,Active,
INT-REC-IDX-000008,INDEX,DECISION,DEC-000008,Recommendation-000008,Operational Efficiency Index,90,Excellent,0.97,Operations Analytics,MODEL-REC-IDX-004,2026-07-05,2026-12-31,Active,
INT-REC-IDX-000009,INDEX,DECISION,DEC-000009,Recommendation-000009,Recommendation Explainability Index,97,Excellent,0.99,XAI Engine,MODEL-REC-IDX-005,2026-07-05,2026-12-31,Active,
INT-REC-IDX-000010,INDEX,DECISION,DEC-000010,Recommendation-000010,Decision Intelligence Index,95,Excellent,0.99,Combined Intelligence,MODEL-REC-IDX-005,2026-07-05,2026-12-31,Active,
INT-REC-IDX-000011,INDEX,DECISION,DEC-000011,Recommendation-000011,Business Alignment Index,93,Excellent,0.98,Strategy Analytics,MODEL-REC-IDX-006,2026-07-05,2026-12-31,Active,
INT-REC-IDX-000012,INDEX,DECISION,DEC-000012,Recommendation-000012,Historical Success Index,89,High,0.96,Historical Analytics,MODEL-REC-IDX-006,2026-07-05,2026-12-31,Active,
INT-REC-IDX-000013,INDEX,DECISION,DEC-000013,Recommendation-000013,Implementation Feasibility Index,87,High,0.95,Execution Analytics,MODEL-REC-IDX-007,2026-07-05,2026-12-31,Active,
INT-REC-IDX-000014,INDEX,DECISION,DEC-000014,Recommendation-000014,Automation Suitability Index,84,High,0.95,Workflow Engine,MODEL-REC-IDX-007,2026-07-05,2026-12-31,Active,
INT-REC-IDX-000015,INDEX,DECISION,DEC-000015,Recommendation-000015,Overall Recommendation Intelligence Index,96,Excellent,0.99,Recommendation Engine,MODEL-REC-IDX-008,2026-07-05,2026-12-31,Active,
