intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-REC-ALT-000001,ALERT,DECISION,DEC-000001,Recommendation-000001,Immediate Decision Required,97,Critical,0.99,Decision Engine,MODEL-REC-ALT-001,2026-07-05,2026-08-05,Active,
INT-REC-ALT-000002,ALERT,DECISION,DEC-000002,Recommendation-000002,Manager Approval Required,89,High,0.98,Workflow Engine,MODEL-REC-ALT-001,2026-07-05,2026-08-05,Active,
INT-REC-ALT-000003,ALERT,DECISION,DEC-000003,Recommendation-000003,High Financial Impact,92,Critical,0.98,Financial Analytics,MODEL-REC-ALT-002,2026-07-05,2026-08-05,Active,
INT-REC-ALT-000004,ALERT,DECISION,DEC-000004,Recommendation-000004,Potential Customer Escalation,81,High,0.95,Customer Analytics,MODEL-REC-ALT-002,2026-07-05,2026-08-05,Active,
INT-REC-ALT-000005,ALERT,DECISION,DEC-000005,Recommendation-000005,Fraud Escalation Recommended,95,Critical,0.99,Fraud Engine,MODEL-REC-ALT-003,2026-07-05,2026-08-05,Active,
INT-REC-ALT-000006,ALERT,DECISION,DEC-000006,Recommendation-000006,Compliance Review Required,84,High,0.97,Compliance Engine,MODEL-REC-ALT-003,2026-07-05,2026-08-05,Active,
INT-REC-ALT-000007,ALERT,DECISION,DEC-000007,Recommendation-000007,Resource Constraint Alert,73,Medium,0.94,Operations Analytics,MODEL-REC-ALT-004,2026-07-05,2026-08-05,Active,
INT-REC-ALT-000008,ALERT,DECISION,DEC-000008,Recommendation-000008,Recommendation Confidence Low,64,Medium,0.92,Decision Engine,MODEL-REC-ALT-004,2026-07-05,2026-08-05,Active,
INT-REC-ALT-000009,ALERT,DECISION,DEC-000009,Recommendation-000009,Legal Consultation Suggested,78,High,0.95,Legal Engine,MODEL-REC-ALT-005,2026-07-05,2026-08-05,Active,
INT-REC-ALT-000010,ALERT,DECISION,DEC-000010,Recommendation-000010,Business Priority Escalation,90,Critical,0.98,Business Rules,MODEL-REC-ALT-005,2026-07-05,2026-08-05,Active,
INT-REC-ALT-000011,ALERT,DECISION,DEC-000011,Recommendation-000011,Historical Failure Pattern,72,Medium,0.93,Historical Analytics,MODEL-REC-ALT-006,2026-07-05,2026-08-05,Active,
INT-REC-ALT-000012,ALERT,DECISION,DEC-000012,Recommendation-000012,Human Review Suggested,82,High,0.96,XAI Engine,MODEL-REC-ALT-006,2026-07-05,2026-08-05,Active,
INT-REC-ALT-000013,ALERT,DECISION,DEC-000013,Recommendation-000013,Operational Delay Expected,75,Medium,0.94,Operations Analytics,MODEL-REC-ALT-007,2026-07-05,2026-08-05,Active,
INT-REC-ALT-000014,ALERT,DECISION,DEC-000014,Recommendation-000014,Recommendation Conflict Detected,86,High,0.96,Decision Engine,MODEL-REC-ALT-007,2026-07-05,2026-08-05,Active,
INT-REC-ALT-000015,ALERT,DECISION,DEC-000015,Recommendation-000015,Enterprise Recommendation Ready,98,Critical,0.99,Combined Intelligence,MODEL-REC-ALT-008,2026-07-05,2026-08-05,Active,
