reference_id,code,name,parent_code,parent_name,description,status,effective_date,expiry_date,source_authority,remarks
REF-STATE-000001,AN,Andaman and Nicobar Islands,IN,India,Union Territory,Active,1956-11-01,,Government of India,
REF-STATE-000002,AP,Andhra Pradesh,IN,India,State,Active,1956-11-01,,Government of India,
REF-STATE-000003,AR,Arunachal Pradesh,IN,India,State,Active,1987-02-20,,Government of India,
REF-STATE-000004,AS,Assam,IN,India,State,Active,1950-01-26,,Government of India,
REF-STATE-000005,BR,Bihar,IN,India,State,Active,1950-01-26,,Government of India,
REF-STATE-000006,CH,Chandigarh,IN,India,Union Territory,Active,1966-11-01,,Government of India,
REF-STATE-000007,CG,Chhattisgarh,IN,India,State,Active,2000-11-01,,Government of India,
REF-STATE-000008,DN,Dadra and Nagar Haveli and Daman and Diu,IN,India,Union Territory,Active,2020-01-26,,Government of India,
REF-STATE-000009,DL,Delhi,IN,India,National Capital Territory,Active,1991-02-01,,Government of India,
REF-STATE-000010,GA,Goa,IN,India,State,Active,1987-05-30,,Government of India,
REF-STATE-000011,GJ,Gujarat,IN,India,State,Active,1960-05-01,,Government of India,
REF-STATE-000012,HR,Haryana,IN,India,State,Active,1966-11-01,,Government of India,
REF-STATE-000013,HP,Himachal Pradesh,IN,India,State,Active,1971-01-25,,Government of India,
REF-STATE-000014,JK,Jammu and Kashmir,IN,India,Union Territory,Active,2019-10-31,,Government of India,
REF-STATE-000015,JH,Jharkhand,IN,India,State,Active,2000-11-15,,Government of India,
REF-STATE-000016,KA,Karnataka,IN,India,State,Active,1973-11-01,,Government of India,
REF-STATE-000017,KL,Kerala,IN,India,State,Active,1956-11-01,,Government of India,
REF-STATE-000018,LA,Ladakh,IN,India,Union Territory,Active,2019-10-31,,Government of India,
REF-STATE-000019,MP,Madhya Pradesh,IN,India,State,Active,1956-11-01,,Government of India,
REF-STATE-000020,MH,Maharashtra,IN,India,State,Active,1960-05-01,,Government of India,
REF-STATE-000021,MN,Manipur,IN,India,State,Active,1972-01-21,,Government of India,
REF-STATE-000022,ML,Meghalaya,IN,India,State,Active,1972-01-21,,Government of India,
REF-STATE-000023,MZ,Mizoram,IN,India,State,Active,1987-02-20,,Government of India,
REF-STATE-000024,NL,Nagaland,IN,India,State,Active,1963-12-01,,Government of India,
REF-STATE-000025,OD,Odisha,IN,India,State,Active,1950-01-26,,Government of India,
REF-STATE-000026,PY,Puducherry,IN,India,Union Territory,Active,1963-07-01,,Government of India,
REF-STATE-000027,PB,Punjab,IN,India,State,Active,1966-11-01,,Government of India,
REF-STATE-000028,RJ,Rajasthan,IN,India,State,Active,1956-11-01,,Government of India,
REF-STATE-000029,SK,Sikkim,IN,India,State,Active,1975-05-16,,Government of India,
REF-STATE-000030,TN,Tamil Nadu,IN,India,State,Active,1969-01-14,,Government of India,
REF-STATE-000031,TG,Telangana,IN,India,State,Active,2014-06-02,,Government of India,
REF-STATE-000032,TR,Tripura,IN,India,State,Active,1972-01-21,,Government of India,
REF-STATE-000033,UP,Uttar Pradesh,IN,India,State,Active,1950-01-26,,Government of India,
REF-STATE-000034,UK,Uttarakhand,IN,India,State,Active,2000-11-09,,Government of India,
REF-STATE-000035,WB,West Bengal,IN,India,State,Active,1950-01-26,,Government of India,
REF-STATE-000036,LD,Lakshadweep,IN,India,Union Territory,Active,1956-11-01,,Government of India,
