policy_id,insurer_code,insurer_name_synthetic,product_name,line_of_business,product_family,coverage_type,base_rate_pct,fixed_fee_rs,premium_multiplier,own_damage_cover,third_party_cover,zero_dep,engine_protect,roadside_assistance,consumables_cover,return_to_invoice,ncb_protect,passenger_cover,personal_accident_cover,ev_battery_cover,telematics_required,low_mileage_discount_pct,target_vehicle_age_max,target_mileage_max,ev_only,cashless_garage_score,claim_support_score,digital_servicing_score,service_score,best_for,exclusion_tags,plain_language_pitch,provenance
INS_A_TP_BASIC,INS_A,AdvisorySure,AdvisorySure ThirdParty Basic,motor,TP_BASIC,third_party_only,0.0075,2200,1.034,False,True,False,False,False,False,False,False,False,True,False,False,0,15,,False,86,77,73,80,Ultra-budget and mandatory third-party cover only,"Own damage not covered,No zero dep,No engine protect",Lowest premium option focused on statutory third-party cover.,synthetic_report_informed
INS_A_COMP_VALUE,INS_A,AdvisorySure,AdvisorySure Comprehensive Value,motor,COMP_VALUE,comprehensive,0.0125,2600,0.992,True,True,False,False,False,False,False,False,True,True,False,False,0,15,,False,83,82,78,83,Balanced price-sensitive users wanting own-damage cover,"Depreciation applies,Consumables excluded,Engine damage due to water ingress excluded",Base comprehensive plan with standard own-damage and liability protection.,synthetic_report_informed
INS_A_COMP_SMART,INS_A,AdvisorySure,AdvisorySure Comprehensive Smart,motor,COMP_SMART,comprehensive,0.0145,3000,0.978,True,True,False,False,True,False,False,True,True,True,False,False,0,12,,False,82,80,70,82,Daily commuters needing a stronger service layer,"Depreciation applies,Consumables excluded,Engine protect not included",Service-oriented comprehensive cover with roadside support and better claim convenience.,synthetic_report_informed
INS_A_ZERO_DEP_PLUS,INS_A,AdvisorySure,AdvisorySure ZeroDep Plus,motor,ZERO_DEP_PLUS,comprehensive_plus,0.0175,3600,0.979,True,True,True,True,True,True,True,True,True,True,False,False,0,5,,False,90,78,70,81,"Newer cars, financed cars and users prioritising low out-of-pocket claims","Usually not available for older cars,Mechanical breakdown excluded,Illegal use excluded",High-protection plan designed for newer vehicles and lower claim deductions.,synthetic_report_informed
INS_A_PAYD_FLEX,INS_A,AdvisorySure,AdvisorySure PayAsYouDrive Flex,motor,PAYD_FLEX,usage_based_comprehensive,0.013,2550,1.026,True,True,True,False,True,False,False,False,True,True,False,True,20,6,12000.0,False,90,82,76,83,Low-mileage digital users willing to share driving data,"Mileage slab limits apply,Telematics opt-in required,Extra mileage may change renewal cost",Usage-based plan that rewards low annual mileage and disciplined driving.,synthetic_report_informed
INS_A_EV_SHIELD,INS_A,AdvisorySure,AdvisorySure EV Shield,motor,EV_SHIELD,ev_comprehensive,0.0185,3800,0.991,True,True,True,False,True,True,True,True,True,True,True,False,0,8,,True,86,81,70,82,Electric vehicle owners needing battery and charging-equipment aware cover,"Battery conditions apply,Non-approved repairs may be restricted,Accessory limits may apply",EV-focused cover with battery-aware benefits and stronger assistance.,synthetic_report_informed
INS_A_HIGH_MILEAGE_PRO,INS_A,AdvisorySure,AdvisorySure HighMileage Pro,motor,HIGH_MILEAGE_PRO,comprehensive_plus,0.016,3300,1.046,True,True,False,True,True,False,False,True,True,True,False,False,0,12,,False,88,78,75,81,High-mileage users and frequent highway commuters,"Depreciation applies,Consumables excluded,RTI not included",Mileage-friendly cover with engine and roadside support for heavy use.,synthetic_report_informed
INS_A_FAMILY_CAR_PLUS,INS_A,AdvisorySure,AdvisorySure FamilyCar Plus,motor,FAMILY_CAR_PLUS,comprehensive_plus,0.0155,3200,0.997,True,True,True,False,True,False,False,True,True,True,False,False,0,7,,False,87,78,71,81,Family cars with moderate mileage and preference for smoother claims,"Engine protect not included,Tyre wear excluded,RTI not included",Balanced family-oriented cover with good service and add-on support.,synthetic_report_informed
INS_B_TP_BASIC,INS_B,ValueDrive,ValueDrive ThirdParty Basic,motor,TP_BASIC,third_party_only,0.0075,2200,0.883,False,True,False,False,False,False,False,False,False,True,False,False,0,15,,False,73,64,67,66,Ultra-budget and mandatory third-party cover only,"Own damage not covered,No zero dep,No engine protect",Lowest premium option focused on statutory third-party cover.,synthetic_report_informed
INS_B_COMP_VALUE,INS_B,ValueDrive,ValueDrive Comprehensive Value,motor,COMP_VALUE,comprehensive,0.0125,2600,0.93,True,True,False,False,False,False,False,False,True,True,False,False,0,15,,False,68,70,69,69,Balanced price-sensitive users wanting own-damage cover,"Depreciation applies,Consumables excluded,Engine damage due to water ingress excluded",Base comprehensive plan with standard own-damage and liability protection.,synthetic_report_informed
INS_B_COMP_SMART,INS_B,ValueDrive,ValueDrive Comprehensive Smart,motor,COMP_SMART,comprehensive,0.0145,3000,0.923,True,True,False,False,True,False,False,True,True,True,False,False,0,12,,False,69,67,70,68,Daily commuters needing a stronger service layer,"Depreciation applies,Consumables excluded,Engine protect not included",Service-oriented comprehensive cover with roadside support and better claim convenience.,synthetic_report_informed
INS_B_ZERO_DEP_PLUS,INS_B,ValueDrive,ValueDrive ZeroDep Plus,motor,ZERO_DEP_PLUS,comprehensive_plus,0.0175,3600,0.901,True,True,True,True,True,True,True,True,True,True,False,False,0,5,,False,73,69,65,68,"Newer cars, financed cars and users prioritising low out-of-pocket claims","Usually not available for older cars,Mechanical breakdown excluded,Illegal use excluded",High-protection plan designed for newer vehicles and lower claim deductions.,synthetic_report_informed
INS_B_PAYD_FLEX,INS_B,ValueDrive,ValueDrive PayAsYouDrive Flex,motor,PAYD_FLEX,usage_based_comprehensive,0.013,2550,0.939,True,True,True,False,True,False,False,False,True,True,False,True,20,6,12000.0,False,71,64,66,66,Low-mileage digital users willing to share driving data,"Mileage slab limits apply,Telematics opt-in required,Extra mileage may change renewal cost",Usage-based plan that rewards low annual mileage and disciplined driving.,synthetic_report_informed
INS_B_EV_SHIELD,INS_B,ValueDrive,ValueDrive EV Shield,motor,EV_SHIELD,ev_comprehensive,0.0185,3800,0.965,True,True,True,False,True,True,True,True,True,True,True,False,0,8,,True,71,70,63,69,Electric vehicle owners needing battery and charging-equipment aware cover,"Battery conditions apply,Non-approved repairs may be restricted,Accessory limits may apply",EV-focused cover with battery-aware benefits and stronger assistance.,synthetic_report_informed
INS_B_HIGH_MILEAGE_PRO,INS_B,ValueDrive,ValueDrive HighMileage Pro,motor,HIGH_MILEAGE_PRO,comprehensive_plus,0.016,3300,0.909,True,True,False,True,True,False,False,True,True,True,False,False,0,12,,False,73,67,64,68,High-mileage users and frequent highway commuters,"Depreciation applies,Consumables excluded,RTI not included",Mileage-friendly cover with engine and roadside support for heavy use.,synthetic_report_informed
INS_B_FAMILY_CAR_PLUS,INS_B,ValueDrive,ValueDrive FamilyCar Plus,motor,FAMILY_CAR_PLUS,comprehensive_plus,0.0155,3200,0.908,True,True,True,False,True,False,False,True,True,True,False,False,0,7,,False,72,65,63,66,Family cars with moderate mileage and preference for smoother claims,"Engine protect not included,Tyre wear excluded,RTI not included",Balanced family-oriented cover with good service and add-on support.,synthetic_report_informed
