intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-HUM-ALT-000001,ALERT,DRIVER,DRV-000001,Driver-000001,Repeated Speeding Alert,87,High,0.96,OBS-HUM1-000002,MODEL-HUM-ALT-001,2026-07-01,2026-07-07,Active,
INT-HUM-ALT-000002,ALERT,DRIVER,DRV-000002,Driver-000002,Aggressive Driving Alert,91,Critical,0.97,OBS-HUM1-000003;OBS-HUM1-000004,MODEL-HUM-ALT-001,2026-07-01,2026-07-07,Active,
INT-HUM-ALT-000003,ALERT,DRIVER,DRV-000003,Driver-000003,Driver Distraction Alert,89,High,0.96,OBS-HUM2-000002,MODEL-HUM-ALT-002,2026-07-01,2026-07-02,Active,
INT-HUM-ALT-000004,ALERT,DRIVER,DRV-000004,Driver-000004,Fatigue Alert,84,High,0.95,OBS-HUM2-000004,MODEL-HUM-ALT-002,2026-07-01,2026-07-01,Active,
INT-HUM-ALT-000005,ALERT,DRIVER,DRV-000005,Driver-000005,Mobile Phone Usage Alert,82,High,0.94,OBS-HUM2-000001,MODEL-HUM-ALT-003,2026-07-01,2026-07-03,Active,
INT-HUM-ALT-000006,ALERT,DRIVER,DRV-000006,Driver-000006,Lane Departure Alert,80,Medium,0.93,OBS-HUM2-000007,MODEL-HUM-ALT-003,2026-07-01,2026-07-01,Active,
INT-HUM-ALT-000007,ALERT,DRIVER,DRV-000007,Driver-000007,Unsafe Following Distance Alert,78,Medium,0.92,OBS-HUM1-000008,MODEL-HUM-ALT-004,2026-07-01,2026-07-01,Active,
INT-HUM-ALT-000008,ALERT,DRIVER,DRV-000008,Driver-000008,Multiple ADAS Warning Alert,76,Medium,0.91,OBS-HUM2-000008,MODEL-HUM-ALT-004,2026-07-01,2026-07-01,Active,
INT-HUM-ALT-000009,ALERT,DRIVER,DRV-000009,Driver-000009,Night Driving Fatigue Alert,81,High,0.94,OBS-HUM3-000001,MODEL-HUM-ALT-005,2026-07-01,2026-07-02,Active,
INT-HUM-ALT-000010,ALERT,DRIVER,DRV-000010,Driver-000010,Harsh Braking Pattern Alert,79,Medium,0.92,OBS-HUM1-000004,MODEL-HUM-ALT-005,2026-07-01,2026-07-05,Active,
INT-HUM-ALT-000011,ALERT,DRIVER,DRV-000011,Driver-000011,Risk Escalation Alert,74,Medium,0.90,Multiple Observations,MODEL-HUM-ALT-006,2026-07-01,2026-07-10,Active,
INT-HUM-ALT-000012,ALERT,DRIVER,DRV-000012,Driver-000012,Unsafe Driving Pattern Alert,90,Critical,0.97,Multiple Observations,MODEL-HUM-ALT-006,2026-07-01,2026-07-10,Active,
