intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-CLM-ALT-000001,ALERT,CLAIM,CLM-000001,Claim-000001,High Fraud Alert,92,Critical,0.98,Fraud Indicators,MODEL-CLM-ALT-001,2026-07-01,2026-07-31,Active,
INT-CLM-ALT-000002,ALERT,CLAIM,CLM-000002,Claim-000002,Reserve Exceeded,88,High,0.96,Reserve Analysis,MODEL-CLM-ALT-001,2026-07-01,2026-07-31,Active,
INT-CLM-ALT-000003,ALERT,CLAIM,CLM-000003,Claim-000003,Investigation Required,90,High,0.97,Rule Engine,MODEL-CLM-ALT-002,2026-07-01,2026-07-31,Active,
INT-CLM-ALT-000004,ALERT,CLAIM,CLM-000004,Claim-000004,Missing Documents,75,Medium,0.93,Document Verification,MODEL-CLM-ALT-002,2026-07-01,2026-07-31,Active,
INT-CLM-ALT-000005,ALERT,CLAIM,CLM-000005,Claim-000005,Claim Escalation,82,High,0.94,Workflow Analysis,MODEL-CLM-ALT-003,2026-07-01,2026-07-31,Active,
INT-CLM-ALT-000006,ALERT,CLAIM,CLM-000006,Claim-000006,Repair Delay,71,Medium,0.91,Garage Updates,MODEL-CLM-ALT-003,2026-07-01,2026-07-31,Active,
INT-CLM-ALT-000007,ALERT,CLAIM,CLM-000007,Claim-000007,Litigation Risk Alert,79,High,0.93,Legal Analysis,MODEL-CLM-ALT-004,2026-07-01,2026-07-31,Active,
INT-CLM-ALT-000008,ALERT,CLAIM,CLM-000008,Claim-000008,Customer Escalation Alert,73,Medium,0.91,CRM Signals,MODEL-CLM-ALT-004,2026-07-01,2026-07-31,Active,
INT-CLM-ALT-000009,ALERT,CLAIM,CLM-000009,Claim-000009,High Severity Alert,87,High,0.95,Damage Assessment,MODEL-CLM-ALT-005,2026-07-01,2026-07-31,Active,
INT-CLM-ALT-000010,ALERT,CLAIM,CLM-000010,Claim-000010,Manual Review Required,91,Critical,0.97,Combined Intelligence,MODEL-CLM-ALT-005,2026-07-01,2026-07-31,Active,
INT-CLM-ALT-000011,ALERT,CLAIM,CLM-000011,Claim-000011,Recovery Opportunity,66,Medium,0.90,Recovery Engine,MODEL-CLM-ALT-006,2026-07-01,2026-07-31,Active,
INT-CLM-ALT-000012,ALERT,CLAIM,CLM-000012,Claim-000012,Claim Aging Alert,80,High,0.94,Timeline Analysis,MODEL-CLM-ALT-006,2026-07-01,2026-07-31,Active,
INT-CLM-ALT-000013,ALERT,CLAIM,CLM-000013,Claim-000013,Settlement Delay Alert,76,Medium,0.92,Settlement Workflow,MODEL-CLM-ALT-007,2026-07-01,2026-07-31,Active,
INT-CLM-ALT-000014,ALERT,CLAIM,CLM-000014,Claim-000014,Duplicate Claim Alert,94,Critical,0.98,Duplicate Detection,MODEL-CLM-ALT-007,2026-07-01,2026-07-31,Active,
INT-CLM-ALT-000015,ALERT,CLAIM,CLM-000015,Claim-000015,High Operational Cost,72,Medium,0.91,Operational Analytics,MODEL-CLM-ALT-008,2026-07-01,2026-07-31,Active,
