glossary_id,canonical_term,business_definition,domain,concept_category,semantic_class,lifecycle,parent_concept,derived_from,aliases,example,source,remarks
GLOSS-REC-000001,Recommendation,Represents an AI-generated insurance recommendation.,Recommendation,Identity,Core,Dynamic,,,Recommendation,Recommended Policy,AI,Root business concept.
GLOSS-REC-000002,Recommendation Identifier,Unique identifier assigned to the recommendation.,Recommendation,Identity,Core,Stable,Recommendation,,Recommendation ID,REC-100001,Platform,Primary identifier.
GLOSS-REC-000003,Recommendation Type,Classification of recommendation.,Recommendation,Classification,Core,Stable,Recommendation,,Type,Policy Recommendation,Business,Recommendation category.
GLOSS-REC-000004,Recommendation Status,Current operational status.,Recommendation,Operational,Derived,Dynamic,Recommendation,Recommendation Lifecycle,,Active,Derived,Lifecycle.
GLOSS-REC-000005,Recommendation Timestamp,Timestamp when recommendation was generated.,Recommendation,Operational,Core,Stable,Recommendation,,Generated Time,2026-08-20T10:00:00,System,Audit.
GLOSS-REC-000006,Recommendation Target,Business object being recommended.,Recommendation,Reference,Core,Stable,Recommendation,,Target,HDFC Ergo Comprehensive,Business,Cross-domain reference.
GLOSS-REC-000007,Recommendation Objective,Primary business objective.,Recommendation,Classification,Core,Stable,Recommendation,,Objective,Maximum Coverage,Business,Optimization goal.
GLOSS-REC-000008,Recommendation Confidence,Overall recommendation confidence.,Recommendation,Assessment,AI Generated,Computed,Recommendation,Reasoning Engine,,97%,AI,Primary confidence.
GLOSS-REC-000009,Recommendation Score,Overall recommendation score.,Recommendation,Assessment,AI Generated,Computed,Recommendation,Ranking Engine,,96.5,AI,Ranking score.
GLOSS-REC-000010,Recommendation Summary,Simplified explanation of recommendation.,Recommendation,Derived,Derived,Computed,Recommendation,Recommendation Score,,Recommended because of high coverage and value.,Derived,AI explanation.
GLOSS-REC-000011,Recommendation Ranking,Represents ranking of candidate insurance products.,Recommendation,Assessment,Core,Dynamic,Recommendation,,Ranking,Top 3,Business,Parent concept.
GLOSS-REC-000012,Ranking Method,Ranking methodology.,Recommendation,Classification,Core,Stable,Recommendation Ranking,,Method,Hybrid Ranking,AI,Ranking algorithm.
GLOSS-REC-000013,Candidate Count,Number of evaluated candidates.,Recommendation,Operational,Core,Dynamic,Recommendation Ranking,,Candidates,24,AI,Evaluation.
GLOSS-REC-000014,Top Recommendation,Highest ranked recommendation.,Recommendation,Reference,Derived,Computed,Recommendation Ranking,Ranking Engine,,Policy A,Derived,Best option.
GLOSS-REC-000015,Ranking Position,Rank assigned to candidate.,Recommendation,Assessment,Derived,Computed,Recommendation Ranking,Ranking Engine,,1,Derived,Ordering.
GLOSS-REC-000016,Ranking Score,Score assigned during ranking.,Recommendation,Assessment,AI Generated,Computed,Recommendation Ranking,Ranking Engine,,96.5,AI,Primary metric.
GLOSS-REC-000017,Ranking Confidence,Confidence in ranking.,Recommendation,Assessment,AI Generated,Computed,Recommendation Ranking,Ranking Engine,,98%,AI,Stability.
GLOSS-REC-000018,Tie Resolution,Method used for resolving ties.,Recommendation,Operational,Derived,Computed,Recommendation Ranking,Ranking Engine,,Coverage Priority,Derived,Ranking consistency.
GLOSS-REC-000019,Ranking Summary,Simplified explanation of ranking.,Recommendation,Derived,Derived,Computed,Recommendation Ranking,Ranking Engine,,Ranked by value and coverage.,Derived,AI explanation.
GLOSS-REC-000020,Ranking Version,Version of ranking methodology.,Recommendation,Operational,Core,Stable,Recommendation Ranking,,Version,1.0.0,Platform,Reproducibility.
GLOSS-REC-000021,Recommendation Explanation,Represents natural-language explanation supporting recommendations.,Recommendation,Knowledge,Core,Dynamic,Recommendation,,Explanation,Policy Explanation,AI,Parent concept.
GLOSS-REC-000022,Explanation Identifier,Unique explanation identifier.,Recommendation,Identity,Core,Stable,Recommendation Explanation,,Explanation ID,EXP-100001,Platform,Primary identifier.
