scenario_id,scenario_name,location,season,key_observations,derived_intelligence,recommendations,expected_business_impact
SCN-ENV-000001,Mumbai Monsoon Flood,Mumbai,Monsoon,"Heavy Rain;Humidity 90%;Flood Event","Flood Risk=94;Water Ingress Risk=91","Engine Protect;Roadside Assistance;Garage Parking Advice","High probability of engine-related claims"
SCN-ENV-000002,Chennai Cyclone,Chennai,Cyclone Season,"Cyclone Category 2;Strong Wind","Cyclone Risk=89;Vehicle Damage Risk=88","Comprehensive Cover;Garage Parking","Increase in body and glass damage claims"
SCN-ENV-000003,Delhi Heatwave,Delhi,Summer,"Temperature 46°C","Heat Damage Risk=92;Battery Failure Risk=87","Roadside Assistance;Battery Inspection","Increase in breakdown assistance requests"
SCN-ENV-000004,Shimla Landslide,Shimla,Monsoon,"Heavy Rain;Landslide","Landslide Risk=84;Road Accessibility Low","Travel Advisory;Alternate Route","Travel disruption and delayed claims"
SCN-ENV-000005,Guwahati Flood,Guwahati,Monsoon,"River Overflow;Heavy Rain","Flood Risk=95","Engine Protect;Garage Parking","Very high flood claim frequency"
SCN-ENV-000006,Goa Coastal Exposure,Panaji,Monsoon,"High Humidity;Sea Salt Exposure","Corrosion Risk=87","Periodic Inspection;Anti-Corrosion Treatment","Higher long-term maintenance costs"
SCN-ENV-000007,Jaipur Drought,Jaipur,Summer,"Low Rainfall;High Temperature","Water Scarcity Index=84","Preventive Maintenance","Minimal immediate insurance impact"
SCN-ENV-000008,Pune Hailstorm,Pune,Spring,"Hailstorm","Hail Damage Risk=61","Comprehensive Cover","Localized body damage claims"
SCN-ENV-000009,Kolkata Lightning,Kolkata,Monsoon,"Frequent Lightning","Lightning Risk=81","Electrical System Inspection","Electronic component failures"
SCN-ENV-000010,Ahmedabad Dust Storm,Ahmedabad,Summer,"Dust Storm","Dust Storm Risk=72","Air Filter Maintenance","Moderate maintenance increase"
SCN-ENV-000011,Mumbai Urban Waterlogging,Mumbai,Monsoon,"Heavy Rain;Poor Drainage","Waterlogging Index=91","Engine Protect","Frequent hydro-lock claims"
SCN-ENV-000012,Delhi Winter Fog,Delhi,Winter,"Dense Fog;Visibility 50m","Fog Accident Risk=68","Safe Driving Advisory","Increase in collision frequency"
SCN-ENV-000013,Kerala Extreme Monsoon,Kochi,Monsoon,"Extreme Rainfall;Flood","Flood Risk=96","Engine Protect;Roadside Assistance","Catastrophic claim events"
SCN-ENV-000014,Leh Cold Climate,Leh,Winter,"Temperature -15°C;Snow","Cold Weather Risk=82","Battery Inspection","Cold-start failures"
SCN-ENV-000015,Bengaluru Pleasant Weather,Bengaluru,Annual,"Moderate Climate","Environmental Risk=22","Standard Coverage","Low environmental claim risk"
