reference_id,entity_code,entity_name,parent_code,segment_code,body_type_code,fuel_options,transmission_options,status,effective_date,expiry_date,source_authority,remarks
REF-MODEL-000001,SWIFT,Maruti Suzuki Swift,MSIL,B,HATCHBACK,PETROL;CNG,MANUAL;AMT,Active,2026-01-01,,Maruti Suzuki,
REF-MODEL-000002,BALENO,Maruti Suzuki Baleno,MSIL,B,HATCHBACK,PETROL,CVT;MANUAL,Active,2026-01-01,,Maruti Suzuki,
REF-MODEL-000003,NEXON,Tata Nexon,TATA,COMPACT_SUV,SUV,PETROL;DIESEL;ELECTRIC,MANUAL;AMT,Active,2026-01-01,,Tata Motors,
REF-MODEL-000004,HARRIER,Tata Harrier,TATA,MID_SUV,SUV,DIESEL,AUTOMATIC;MANUAL,Active,2026-01-01,,Tata Motors,
REF-MODEL-000005,CRETA,Hyundai Creta,HYUNDAI,COMPACT_SUV,SUV,PETROL;DIESEL,MANUAL;CVT;DCT,Active,2026-01-01,,Hyundai,
REF-MODEL-000006,VENUE,Hyundai Venue,HYUNDAI,COMPACT_SUV,SUV,PETROL;DIESEL,MANUAL;DCT,Active,2026-01-01,,Hyundai,
REF-MODEL-000007,SCORPIO_N,Mahindra Scorpio N,MAHINDRA,FULL_SIZE_SUV,SUV,PETROL;DIESEL,MANUAL;AUTOMATIC,Active,2026-01-01,,Mahindra,
REF-MODEL-000008,XUV700,Mahindra XUV700,MAHINDRA,FULL_SIZE_SUV,SUV,PETROL;DIESEL,MANUAL;AUTOMATIC,Active,2026-01-01,,Mahindra,
REF-MODEL-000009,FORTUNER,Toyota Fortuner,TOYOTA,FULL_SIZE_SUV,SUV,DIESEL,AUTOMATIC;MANUAL,Active,2026-01-01,,Toyota,
REF-MODEL-000010,CITY,Honda City,HONDA,C,SEDAN,PETROL,MANUAL;CVT,Active,2026-01-01,,Honda,
