relationship_id,source_context,relationship_type,target_context,relationship_strength,relationship_nature,evidence_level,confidence_score,model_reference,remarks
REL-ENV-000001,Heavy Rainfall,INCREASES,Flood Risk,0.98,Causal,High,0.98,MODEL-ENV-RISK-001,
REL-ENV-000002,Flood Risk,INCREASES,Water Ingress Risk,0.97,Causal,High,0.97,MODEL-ENV-RISK-001,
REL-ENV-000003,Water Ingress Risk,INCREASES,Engine Failure Probability,0.96,Causal,High,0.96,MODEL-ENV-RISK-001,
REL-ENV-000004,Engine Failure Probability,INCREASES,Claim Severity,0.93,Causal,High,0.95,MODEL-CLAIM-001,
REL-ENV-000005,Claim Severity,RECOMMENDS,Engine Protect Add-on,0.99,Rule-Based,High,0.99,RULE-REC-001,
REL-ENV-000006,Heavy Rainfall,DECREASES,Road Visibility,0.95,Causal,High,0.96,MODEL-ENV-002,
REL-ENV-000007,Low Visibility,INCREASES,Collision Risk,0.94,Causal,High,0.95,MODEL-MOB-001,
REL-ENV-000008,Collision Risk,INCREASES,Accident Claim Probability,0.93,Causal,High,0.94,MODEL-CLAIM-002,
REL-ENV-000009,Cyclone,INCREASES,Vehicle Damage Risk,0.96,Causal,High,0.96,MODEL-ENV-RISK-003,
REL-ENV-000010,Vehicle Damage Risk,RECOMMENDS,Comprehensive Insurance,0.98,Rule-Based,High,0.98,RULE-REC-002,
REL-ENV-000011,High Humidity,INCREASES,Corrosion Risk,0.92,Causal,Medium,0.92,MODEL-ENV-003,
REL-ENV-000012,Corrosion Risk,INCREASES,Maintenance Frequency,0.90,Causal,Medium,0.91,MODEL-VEH-002,
REL-ENV-000013,Maintenance Frequency,INCREASES,Repair Cost,0.89,Causal,Medium,0.90,MODEL-REP-001,
REL-ENV-000014,Repair Cost,RECOMMENDS,Zero Depreciation Cover,0.95,Rule-Based,High,0.95,RULE-REC-003,
REL-ENV-000015,Heatwave,INCREASES,Battery Failure Risk,0.92,Causal,High,0.93,MODEL-ENV-004,
REL-ENV-000016,Battery Failure Risk,RECOMMENDS,Roadside Assistance,0.96,Rule-Based,High,0.96,RULE-REC-004,
REL-ENV-000017,Dense Fog,INCREASES,Accident Probability,0.94,Causal,High,0.95,MODEL-MOB-002,
REL-ENV-000018,Landslide,BLOCKS,Road Accessibility,0.97,Causal,High,0.97,MODEL-INF-001,
REL-ENV-000019,Road Accessibility,INCREASES,Travel Delay,0.88,Causal,Medium,0.89,MODEL-MOB-003,
REL-ENV-000020,Lightning,INCREASES,Electrical System Damage,0.89,Causal,Medium,0.90,MODEL-VEH-004,
REL-ENV-000021,Coastal Exposure,INCREASES,Salt Corrosion Risk,0.95,Causal,High,0.95,MODEL-ENV-005,
REL-ENV-000022,Salt Corrosion Risk,INCREASES,Vehicle Depreciation,0.91,Causal,Medium,0.91,MODEL-VEH-005,
REL-ENV-000023,Vehicle Depreciation,RECOMMENDS,Depreciation Review,0.84,Rule-Based,Medium,0.86,RULE-REC-005,
REL-ENV-000024,Flood Warning,RECOMMENDS,Garage Parking,0.96,Rule-Based,High,0.97,RULE-REC-006,
REL-ENV-000025,Cyclone Warning,RECOMMENDS,Avoid Travel,0.94,Rule-Based,High,0.96,RULE-REC-007,
REL-ENV-000026,Heatwave,RECOMMENDS,Battery Inspection,0.91,Rule-Based,Medium,0.92,RULE-REC-008,
REL-ENV-000027,Poor AQI,DECREASES,Driving Comfort,0.82,Correlational,Medium,0.84,MODEL-ENV-006,
REL-ENV-000028,Environmental Hazard Score,INCREASES,Overall Insurance Risk,0.95,Causal,High,0.95,MODEL-ENV-RISK-007,
REL-ENV-000029,Overall Insurance Risk,INCREASES,Premium Adjustment,0.90,Rule-Based,High,0.92,RULE-PRICE-001,
REL-ENV-000030,Premium Adjustment,ASSOCIATED_WITH,Recommendation Priority,0.83,Business,Medium,0.85,RULE-REC-010,
