entity_name,entity_type,description
VehicleUsageObservation,Observation,Observed vehicle usage characteristics
MileageObservation,Observation,Observed mileage information
EngineObservation,Observation,Observed engine operating parameters
TransmissionObservation,Observation,Observed transmission behavior
BrakeObservation,Observation,Observed braking characteristics
TyreObservation,Observation,Observed tyre condition
BatteryObservation,Observation,Observed battery characteristics
FuelObservation,Observation,Fuel consumption observations
EnergyObservation,Observation,Electric energy consumption observations
MaintenanceObservation,Observation,Observed maintenance events
ServiceHistoryObservation,Observation,Observed servicing records
BreakdownObservation,Observation,Observed roadside failure events
VehicleHealthScore,DerivedIntelligence,Computed overall vehicle health
MechanicalRiskScore,DerivedIntelligence,Predicted mechanical risk
BreakdownProbability,DerivedIntelligence,Predicted roadside breakdown probability
UsageIntensityScore,DerivedIntelligence,Computed usage intensity
OperationalEfficiencyIndex,DerivedIntelligence,Vehicle operational efficiency index
PowertrainReliabilityIndex,DerivedIntelligence,Reliability of powertrain systems
RemainingUsefulLife,DerivedIntelligence,Estimated remaining operational life
MaintenanceRiskScore,DerivedIntelligence,Predicted maintenance requirement
BatteryHealthIndex,DerivedIntelligence,Computed battery health
BrakeHealthScore,DerivedIntelligence,Computed brake condition
TyreWearIndex,DerivedIntelligence,Computed tyre wear
VehicleBehaviorRelationship,Relationship,Causal relationships within vehicle behavior
