glossary_id,canonical_term,business_definition,domain,concept_category,semantic_class,lifecycle,parent_concept,derived_from,aliases,example,source,remarks
GLOSS-DOC-000001,Document,Represents a digital or physical insurance-related document.,Documents,Identity,Core,Dynamic,,,File,Policy PDF,Business,Root business concept.
GLOSS-DOC-000002,Document Identifier,Unique identifier assigned to the document.,Documents,Identity,Core,Stable,Document,,Document ID,DOC-100001,Platform,Primary identifier.
GLOSS-DOC-000003,Document Name,Official document name.,Documents,Identity,Core,Stable,Document,,File Name,policy.pdf,Business,Display name.
GLOSS-DOC-000004,Document Type,Classification of document.,Documents,Classification,Core,Stable,Document,,Type,Policy Certificate,Business,References Document Type Master.
GLOSS-DOC-000005,Document Category,Business category of document.,Documents,Classification,Core,Stable,Document,,Category,Policy,Business,Supports organization.
GLOSS-DOC-000006,Document Owner,Business entity owning the document.,Documents,Reference,Core,Dynamic,Document,,Owner,Customer,Business,Cross-domain reference.
GLOSS-DOC-000007,Document Source,Origin of the document.,Documents,Operational,Core,Stable,Document,,Source,Customer Upload,Business,Supports audit.
GLOSS-DOC-000008,Upload Timestamp,Timestamp when document was uploaded.,Documents,Operational,Core,Stable,Document,,Upload Time,2026-08-15T09:30:00,Business,Audit.
GLOSS-DOC-000009,Document Status,Current operational status.,Documents,Operational,Derived,Dynamic,Document,Document Lifecycle,,Active,Derived,Workflow.
GLOSS-DOC-000010,Document Summary,Simplified explanation of document.,Documents,Derived,Derived,Computed,Document,Document Type,,Uploaded policy certificate.,Derived,AI explanation.
GLOSS-DOC-000011,Document Metadata,Represents descriptive metadata associated with a document.,Documents,Identity,Core,Dynamic,Document,,Metadata,Metadata,Business,Parent concept.
GLOSS-DOC-000012,File Name,Original filename.,Documents,Identity,Core,Stable,Document Metadata,,Filename,policy.pdf,Business,Original upload.
GLOSS-DOC-000013,File Extension,Document extension.,Documents,Classification,Core,Stable,Document Metadata,,Extension,PDF,Business,Supports processing.
GLOSS-DOC-000014,MIME Type,Internet media type.,Documents,Classification,Core,Stable,Document Metadata,,Content Type,application/pdf,Business,Technical metadata.
GLOSS-DOC-000015,File Size,Document size.,Documents,Operational,Core,Stable,Document Metadata,,Size,2.4 MB,Business,Storage metadata.
GLOSS-DOC-000016,Page Count,Number of pages.,Documents,Operational,Derived,Computed,Document Metadata,Parser,,6,Derived,Processing.
GLOSS-DOC-000017,Language,Primary language detected.,Documents,Classification,Derived,Computed,Document Metadata,OCR,,English,Derived,Language detection.
