recommendation_id,recommendation_type,subject_type,subject_code,subject_name,recommendation,priority,expected_benefit,confidence_score,generated_from,rule_or_model,recommendation_timestamp,status,remarks
REC-INS-000001,Renewal,POLICY,POL-000001,Policy-000001,Offer Early Renewal Discount,High,Increase retention,0.98,Renewal Prediction,RULE-INS-001,2026-07-01,Active,
REC-INS-000002,Coverage,POLICY,POL-000002,Policy-000002,Upgrade Own Damage Cover,High,Improve protection,0.95,Coverage Gap,RULE-INS-002,2026-07-01,Active,
REC-INS-000003,Payment,POLICY,POL-000003,Policy-000003,Enable Auto Debit,Medium,Reduce lapse risk,0.94,Payment Behaviour,RULE-INS-003,2026-07-01,Active,
REC-INS-000004,Add-on,POLICY,POL-000004,Policy-000004,Recommend Engine Protect Cover,High,Reduce repair expenses,0.96,Coverage Analysis,RULE-INS-004,2026-07-01,Active,
REC-INS-000005,Add-on,POLICY,POL-000005,Policy-000005,Recommend Roadside Assistance,Medium,Improve roadside support,0.94,Coverage Analysis,RULE-INS-005,2026-07-01,Active,
REC-INS-000006,Loyalty,POLICY,POL-000006,Policy-000006,Offer Loyalty Reward,Medium,Improve retention,0.93,Loyalty Index,RULE-INS-006,2026-07-01,Active,
REC-INS-000007,Policy,POLICY,POL-000007,Policy-000007,Review Coverage Adequacy,High,Reduce underinsurance,0.95,Coverage Index,RULE-INS-007,2026-07-01,Active,
REC-INS-000008,Fraud,POLICY,POL-000008,Policy-000008,Manual Underwriting Review,High,Reduce fraud exposure,0.97,Risk Analysis,RULE-INS-008,2026-07-01,Active,
REC-INS-000009,Engagement,POLICY,POL-000009,Policy-000009,Promote Mobile App Usage,Low,Improve digital engagement,0.91,Engagement Index,RULE-INS-009,2026-07-01,Active,
REC-INS-000010,Retention,POLICY,POL-000010,Policy-000010,Personalized Retention Campaign,High,Prevent churn,0.95,Retention Prediction,RULE-INS-010,2026-07-01,Active,
REC-INS-000011,CrossSell,POLICY,POL-000011,Policy-000011,Recommend Personal Accident Cover,Medium,Increase coverage,0.92,Cross-sell Prediction,RULE-INS-011,2026-07-01,Active,
REC-INS-000012,Upsell,POLICY,POL-000012,Policy-000012,Recommend Zero Depreciation Upgrade,Medium,Improve claim benefits,0.93,Upsell Prediction,RULE-INS-012,2026-07-01,Active,
REC-INS-000013,Payment,POLICY,POL-000013,Policy-000013,Switch to Annual Premium Payment,Low,Lower servicing cost,0.90,Payment Analysis,RULE-INS-013,2026-07-01,Active,
REC-INS-000014,Service,POLICY,POL-000014,Policy-000014,Complete Pending KYC Update,High,Ensure regulatory compliance,0.98,KYC Alert,RULE-INS-014,2026-07-01,Active,
REC-INS-000015,Portfolio,POLICY,POL-000015,Policy-000015,Comprehensive Policy Review,Medium,Optimize protection,0.92,Combined Intelligence,MODEL-INS-REC-001,2026-07-01,Active,
