secret_id,secret_name,secret_type,storage_location,rotation_policy,maximum_age_days,owner,access_policy,description,status
SECRET-000001,Database Credentials,Credential,Secrets Vault,Automatic,90,Platform Team,Least Privilege,Database authentication credentials,Active
SECRET-000002,API Keys,API Key,Secrets Vault,Automatic,60,Platform Team,Least Privilege,External API credentials,Active
SECRET-000003,LLM API Tokens,Token,Secrets Vault,Automatic,30,AI Platform Team,Least Privilege,LLM provider credentials,Active
SECRET-000004,JWT Signing Keys,Cryptographic Key,HSM,Automatic,180,Security Team,Restricted,JWT signing material,Active
SECRET-000005,TLS Certificates,Certificate,Certificate Manager,Automatic,365,Infrastructure Team,Restricted,TLS certificates,Active
SECRET-000006,Encryption Keys,Key Management,HSM,Automatic,365,Security Team,Restricted,Master encryption keys,Active
SECRET-000007,OAuth Client Secrets,Credential,Secrets Vault,Automatic,90,Platform Team,Restricted,OAuth client credentials,Active
SECRET-000008,Webhook Secrets,Token,Secrets Vault,Automatic,90,Integration Team,Restricted,Webhook validation secrets,Active
SECRET-000009,Backup Encryption Keys,Key,HSM,Automatic,365,Security Team,Restricted,Backup encryption keys,Active
SECRET-000010,Emergency Recovery Secrets,Break Glass,Offline Vault,Manual,365,CISO,Critical Only,Emergency recovery credentials,Active
