scenario_id,scenario_name,location,infrastructure_context,key_observations,derived_intelligence,recommendations,expected_business_impact
SCN-INF-000001,Mumbai Business District,Mumbai,"Urban CBD","Excellent Roads;High CCTV;Covered Parking;Hospitals Nearby","Road Quality Index=91;Parking Safety=88","Standard Premium;Comprehensive Cover","Low claim frequency and fast repair turnaround"
SCN-INF-000002,Bengaluru Monsoon Roads,Bengaluru,"Urban Tech Corridor","High Pothole Density;Heavy Traffic","Suspension Damage Risk=84;Road Hazard=78","Roadside Assistance;Zero Depreciation","Increase in suspension and tyre claims"
SCN-INF-000003,Shimla Mountain Highway,Shimla,"Mountain Highway","Steep Gradient;Sharp Curves;Low Workshop Density","Mountain Road Risk=89;Repair Delay Risk=82","Roadside Assistance;Engine Protect","Higher accident severity and delayed repairs"
SCN-INF-000004,Goa Coastal Highway,Panaji,"Coastal Highway","Good Roads;Moderate Curves;Tourist Traffic","Road Quality Index=86;Curve Accident Risk=78","Comprehensive Cover","Moderate accident frequency during tourist season"
SCN-INF-000005,Rural Rajasthan Highway,Jaipur,"Rural Highway","Few Fuel Stations;Long Hospital Distance","Emergency Delay Risk=76;Trip Planning Risk=73","Emergency Assistance;RSA","Higher claim severity due to delayed response"
SCN-INF-000006,Delhi Metro Corridor,Delhi,"Urban Expressway","Excellent Roads;Dense Signals;High CCTV","Infrastructure Reliability=88","Standard Premium","Low accident frequency despite high traffic"
SCN-INF-000007,Pune Industrial Area,Pune,"Industrial Zone","Heavy Trucks;Road Wear;Moderate Parking","Road Hazard Risk=69","Tyre Protection;RSA","Higher tyre and suspension wear"
SCN-INF-000008,Guwahati Hill Roads,Guwahati,"Hilly Urban","Narrow Roads;Low Lighting","Road Hazard Risk=82;Night Driving Risk=74","Safe Driving Advisory","Higher night accident probability"
SCN-INF-000009,Ahmedabad Ring Road,Ahmedabad,"Urban Ring Road","Wide Roads;Few Pedestrian Crossings","Road Quality Index=83","Standard Cover","Moderate collision risk at junctions"
SCN-INF-000010,Leh Highway,Leh,"Remote Mountain Road","Low Fuel Stations;Sparse Workshops","Repair Accessibility Risk=91","RSA;Trip Assistance","Long repair turnaround time"
SCN-INF-000011,Kolkata Heritage Area,Kolkata,"Old Urban Core","Narrow Roads;High CCTV;Old Infrastructure","Infrastructure Reliability=71","Comprehensive Cover","Moderate collision and parking damage"
SCN-INF-000012,Chennai IT Corridor,Chennai,"Modern Urban Corridor","Excellent Roads;High EV Charging Density","Service Availability Risk=39","EV Assistance","Low operational risk for EVs"
SCN-INF-000013,Mumbai Eastern Express Highway,Mumbai,"Expressway","High-Speed Corridor;Excellent Surface","Road Quality=95;Road Hazard=34","Standard Premium","Low infrastructure-related claim probability"
SCN-INF-000014,Himachal Village Road,Kullu,"Mountain Rural","Single Lane;Poor Lighting;Landslide Zone","Road Hazard=92","RSA;Travel Advisory","High infrastructure-driven risk"
SCN-INF-000015,Smart City Pilot Area,Surat,"Smart City","IoT Signals;Smart Parking;Dense CCTV","Smart Infrastructure Index=94","Usage-Based Insurance Candidate","Reduced fraud and faster claims"
