intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-FRD-ALT-000001,ALERT,CASE,CASE-000001,Case-000001,High Fraud Alert,95,Critical,0.99,Fraud Risk Engine,MODEL-FRD-ALT-001,2026-07-01,2026-07-31,Active,
INT-FRD-ALT-000002,ALERT,CASE,CASE-000002,Case-000002,Duplicate Claim Alert,93,Critical,0.98,Duplicate Detection,MODEL-FRD-ALT-001,2026-07-01,2026-07-31,Active,
INT-FRD-ALT-000003,ALERT,CASE,CASE-000003,Case-000003,Synthetic Identity Alert,84,High,0.96,Identity Engine,MODEL-FRD-ALT-002,2026-07-01,2026-07-31,Active,
INT-FRD-ALT-000004,ALERT,CASE,CASE-000004,Case-000004,Fraud Ring Alert,92,Critical,0.98,Graph Analytics,MODEL-FRD-ALT-002,2026-07-01,2026-07-31,Active,
INT-FRD-ALT-000005,ALERT,CASE,CASE-000005,Case-000005,Claim Inflation Alert,81,High,0.95,Claim Analytics,MODEL-FRD-ALT-003,2026-07-01,2026-07-31,Active,
INT-FRD-ALT-000006,ALERT,CASE,CASE-000006,Case-000006,Document Tampering Alert,88,High,0.97,OCR Analysis,MODEL-FRD-ALT-003,2026-07-01,2026-07-31,Active,
INT-FRD-ALT-000007,ALERT,CASE,CASE-000007,Case-000007,Image Manipulation Alert,90,Critical,0.98,Vision AI,MODEL-FRD-ALT-004,2026-07-01,2026-07-31,Active,
INT-FRD-ALT-000008,ALERT,CASE,CASE-000008,Case-000008,Suspicious Payment Alert,78,High,0.94,Payment Analytics,MODEL-FRD-ALT-004,2026-07-01,2026-07-31,Active,
INT-FRD-ALT-000009,ALERT,CASE,CASE-000009,Case-000009,Blacklisted Identity Alert,97,Critical,0.99,Watchlist Match,MODEL-FRD-ALT-005,2026-07-01,2026-07-31,Active,
INT-FRD-ALT-000010,ALERT,CASE,CASE-000010,Case-000010,Manual SIU Review Required,91,Critical,0.98,Combined Intelligence,MODEL-FRD-ALT-005,2026-07-01,2026-07-31,Active,
INT-FRD-ALT-000011,ALERT,CASE,CASE-000011,Case-000011,Behavioral Anomaly Alert,76,Medium,0.93,Behavior Engine,MODEL-FRD-ALT-006,2026-07-01,2026-07-31,Active,
INT-FRD-ALT-000012,ALERT,CASE,CASE-000012,Case-000012,Network Expansion Alert,86,High,0.96,Entity Graph,MODEL-FRD-ALT-006,2026-07-01,2026-07-31,Active,
INT-FRD-ALT-000013,ALERT,CASE,CASE-000013,Case-000013,Repeat Offender Alert,83,High,0.95,Historical Cases,MODEL-FRD-ALT-007,2026-07-01,2026-07-31,Active,
INT-FRD-ALT-000014,ALERT,CASE,CASE-000014,Case-000014,High Financial Exposure Alert,89,High,0.97,Exposure Analysis,MODEL-FRD-ALT-007,2026-07-01,2026-07-31,Active,
INT-FRD-ALT-000015,ALERT,CASE,CASE-000015,Case-000015,Escalate Investigation,94,Critical,0.99,Combined Intelligence,MODEL-FRD-ALT-008,2026-07-01,2026-07-31,Active,
