knowledge_id,theme,source_year,insurance_line,extracted_signal,implication_for_agent,model_use,search_tags,source_file,provenance
RK001,Plain-language policy understanding,2010-11,cross-line,"IRDA emphasised full, plain, adequate and comparable product information and proposed a simple-language key features document.","Every recommendation should include a plain-language summary, premium details, charges, risks and what happens on discontinuance.","retrieval, explanation, response quality guardrail","plain language,key features,transparency,mis-selling",Annual report 2010-11 Bi-lingual.pdf,extracted
RK002,Central complaint repository,2009-10,cross-line,"IRDA established IGMS/IGCC to classify complaint types, track TATs, mirror insurer status and monitor market conduct.","Complaint-handling data should be structured, time-stamped and linked to issue type, status and turnaround time.","complaint routing, workflow state, SLA tracking","IGMS,IGCC,complaints,TAT,grievance workflow",Annual report 2009-10 Bi-lingual.pdf,extracted
RK003,Insurance Information Bureau foundation,2011-12,"motor,health,property","IIB was built as an industry data reference point and collects transactional Motor, Health, Fire, Marine and Engineering data.",A scalable advisor should store claim/policy history at transaction level and support benchmarking across insurers and segments.,"feature store design, external data connector design","IIB,motor data,transactional data,benchmarking",Annual report 2011-12 Bi-lingual.pdf,extracted
RK004,Product comparators and grievance analytics,2011-12,cross-line,IRDA operationalised product comparators for ULIP and general insurance and noted that IGMS enabled root-cause analysis of grievances.,Dataset should combine comparison-ready product fields with complaint/issue taxonomies.,"comparison interface, RAG index schema","product comparator,IGMS,root cause analysis,comparison platform",Annual report 2011-12 Bi-lingual.pdf,extracted
RK005,15-day escalation standard,2012-13,cross-line,Policyholders were advised to first complain to the insurer and escalate to the Authority if unresolved within 15 days.,Complaint playbooks should always track insurer-response age and automatically trigger escalation prompts after day 15.,"workflow policy, escalation triggers","15 days,escalation,complaint SLA,policyholder rights",Annual report 2012-13.pdf,extracted
RK006,Motor insurance status lookup and health standardisation,2016-17,"motor,health",IRDAI provided a web-based motor insurance status facility via IIB and standardised health policy terms/exclusions to reduce ambiguity.,Use structured vehicle-policy lookup and normalize coverage/exclusion language before presenting recommendations.,"tool integration, schema normalization","motor insurance status,IIB,standardisation,exclusions",Annual report 2016-17.pdf,extracted
RK007,Protection of Policyholders’ Interests Regulations 2017,2017-18,cross-line,"IRDAI notified PPI Regulations 2017 with service parameters, TATs, grievance closure rules and expectations at point of sale and claim.",Recommendation outputs should explicitly disclose service timelines and required documents at sale and claim stages.,"governance, explanation templates, evaluation criteria","PPI 2017,TAT,claim stage,point of sale",Annual Report 2017-18 Bi-lingual.pdf,extracted
RK008,Insurance Ombudsman decision path,2017-18,personal lines,"An Ombudsman complaint requires first approaching the insurer; it applies to individual policies, up to Rs 30 lakhs, with 30-day non-response or rejection triggers.","Complaint dataset should store individual-vs-commercial flag, claim amount, insurer response age and grounds for complaint.","complaint routing, post-sale advisory","ombudsman,30 lakhs,30 days,rejection,individual policy",Annual Report 2017-18 Bi-lingual.pdf,extracted
RK009,Consumer education around exclusions,2018-19,cross-line,"IRDAI highlighted consumer education on risks covered, exclusions, conditions and product suitability to reduce unfair business practices.",Top recommendations must always include a “what is not covered” section and a suitability explanation.,"exclusion highlighting, trust calibration","consumer education,exclusions,conditions,suitability",Annual Report 2018-19.pdf,extracted
RK010,Delayed claim settlement and anti-mis-selling,2020-21,cross-line,"Regulations prescribed service parameters, complaint resolution procedures, steps to prevent mis-selling and interest on delayed claim settlement.","Dataset should support delayed-settlement alerts, mis-selling detection labels and explanation templates for repudiation or delay.","claims guidance, model monitoring","delayed settlement,mis-selling,service parameters,interest",Annual Report 2020-21.pdf,extracted
RK011,"Telematics, AI premium calculators and Bima Bharosa",2022-23,motor,"Reports mention AI-powered premium calculators, telematics-based distance and driving-risk scoring, and Bima Bharosa as an online grievance portal.","The MVP dataset should include mileage, driving behaviour proxies, telematics opt-in and complaint-channel fields.","risk scoring, recommendation, grievance routing","telematics,premium calculator,Bima Bharosa,driving risk score",वार्षिक रिपोर्ट _ Annual Report 2022-23.pdf,extracted
RK012,IIB motor intelligence stack,2022-23,motor,"IIB reported SUDARSHANA for vehicle policy/claims history, UDAYAN API for vehicle details, and motor dashboards like PRATIBIMB.",Agentic workflows should separate customer-declared inputs from bureau/registry lookups and claim-history tools.,"tool schema, data fusion design","SUDARSHANA,UDAYAN,PRATIBIMB,vehicle history,motor bureau",वार्षिक रिपोर्ट _ Annual Report 2022-23.pdf,extracted
RK013,Customer Information Sheet and 2024 regulations,2023-24,cross-line,"IRDAI mandated a concise Customer Information Sheet, 30-day free look for life/health, mandatory bank account capture and electronic policy issuance.","Outputs should include a one-screen summary of benefits, limits, waiting periods/exclusions, payout bank details and digital policy delivery.","UI summary design, final answer template","CIS,30-day free look,e-policy,bank account capture",वार्षिक रिपोर्ट 2023-24 _ Annual Report 2023-24.pdf,extracted
RK014,Usage-based insurance and GenAI servicing,2024-25,motor,"The latest report mentions PAYD motor products, GenAI for personalized recommendations, image-based motor damage detection and AI complaint handling.","Training data should include PAYD eligibility, low-mileage discounts, image/claim workflows and personalized explanation styles.","latest feature set, agentic roadmap, multimodal expansion","PAYD,GenAI,personalized recommendations,motor claims,image damage",आईआरडीएआई वार्षिक रिपोर्ट _ IRDAI Annual Report 2024-25.pdf,extracted
RK015,Master Circular on Protection of Policyholders’ Interests 2024,2024-25,cross-line,"The 2024 master circular consolidated policyholder entitlements, required faster claim processing and technology-driven grievance systems integrated with Bima Bharosa.","Agent actions should be traceable, claim-support friendly and able to link users to real-time complaint tracking.","workflow orchestration, auditability, trust and service design","master circular,policyholder entitlements,Bima Bharosa,claim processing",आईआरडीएआई वार्षिक रिपोर्ट _ IRDAI Annual Report 2024-25.pdf,extracted
