entity_name,entity_type,description
RecommendationObservation,Observation,Observed decision input
RecommendationContext,Observation,Aggregated decision context
BusinessConstraint,Observation,Operational or regulatory constraint
DecisionSignal,Observation,Decision-supporting signal
RecommendationRiskScore,DerivedIntelligence,Risk associated with recommendation
RecommendationIndex,DerivedIntelligence,Composite recommendation quality metric
RecommendationAlert,DerivedIntelligence,Operational recommendation alert
RecommendationPrediction,Prediction,Predicted recommendation outcome
BusinessRecommendation,Recommendation,Recommended business action
RecommendationExplanation,Explanation,Explainable AI reasoning
RecommendationRelationship,Relationship,Relationship among recommendations and contextual factors
RecommendationScenario,SeedData,Representative recommendation scenario
DecisionTrace,DerivedIntelligence,Trace of recommendation generation
RecommendationPriorityScore,DerivedIntelligence,Priority assigned to recommendation
RecommendationConfidenceScore,DerivedIntelligence,Confidence assigned to recommendation
BusinessImpactAssessment,DerivedIntelligence,Expected business impact of recommendation
