term,label,definition
zero_dep,Zero Depreciation,"In case of a claim, the insurer pays the full replacement cost of damaged parts without deducting depreciation for their age. This is NOT the same as a deductible."
ncb_protect,NCB Protection,"An add-on that preserves your No Claim Bonus discount even if you file one claim in the policy year."
ncb,No Claim Bonus (NCB),"A discount on premium, usually 20 to 50 percent, given at renewal for each consecutive year you do not file a claim."
idv,Insured Declared Value (IDV),"The maximum amount the insurer will pay if the vehicle is stolen or declared a total loss -- roughly the vehicle's current market value."
third_party_cover,Third-Party Cover,"Mandatory-by-law cover that pays for injury or damage the insured vehicle causes to OTHER people or property. It does not pay for damage to the insured's own vehicle."
own_damage_cover,Own Damage Cover,"Cover for damage to the POLICYHOLDER's own vehicle from accidents, theft, fire, or natural calamities. Combined with third-party cover, this makes a Comprehensive policy."
roadside_assistance,Roadside Assistance (RSA),"Add-on cover for breakdown help such as towing, flat tyre change, fuel delivery, or minor on-the-spot repairs."
engine_protect,Engine Protection,"Add-on covering engine damage from water ingress (flooding) or oil leakage, which standard policies usually exclude."
consumables_cover,Consumables Cover,"Add-on covering consumable items used during repair (engine oil, nuts, bolts, grease) that are normally excluded from claims."
return_to_invoice,Return to Invoice (RTI),"Add-on that pays the original purchase invoice price of the vehicle, not just the depreciated IDV, if it is stolen or a total loss."
passenger_cover,Passenger Cover,"Extends personal-accident-style cover to passengers in the vehicle, not just the owner-driver."
personal_accident_cover,Personal Accident Cover,"Covers death or permanent disability of the owner-driver caused by a road accident."
ev_battery_cover,EV Battery Cover,"Add-on specific to electric vehicles covering damage to the vehicle's battery."
telematics_required,Telematics-Based Insurance,"Insurance where a device or app tracks driving behaviour (speed, braking, distance) to offer discounts for safe driving."
cashless_garage,Cashless Garage,"A garage with a direct billing tie-up with the insurer, so the policyholder does not pay upfront -- the insurer settles the bill directly with the garage."
