intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-INF-RISK-000001,RISK,CITY,MUM,Mumbai,Road Hazard Risk,71,High,0.94,OBS-INF1-000001;OBS-INF1-000002,MODEL-INF-RISK-001,2026-01-01,2026-12-31,Active,
INT-INF-RISK-000002,RISK,CITY,BLR,Bengaluru,Suspension Damage Risk,84,High,0.93,OBS-INF1-000006,MODEL-INF-RISK-001,2026-01-01,2026-12-31,Active,
INT-INF-RISK-000003,RISK,CITY,SHI,Shimla,Mountain Road Risk,89,Very High,0.96,OBS-INF1-000007,MODEL-INF-RISK-002,2026-01-01,2026-12-31,Active,
INT-INF-RISK-000004,RISK,CITY,GOA,Panaji,Curve Accident Risk,78,High,0.92,OBS-INF1-000008,MODEL-INF-RISK-002,2026-01-01,2026-12-31,Active,
INT-INF-RISK-000005,RISK,CITY,DEL,Delhi,Night Driving Risk,62,Medium,0.91,OBS-INF2-000002,MODEL-INF-RISK-003,2026-01-01,2026-12-31,Active,
INT-INF-RISK-000006,RISK,CITY,PUN,Pune,Parking Theft Risk,58,Medium,0.89,OBS-INF2-000004,MODEL-INF-RISK-003,2026-01-01,2026-12-31,Active,
INT-INF-RISK-000007,RISK,CITY,GUW,Guwahati,Emergency Delay Risk,82,High,0.95,OBS-INF3-000012,MODEL-INF-RISK-004,2026-01-01,2026-12-31,Active,
INT-INF-RISK-000008,RISK,CITY,JAI,Jaipur,Repair Accessibility Risk,76,High,0.92,OBS-INF3-000010,MODEL-INF-RISK-004,2026-01-01,2026-12-31,Active,
INT-INF-RISK-000009,RISK,CITY,CHE,Chennai,Service Availability Risk,41,Low,0.88,OBS-INF3-000004,MODEL-INF-RISK-005,2026-01-01,2026-12-31,Active,
INT-INF-RISK-000010,RISK,CITY,KOL,Kolkata,Infrastructure Failure Risk,52,Medium,0.89,OBS-INF2-000010,MODEL-INF-RISK-005,2026-01-01,2026-12-31,Active,
INT-INF-RISK-000011,RISK,STATE,MH,Maharashtra,Road Network Risk,48,Medium,0.91,Multiple Observations,MODEL-INF-RISK-006,2026-01-01,2026-12-31,Active,
INT-INF-RISK-000012,RISK,STATE,HP,Himachal Pradesh,Hill Infrastructure Risk,87,Very High,0.95,Multiple Observations,MODEL-INF-RISK-006,2026-01-01,2026-12-31,Active,
INT-INF-RISK-000013,RISK,ROAD_SEGMENT,NH48-001,NH-48 Mumbai-Pune,Pothole Risk,79,High,0.94,Road Survey,MODEL-INF-RISK-007,2026-01-01,2026-12-31,Active,
INT-INF-RISK-000014,RISK,ROAD_SEGMENT,NH44-001,NH-44 Delhi Stretch,Road Wear Risk,68,Medium,0.91,Road Survey,MODEL-INF-RISK-007,2026-01-01,2026-12-31,Active,
INT-INF-RISK-000015,RISK,CITY,MUM,Mumbai,Infrastructure Hazard Score,73,High,0.94,Multiple Observations,MODEL-INF-RISK-008,2026-01-01,2026-12-31,Active,
