intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-INS-RISK-000001,RISK,POLICY,POL-000001,Policy-000001,Lapse Risk,18,Low,0.98,Multiple Observations,MODEL-INS-RISK-001,2026-07-01,2026-07-31,Active,
INT-INS-RISK-000002,RISK,POLICY,POL-000002,Policy-000002,Renewal Risk,71,High,0.95,Renewal History,MODEL-INS-RISK-001,2026-07-01,2026-07-31,Active,
INT-INS-RISK-000003,RISK,POLICY,POL-000003,Policy-000003,Fraud Exposure Risk,62,Medium,0.94,Claim History,MODEL-INS-RISK-002,2026-07-01,2026-07-31,Active,
INT-INS-RISK-000004,RISK,POLICY,POL-000004,Policy-000004,Coverage Gap Risk,58,Medium,0.93,Coverage Analysis,MODEL-INS-RISK-002,2026-07-01,2026-07-31,Active,
INT-INS-RISK-000005,RISK,POLICY,POL-000005,Policy-000005,Payment Default Risk,77,High,0.96,Payment History,MODEL-INS-RISK-003,2026-07-01,2026-07-31,Active,
INT-INS-RISK-000006,RISK,POLICY,POL-000006,Policy-000006,Claim Inflation Risk,49,Medium,0.91,Claims Analysis,MODEL-INS-RISK-003,2026-07-01,2026-07-31,Active,
INT-INS-RISK-000007,RISK,POLICY,POL-000007,Policy-000007,Policy Misuse Risk,43,Medium,0.90,Behavior Profile,MODEL-INS-RISK-004,2026-07-01,2026-07-31,Active,
INT-INS-RISK-000008,RISK,POLICY,POL-000008,Policy-000008,Overall Insurance Risk,69,High,0.95,Combined Intelligence,MODEL-INS-RISK-004,2026-07-01,2026-07-31,Active,
INT-INS-RISK-000009,RISK,POLICY,POL-000009,Policy-000009,Cancellation Risk,37,Medium,0.91,CRM Activity,MODEL-INS-RISK-005,2026-07-01,2026-07-31,Active,
INT-INS-RISK-000010,RISK,POLICY,POL-000010,Policy-000010,Customer Churn Risk,65,High,0.94,Engagement Data,MODEL-INS-RISK-005,2026-07-01,2026-07-31,Active,
INT-INS-RISK-000011,RISK,POLICY,POL-000011,Policy-000011,NCB Loss Risk,28,Low,0.90,Claims History,MODEL-INS-RISK-006,2026-07-01,2026-07-31,Active,
INT-INS-RISK-000012,RISK,POLICY,POL-000012,Policy-000012,Coverage Underinsurance Risk,74,High,0.95,Coverage Analysis,MODEL-INS-RISK-006,2026-07-01,2026-07-31,Active,
INT-INS-RISK-000013,RISK,POLICY,POL-000013,Policy-000013,Retention Risk,54,Medium,0.92,Loyalty History,MODEL-INS-RISK-007,2026-07-01,2026-07-31,Active,
INT-INS-RISK-000014,RISK,POLICY,POL-000014,Policy-000014,Premium Affordability Risk,48,Medium,0.91,Billing Data,MODEL-INS-RISK-007,2026-07-01,2026-07-31,Active,
INT-INS-RISK-000015,RISK,POLICY,POL-000015,Policy-000015,Policy Health Risk,22,Low,0.97,Combined Intelligence,MODEL-INS-RISK-008,2026-07-01,2026-07-31,Active,
