glossary_id,canonical_term,business_definition,domain,concept_category,semantic_class,lifecycle,parent_concept,derived_from,aliases,example,source,remarks
GLOSS-COV-000001,Coverage,A standardized insurance protection that compensates for defined insured risks.,Coverage,Identity,Core,Stable,,,Insurance Protection,Own Damage,Business,Root business concept.
GLOSS-COV-000002,Coverage Identifier,A unique business identifier assigned to a coverage.,Coverage,Identity,Core,Stable,Coverage,,Coverage ID,COV-100001,Platform,Primary business identifier.
GLOSS-COV-000003,Coverage Name,Official business name of the coverage.,Coverage,Identity,Core,Stable,Coverage,,Coverage Title,Own Damage,Business,Displayed to customers.
GLOSS-COV-000004,Coverage Category,Classification of the coverage according to its protection objective.,Coverage,Classification,Core,Stable,Coverage,,Coverage Category,Vehicle Damage,Business,References Coverage Category Master.
GLOSS-COV-000005,Coverage Type,Business classification of the coverage.,Coverage,Classification,Core,Stable,Coverage,,Coverage Type,Base Coverage,Business,Examples include Base and Add-on.
GLOSS-COV-000006,Coverage Status,Current operational status of the coverage.,Coverage,Operational,Derived,Dynamic,Coverage,Coverage Lifecycle Stage,,Active,Derived,Platform status.
GLOSS-COV-000007,Coverage Lifecycle Stage,Current lifecycle stage of the coverage.,Coverage,Operational,Derived,Dynamic,Coverage,Launch Date,,Available,Derived,Supports governance.
GLOSS-COV-000008,Coverage Version,Current version of the canonical coverage definition.,Coverage,Identity,Core,Stable,Coverage,,Coverage Version,1.0.0,Platform,Supports versioning.
GLOSS-COV-000009,Coverage Description,Business description explaining the protection provided.,Coverage,Identity,Core,Dynamic,Coverage,,Description,Covers accidental vehicle damage.,Business,Customer-facing.
GLOSS-COV-000010,Coverage Summary,Short business summary of the coverage.,Coverage,Derived,Derived,Computed,Coverage,Coverage Description,,Summary,Protection against accidental damage.,Derived,Supports AI explanations.
GLOSS-COV-000011,Coverage Benefit,Represents a benefit delivered by the coverage.,Coverage,Identity,Core,Stable,Coverage,,Benefit,Vehicle Repair,Business,Parent business concept.
GLOSS-COV-000012,Benefit Name,Official name of the benefit.,Coverage,Identity,Core,Stable,Coverage Benefit,,Benefit Name,Accidental Damage Repair,Business,Customer-facing.
GLOSS-COV-000013,Benefit Description,Detailed explanation of the benefit.,Coverage,Identity,Core,Stable,Coverage Benefit,,Benefit Description,Repairs accidental damage.,Business,Supports explanation.
GLOSS-COV-000014,Financial Benefit,Monetary compensation offered under the benefit.,Coverage,Financial,Core,Stable,Coverage Benefit,,Financial Compensation,Repair Cost Covered,Business,Financial benefit.
GLOSS-COV-000015,Service Benefit,Non-financial assistance offered by the benefit.,Coverage,Operational,Core,Stable,Coverage Benefit,,Service,Roadside Assistance,Business,Service benefit.
GLOSS-COV-000016,Benefit Trigger,Business event activating the benefit.,Coverage,Operational,Core,Stable,Coverage Benefit,,Trigger,Accident,Business,Claim condition.
GLOSS-COV-000017,Benefit Recipient,Party receiving the benefit.,Coverage,Reference,Core,Stable,Coverage Benefit,,Beneficiary,Policyholder,Business,Usually insured.
GLOSS-COV-000018,Benefit Priority,Business priority of the benefit.,Coverage,Classification,Derived,Computed,Coverage Benefit,Benefit Category,,Primary,Derived,Supports explanation.
GLOSS-COV-000019,Benefit Availability,Availability status of the benefit.,Coverage,Operational,Derived,Computed,Coverage Benefit,Coverage Status,,Available,Derived,Platform status.
GLOSS-COV-000020,Benefit Summary,Short explanation of the benefit.,Coverage,Derived,Derived,Computed,Coverage Benefit,Benefit Description,,Vehicle repair after accident.,Derived,Supports AI explanation.
GLOSS-COV-000021,Coverage Limit,Maximum protection available under a coverage.,Coverage,Financial,Core,Stable,Coverage,,Limit,₹1000000,Business,Parent concept.
GLOSS-COV-000022,Limit Type,Classification of the coverage limit.,Coverage,Classification,Core,Stable,Coverage Limit,,Limit Type,Financial,Business,References Limit Type Master.
GLOSS-COV-000023,Maximum Claim Amount,Highest payable amount under the coverage.,Coverage,Financial,Core,Stable,Coverage Limit,,Maximum Payout,₹1000000,Business,Claim cap.
GLOSS-COV-000024,Aggregate Limit,Maximum cumulative payout during the policy period.,Coverage,Financial,Core,Stable,Coverage Limit,,Annual Limit,₹1500000,Business,Aggregate protection.
