schema_id,entity_id,attribute_name,business_definition,data_type,required,derived,derived_from,default_value,validation_rule,reference_catalog,collection_source,privacy_class,example_value,ai_importance,remarks
SCH-DRVR-000001,ENT-DRVR-000001,driver_identifier,A unique business identifier assigned to the driver.,Identifier,Yes,No,,,Required;Unique,,Internal System,Personal,DRV-100001,Critical,Primary business identifier.
SCH-DRVR-000002,ENT-DRVR-000001,driver_type,Classification of the driver.,Enumeration,Yes,No,,,Reference Integrity,Customer Type Master,User Input,Internal,Primary Driver,High,
SCH-DRVR-000003,ENT-DRVR-000001,driver_status,Current operational status of the driver.,Enumeration,Yes,Yes,driver_lifecycle_stage,,Domain Constraint,,Derived,Internal,Active,Medium,
SCH-DRVR-000004,ENT-DRVR-000001,driver_registration_date,Date on which the driver profile was created.,Date,Yes,No,,,ISO Date,,Internal System,Internal,2026-07-01,Low,
SCH-DRVR-000005,ENT-DRVR-000001,primary_driver_indicator,Indicates whether the driver is the principal vehicle operator.,Boolean,Yes,No,,,,,User Input,Internal,True,Medium,
SCH-DRVR-000006,ENT-DRVR-000002,driver_relationship,Relationship of the driver to the policyholder.,String,Yes,No,,,,,User Input,Internal,Self,Medium,
SCH-DRVR-000007,ENT-DRVR-000002,date_of_birth,Official date of birth of the driver.,Date,Yes,No,,,ISO Date,,User Input,Sensitive Personal,1995-06-14,Critical,
SCH-DRVR-000008,ENT-DRVR-000002,driver_age,Current age of the driver.,Integer,Yes,Yes,date_of_birth,,Positive Number,,Derived,Internal,31,High,
SCH-DRVR-000009,ENT-DRVR-000002,driver_verification_status,Verification status of the driver.,Boolean,Yes,Yes,driving_licence_verification,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-DRVR-000010,ENT-DRVR-000003,driving_licence_number,Official driving licence number.,String,Yes,No,,,Required;Unique,,Government Records,Sensitive Personal,MH1220211234567,Critical,
SCH-DRVR-000011,ENT-DRVR-000003,driving_licence_class,Authorized vehicle class.,Enumeration,Yes,No,,,Reference Integrity,Driving Licence Class Master,Government Records,Internal,LMV,High,
SCH-DRVR-000012,ENT-DRVR-000003,driving_licence_status,Current legal status of the licence.,Enumeration,Yes,Yes,licence_expiry_date,,Reference Integrity,Driving Licence Status Master,Derived,Internal,Valid,High,
SCH-DRVR-000013,ENT-DRVR-000003,licence_issue_date,Date on which the licence was issued.,Date,Yes,No,,,ISO Date,,Government Records,Internal,2019-06-15,Medium,
SCH-DRVR-000014,ENT-DRVR-000003,licence_expiry_date,Date on which the licence expires.,Date,Yes,No,,,ISO Date,,Government Records,Internal,2039-06-14,High,
SCH-DRVR-000015,ENT-DRVR-000003,licence_validity,Current validity of the licence.,Boolean,Yes,Yes,licence_expiry_date,,Domain Constraint,,Derived,Internal,True,High,
SCH-DRVR-000016,ENT-DRVR-000003,issuing_authority,Regional Transport Office issuing the licence.,Enumeration,Yes,No,,,Reference Integrity,RTO Master,Government Records,Internal,Pune RTO,Medium,
SCH-DRVR-000017,ENT-DRVR-000003,driving_licence_verification,Verification status of the driving licence.,Boolean,Yes,Yes,driving_licence_number,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-DRVR-000018,ENT-DRVR-000003,commercial_licence_indicator,Indicates whether the licence permits commercial driving.,Boolean,Yes,No,,,,,Government Records,Internal,False,Medium,
SCH-DRVR-000019,ENT-DRVR-000003,hazardous_goods_endorsement,Indicates whether the driver is licensed to transport hazardous goods.,Boolean,No,No,,,,,Government Records,Internal,False,Low,
SCH-DRVR-000020,ENT-DRVR-000003,licence_suspension_status,Indicates whether the licence is suspended.,Boolean,Yes,Yes,driving_licence_status,,Domain Constraint,,Derived,Internal,False,Critical,
SCH-DRVR-000021,ENT-DRVR-000004,gender,Gender of the driver.,Enumeration,Yes,No,,,Reference Integrity,Gender Master,User Input,Personal,Male,Medium,
SCH-DRVR-000022,ENT-DRVR-000004,marital_status,Current marital status of the driver.,Enumeration,No,No,,,Reference Integrity,Marital Status Master,User Input,Personal,Married,Low,
SCH-DRVR-000023,ENT-DRVR-000004,occupation,Primary occupation of the driver.,Enumeration,No,No,,,Reference Integrity,Occupation Master,User Input,Personal,Software Engineer,High,
SCH-DRVR-000024,ENT-DRVR-000004,employment_status,Current employment status of the driver.,Enumeration,No,No,,,Reference Integrity,Employment Status Master,User Input,Personal,Employed,Medium,
SCH-DRVR-000025,ENT-DRVR-000004,education_level,Highest education completed by the driver.,Enumeration,No,No,,,Reference Integrity,Education Level Master,User Input,Personal,Bachelor's Degree,Medium,
SCH-DRVR-000026,ENT-DRVR-000004,residential_location,Primary residential location of the driver.,Enumeration,No,No,,,Reference Integrity,City Master,User Input,Personal,Pune,Medium,
SCH-DRVR-000027,ENT-DRVR-000004,annual_driving_distance,Estimated annual driving distance.,Decimal,No,No,,,Positive Number,,User Input,Internal,12000,High,
SCH-DRVR-000028,ENT-DRVR-000004,driving_frequency,Typical driving frequency.,String,No,No,,,,,User Input,Internal,Daily,Medium,
SCH-DRVR-000029,ENT-DRVR-000004,years_of_driving_experience,Number of years of licensed driving experience.,Integer,Yes,Yes,licence_issue_date,,Positive Number,,Derived,Internal,7,Critical,
SCH-DRVR-000030,ENT-DRVR-000004,driving_experience_level,Categorized driving experience.,Enumeration,Yes,Yes,years_of_driving_experience,,Reference Integrity,Driving Experience Range Master,Derived,Internal,Experienced,High,
SCH-DRVR-000031,ENT-DRVR-000004,primary_vehicle_usage,Primary purpose for which the driver operates vehicles.,String,No,No,,,,,User Input,Internal,Personal,Medium,
SCH-DRVR-000032,ENT-DRVR-000004,night_driving_frequency,Frequency of driving during nighttime.,String,No,No,,,,,User Input,Internal,Occasional,Medium,
SCH-DRVR-000033,ENT-DRVR-000004,highway_driving_frequency,Frequency of highway driving.,String,No,No,,,,,User Input,Internal,Frequent,Medium,
SCH-DRVR-000034,ENT-DRVR-000004,urban_driving_frequency,Frequency of urban driving.,String,No,No,,,,,User Input,Internal,Daily,Medium,
SCH-DRVR-000035,ENT-DRVR-000004,rural_driving_frequency,Frequency of rural driving.,String,No,No,,,,,User Input,Internal,Rare,Low,
SCH-DRVR-000036,ENT-DRVR-000004,international_driving_experience,Indicates whether the driver has international driving experience.,Boolean,No,No,,,,,User Input,Internal,False,Low,
SCH-DRVR-000037,ENT-DRVR-000004,professional_driving_experience,Indicates whether the driver has professional driving experience.,Boolean,No,No,,,,,User Input,Internal,False,Medium,
SCH-DRVR-000038,ENT-DRVR-000005,number_of_accidents,Total number of recorded accidents involving the driver.,Integer,Yes,Yes,accident_history,,Non-negative Number,,Derived,Internal,1,Critical,
SCH-DRVR-000039,ENT-DRVR-000005,fault_accident_count,Number of accidents where the driver was at fault.,Integer,Yes,Yes,accident_history,,Non-negative Number,,Derived,Internal,0,High,
SCH-DRVR-000040,ENT-DRVR-000005,non_fault_accident_count,Number of accidents where another party was at fault.,Integer,Yes,Yes,accident_history,,Non-negative Number,,Derived,Internal,1,Medium,
SCH-DRVR-000041,ENT-DRVR-000005,traffic_violation_count,Total number of recorded traffic violations.,Integer,Yes,Yes,traffic_violation_history,,Non-negative Number,,Derived,Internal,2,Critical,
SCH-DRVR-000042,ENT-DRVR-000005,traffic_violation_type,Most significant traffic violation category.,Enumeration,No,No,,,Reference Integrity,Traffic Violation Type Master,Government Records,Internal,Speeding,High,
SCH-DRVR-000043,ENT-DRVR-000005,claim_history_indicator,Indicates whether the driver has previous insurance claims.,Boolean,Yes,Yes,claim_history,,Domain Constraint,,Derived,Internal,False,High,
