intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-INS-ALT-000001,ALERT,POLICY,POL-000001,Policy-000001,Renewal Due Alert,90,High,0.98,Renewal Schedule,MODEL-INS-ALT-001,2026-07-01,2026-07-30,Active,
INT-INS-ALT-000002,ALERT,POLICY,POL-000002,Policy-000002,Premium Payment Due,88,High,0.97,Payment Schedule,MODEL-INS-ALT-001,2026-07-01,2026-07-10,Active,
INT-INS-ALT-000003,ALERT,POLICY,POL-000003,Policy-000003,Coverage Expiry Alert,93,Critical,0.98,Coverage Timeline,MODEL-INS-ALT-002,2026-07-01,2026-07-05,Active,
INT-INS-ALT-000004,ALERT,POLICY,POL-000004,Policy-000004,Missing Add-on Alert,76,Medium,0.92,Coverage Analysis,MODEL-INS-ALT-002,2026-07-01,2026-07-15,Active,
INT-INS-ALT-000005,ALERT,POLICY,POL-000005,Policy-000005,Lapse Warning,84,High,0.95,Policy Status,MODEL-INS-ALT-003,2026-07-01,2026-07-20,Active,
INT-INS-ALT-000006,ALERT,POLICY,POL-000006,Policy-000006,High Claim Frequency Alert,82,High,0.94,Claim History,MODEL-INS-ALT-003,2026-07-01,2026-07-31,Active,
INT-INS-ALT-000007,ALERT,POLICY,POL-000007,Policy-000007,Suspicious Policy Activity,91,Critical,0.97,Fraud Signals,MODEL-INS-ALT-004,2026-07-01,2026-07-05,Active,
INT-INS-ALT-000008,ALERT,POLICY,POL-000008,Policy-000008,Policy Review Recommended,74,Medium,0.91,Combined Intelligence,MODEL-INS-ALT-004,2026-07-01,2026-07-31,Active,
INT-INS-ALT-000009,ALERT,POLICY,POL-000009,Policy-000009,Auto Debit Failed,89,High,0.96,Payment Gateway,MODEL-INS-ALT-005,2026-07-01,2026-07-03,Active,
INT-INS-ALT-000010,ALERT,POLICY,POL-000010,Policy-000010,NCB Eligibility Alert,70,Medium,0.91,Claim History,MODEL-INS-ALT-005,2026-07-01,2026-07-30,Active,
INT-INS-ALT-000011,ALERT,POLICY,POL-000011,Policy-000011,Coverage Gap Alert,83,High,0.94,Coverage Engine,MODEL-INS-ALT-006,2026-07-01,2026-07-15,Active,
INT-INS-ALT-000012,ALERT,POLICY,POL-000012,Policy-000012,Policy Cancellation Request,95,Critical,0.98,CRM,MODEL-INS-ALT-006,2026-07-01,2026-07-02,Active,
INT-INS-ALT-000013,ALERT,POLICY,POL-000013,Policy-000013,Document Pending Alert,73,Medium,0.90,Customer Portal,MODEL-INS-ALT-007,2026-07-01,2026-07-10,Active,
INT-INS-ALT-000014,ALERT,POLICY,POL-000014,Policy-000014,KYC Update Required,86,High,0.95,KYC System,MODEL-INS-ALT-007,2026-07-01,2026-07-20,Active,
INT-INS-ALT-000015,ALERT,POLICY,POL-000015,Policy-000015,High Service Request Volume,72,Medium,0.91,CRM Analytics,MODEL-INS-ALT-008,2026-07-01,2026-07-31,Active,
