version_id,prompt_id,version_number,release_type,is_default,approval_status,backward_compatible,evaluation_score,release_date,description,status
PV-000001,PR-000001,v1.0,Major,TRUE,Approved,TRUE,95.2,2026-01-15,Initial enterprise assistant prompt,Active
PV-000002,PR-000002,v1.0,Major,TRUE,Approved,TRUE,96.8,2026-01-20,RAG prompt release,Active
PV-000003,PR-000003,v1.0,Major,TRUE,Approved,TRUE,94.7,2026-02-01,Claims assistant prompt,Active
PV-000004,PR-000004,v1.0,Major,TRUE,Approved,TRUE,97.1,2026-02-05,Fraud investigation prompt,Active
PV-000005,PR-000005,v1.0,Major,TRUE,Approved,TRUE,95.6,2026-02-10,Recommendation prompt,Active
PV-000006,PR-000006,v1.0,Major,TRUE,Approved,TRUE,93.8,2026-02-15,Planning prompt,Active
PV-000007,PR-000007,v1.0,Major,TRUE,Approved,TRUE,96.5,2026-02-20,Evaluation prompt,Active
PV-000008,PR-000008,v1.0,Major,TRUE,Approved,TRUE,95.9,2026-03-01,Executive copilot prompt,Active
PV-000009,PR-000009,v1.0,Major,TRUE,Approved,TRUE,97.3,2026-03-05,Compliance advisor prompt,Active
PV-000010,PR-000010,v0.1,Experimental,FALSE,Pending,FALSE,89.1,2026-03-20,Research prompt,Experimental
