relationship_id,source_context,relationship_type,target_context,relationship_strength,relationship_nature,evidence_level,confidence_score,model_reference,remarks
REL-INS-000001,Timely Premium Payment,INCREASES,Renewal Probability,0.97,Causal,High,0.98,MODEL-INS-001,
REL-INS-000002,Late Premium Payment,INCREASES,Lapse Risk,0.96,Causal,High,0.97,MODEL-INS-002,
REL-INS-000003,Lapse Risk,DECREASES,Customer Lifetime Value,0.94,Causal,High,0.95,MODEL-INS-003,
REL-INS-000004,Long Policy Tenure,INCREASES,Loyalty Index,0.95,Causal,High,0.96,MODEL-INS-004,
REL-INS-000005,High Loyalty Index,INCREASES,Retention Probability,0.96,Causal,High,0.97,MODEL-INS-005,
REL-INS-000006,High Retention Probability,DECREASES,Customer Churn,0.94,Causal,High,0.95,MODEL-INS-006,
REL-INS-000007,Coverage Gap,INCREASES,Financial Exposure,0.95,Causal,High,0.96,MODEL-INS-007,
REL-INS-000008,Financial Exposure,RECOMMENDS,Coverage Upgrade,0.95,Business Rule,High,0.96,RULE-INS-001,
REL-INS-000009,Multiple Add-ons,INCREASES,Coverage Adequacy,0.92,Correlational,High,0.93,MODEL-INS-008,
REL-INS-000010,Coverage Adequacy,DECREASES,Claim Out-of-Pocket Cost,0.94,Causal,High,0.95,MODEL-INS-009,
REL-INS-000011,Frequent Endorsements,INCREASES,Servicing Cost,0.90,Causal,Medium,0.91,MODEL-INS-010,
REL-INS-000012,Digital Engagement,INCREASES,Renewal Rate,0.91,Correlational,Medium,0.92,MODEL-INS-011,
REL-INS-000013,Customer Satisfaction,INCREASES,Loyalty Index,0.94,Causal,High,0.95,MODEL-INS-012,
REL-INS-000014,High Claim Frequency,INCREASES,Premium Adjustment,0.95,Business Rule,High,0.96,RULE-INS-002,
REL-INS-000015,Claim-free Years,INCREASES,No Claim Bonus,0.99,Business Rule,High,0.99,RULE-INS-003,
REL-INS-000016,No Claim Bonus,INCREASES,Renewal Probability,0.92,Correlational,High,0.93,MODEL-INS-013,
REL-INS-000017,Auto Debit,DECREASES,Payment Delay Risk,0.96,Causal,High,0.97,MODEL-INS-014,
REL-INS-000018,Payment Delay Risk,INCREASES,Lapse Risk,0.95,Causal,High,0.96,MODEL-INS-015,
REL-INS-000019,Cross-sell Acceptance,INCREASES,Customer Lifetime Value,0.91,Correlational,Medium,0.92,MODEL-INS-016,
REL-INS-000020,Upsell Acceptance,INCREASES,Premium Value,0.90,Correlational,Medium,0.91,MODEL-INS-017,
REL-INS-000021,KYC Compliance,INCREASES,Policy Health Index,0.93,Causal,High,0.94,MODEL-INS-018,
REL-INS-000022,Policy Health Index,INCREASES,Retention Probability,0.95,Causal,High,0.96,MODEL-INS-019,
REL-INS-000023,Fraud Indicators,INCREASES,Manual Underwriting Review,0.97,Business Rule,High,0.98,RULE-INS-004,
REL-INS-000024,Manual Underwriting Review,DECREASES,Fraud Exposure,0.89,Causal,Medium,0.90,MODEL-INS-020,
REL-INS-000025,Excellent Servicing Experience,INCREASES,Customer Satisfaction,0.94,Causal,High,0.95,MODEL-INS-021,
REL-INS-000026,Customer Satisfaction,INCREASES,Positive Referrals,0.90,Correlational,Medium,0.91,MODEL-INS-022,
REL-INS-000027,Policy Portfolio Review,RECOMMENDS,Coverage Optimization,0.94,Business Rule,High,0.95,RULE-INS-005,
REL-INS-000028,Coverage Optimization,DECREASES,Coverage Gap,0.96,Causal,High,0.97,MODEL-INS-023,
REL-INS-000029,High Engagement Score,QUALIFIES_FOR,Preferred Customer Program,0.95,Business Rule,High,0.96,RULE-INS-006,
REL-INS-000030,Preferred Customer Program,INCREASES,Long-term Retention,0.93,Causal,High,0.94,MODEL-INS-024,
