observation_id,observation_type,subject_type,subject_code,subject_name,attribute,metric,metric_unit,observed_value,evidence_reference,evidence_type,observation_timestamp,geographic_scope,temporal_scope,source_type,source_name,collection_method,quality_score,confidence_score,version,remarks
OBS-REC2-000001,CLAIM_CONTEXT,CLAIM,CLM-000001,Claim-000001,Claim Status,Category,State,Survey Pending,CLAIM_STATUS_001,Claims System,2026-07-05T14:00:00Z,Mumbai,Current,CMS,Claim Management,System,0.99,0.99,v1.0,
OBS-REC2-000002,CLAIM_CONTEXT,CLAIM,CLM-000002,Claim-000002,Claim Severity,Score,index,82,CLAIM_ANALYSIS_002,Claim Analytics,2026-07-05T14:10:00Z,Pune,Current,CMS,Claim Analytics,Analytics,0.98,0.97,v1.0,
OBS-REC2-000003,FRAUD_CONTEXT,CASE,CASE-000003,Fraud Case-000003,Fraud Risk Score,Score,index,91,FRAUD_ENGINE_003,Fraud Intelligence,2026-07-05T14:20:00Z,Delhi,Current,Fraud,Fraud Engine,AI,0.99,0.98,v1.0,
OBS-REC2-000004,VEHICLE_CONTEXT,VEHICLE,VEH-000004,Vehicle-000004,Vehicle Health Index,Score,index,71,VEHICLE_DIAG_004,Vehicle Diagnostics,2026-07-05T14:30:00Z,Bengaluru,Current,Telematics,Vehicle Engine,Analytics,0.98,0.97,v1.0,
OBS-REC2-000005,HUMAN_CONTEXT,DRIVER,DRV-000005,Driver-000005,Driver Risk Score,Score,index,67,DRIVER_PROFILE_005,Driver Analytics,2026-07-05T14:40:00Z,Chennai,Current,Driver AI,Behaviour Analytics,AI,0.98,0.97,v1.0,
OBS-REC2-000006,ENVIRONMENT_CONTEXT,LOCATION,LOC-000006,Location-000006,Weather Severity,Score,index,86,WEATHER_API_006,Weather API,2026-07-05T14:50:00Z,Ahmedabad,Current,Weather,Weather Service,API,0.99,0.99,v1.0,
OBS-REC2-000007,ENVIRONMENT_CONTEXT,ROAD,RD-000007,Road Segment-000007,Road Condition Risk,Score,index,73,ROAD_ANALYSIS_007,Road Analytics,2026-07-05T15:00:00Z,Hyderabad,Current,Traffic,Road Intelligence,Analytics,0.98,0.97,v1.0,
OBS-REC2-000008,REPAIR_CONTEXT,GARAGE,GAR-000008,Garage-000008,Garage Capacity Utilization,Percentage,%,88,GARAGE_STATUS_008,Garage ERP,2026-07-05T15:10:00Z,Kolkata,Current,Repair,Garage Management,System,0.98,0.97,v1.0,
OBS-REC2-000009,REPAIR_CONTEXT,SURVEYOR,SUR-000009,Surveyor-000009,Surveyor Availability,Category,Status,Available,SURVEYOR_SYS_009,Surveyor Management,2026-07-05T15:20:00Z,Jaipur,Current,Survey,Survey Management,System,0.99,0.99,v1.0,
OBS-REC2-000010,CLAIM_CONTEXT,CLAIM,CLM-000010,Claim-000010,Claim Reserve Adequacy,Score,index,84,RESERVE_ENGINE_010,Reserve Analytics,2026-07-05T15:30:00Z,Surat,Current,Finance,Reserve Engine,Analytics,0.98,0.97,v1.0,
OBS-REC2-000011,CLAIM_CONTEXT,CLAIM,CLM-000011,Claim-000011,Settlement Progress,Percentage,%,46,SETTLEMENT_TRACKER_011,Settlement Tracker,2026-07-05T15:40:00Z,Nagpur,Current,CMS,Settlement System,System,0.98,0.97,v1.0,
OBS-REC2-000012,REPAIR_CONTEXT,CLAIM,CLM-000012,Claim-000012,Repair Progress,Percentage,%,58,REPAIR_TRACKER_012,Repair Tracker,2026-07-05T15:50:00Z,Goa,Current,Repair,Repair ERP,System,0.98,0.97,v1.0,
OBS-REC2-000013,OPERATIONS_CONTEXT,OPERATIONS,OPS-000013,Operations Center,SLA Compliance,Percentage,%,94,SLA_MONITOR_013,Operations Dashboard,2026-07-05T16:00:00Z,Indore,Current,Operations,SLA Monitor,System,0.99,0.98,v1.0,
OBS-REC2-000014,OPERATIONS_CONTEXT,OPERATIONS,OPS-000014,Operations Center,Operational Capacity,Percentage,%,79,CAPACITY_ENGINE_014,Capacity Planning,2026-07-05T16:10:00Z,Kochi,Current,Operations,Capacity Engine,Analytics,0.98,0.97,v1.0,
OBS-REC2-000015,OPERATIONS_CONTEXT,OPERATIONS,OPS-000015,Operations Center,Pending Case Load,Count,Cases,482,WORKLOAD_015,Operations Dashboard,2026-07-05T16:20:00Z,Lucknow,Current,Operations,Workload Monitor,System,0.99,0.98,v1.0,
OBS-REC2-000016,BUSINESS_CONTEXT,BUSINESS,BUS-000016,Business Unit,Resource Availability,Score,index,76,RESOURCE_PLAN_016,Resource Planning,2026-07-05T16:30:00Z,Bhopal,Current,Operations,Planning Engine,Analytics,0.98,0.97,v1.0,
OBS-REC2-000017,RISK_CONTEXT,RISK,RISK-000017,Risk Engine,Overall Operational Risk,Score,index,69,RISK_ENGINE_017,Risk Dashboard,2026-07-05T16:40:00Z,Patna,Current,Risk,Risk Engine,AI,0.99,0.98,v1.0,
OBS-REC2-000018,CUSTOMER_CONTEXT,CUSTOMER,CUS-000018,Customer-000018,Customer Satisfaction Score,Score,index,89,CSAT_ENGINE_018,Customer Feedback,2026-07-05T16:50:00Z,Noida,Current,CRM,Customer Analytics,Analytics,0.98,0.97,v1.0,
OBS-REC2-000019,FINANCIAL_CONTEXT,FINANCE,FIN-000019,Finance Unit,Estimated Financial Exposure,Currency,INR,825000,FIN_EXPOSURE_019,Financial Analytics,2026-07-05T17:00:00Z,Mumbai,Current,Finance,Exposure Engine,Analytics,0.99,0.98,v1.0,
OBS-REC2-000020,DECISION_CONTEXT,SYSTEM,REC-000020,Recommendation Engine,Operational Decision Readiness,Score,index,92,DECISION_ENGINE_020,Decision Engine,2026-07-05T17:10:00Z,Pune,Current,Recommendation,Decision Engine,AI,0.99,0.99,v1.0,
