intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-INS-IDX-000001,INDEX,POLICY,POL-000001,Policy-000001,Policy Health Index,96,Excellent,0.98,Combined Intelligence,MODEL-INS-IDX-001,2026-07-01,2026-12-31,Active,
INT-INS-IDX-000002,INDEX,POLICY,POL-000002,Policy-000002,Renewal Likelihood Index,82,High,0.96,Renewal History,MODEL-INS-IDX-001,2026-07-01,2026-12-31,Active,
INT-INS-IDX-000003,INDEX,POLICY,POL-000003,Policy-000003,Coverage Adequacy Index,74,Medium,0.94,Coverage Analysis,MODEL-INS-IDX-002,2026-07-01,2026-12-31,Active,
INT-INS-IDX-000004,INDEX,POLICY,POL-000004,Policy-000004,Payment Reliability Index,91,High,0.97,Payment History,MODEL-INS-IDX-002,2026-07-01,2026-12-31,Active,
INT-INS-IDX-000005,INDEX,POLICY,POL-000005,Policy-000005,Loyalty Index,79,High,0.94,Customer History,MODEL-INS-IDX-003,2026-07-01,2026-12-31,Active,
INT-INS-IDX-000006,INDEX,POLICY,POL-000006,Policy-000006,Claim Stability Index,88,High,0.95,Claim History,MODEL-INS-IDX-003,2026-07-01,2026-12-31,Active,
INT-INS-IDX-000007,INDEX,POLICY,POL-000007,Policy-000007,Add-on Utilization Index,63,Medium,0.92,Policy Features,MODEL-INS-IDX-004,2026-07-01,2026-12-31,Active,
INT-INS-IDX-000008,INDEX,POLICY,POL-000008,Policy-000008,Overall Policy Quality Index,86,High,0.96,Combined Intelligence,MODEL-INS-IDX-004,2026-07-01,2026-12-31,Active,
INT-INS-IDX-000009,INDEX,POLICY,POL-000009,Policy-000009,Digital Engagement Index,81,High,0.94,Portal Usage,MODEL-INS-IDX-005,2026-07-01,2026-12-31,Active,
INT-INS-IDX-000010,INDEX,POLICY,POL-000010,Policy-000010,Servicing Efficiency Index,92,Excellent,0.97,Service History,MODEL-INS-IDX-005,2026-07-01,2026-12-31,Active,
INT-INS-IDX-000011,INDEX,POLICY,POL-000011,Policy-000011,Customer Satisfaction Index,89,High,0.96,Feedback,MODEL-INS-IDX-006,2026-07-01,2026-12-31,Active,
INT-INS-IDX-000012,INDEX,POLICY,POL-000012,Policy-000012,Cross-sell Readiness Index,67,Medium,0.92,CRM Analytics,MODEL-INS-IDX-006,2026-07-01,2026-12-31,Active,
INT-INS-IDX-000013,INDEX,POLICY,POL-000013,Policy-000013,Upsell Readiness Index,73,Medium,0.93,CRM Analytics,MODEL-INS-IDX-007,2026-07-01,2026-12-31,Active,
INT-INS-IDX-000014,INDEX,POLICY,POL-000014,Policy-000014,Coverage Optimization Index,77,High,0.94,Coverage Engine,MODEL-INS-IDX-007,2026-07-01,2026-12-31,Active,
INT-INS-IDX-000015,INDEX,POLICY,POL-000015,Policy-000015,Customer Lifetime Value Index,93,Excellent,0.98,Business Intelligence,MODEL-INS-IDX-008,2026-07-01,2026-12-31,Active,
