reference_id,code,name,description,status,effective_date,expiry_date,source_authority,remarks
REF-DOC-000001,AADHAAR,Aadhaar Card,National identity document,Active,2026-01-01,,UIDAI,
REF-DOC-000002,PAN,PAN Card,Permanent Account Number card,Active,2026-01-01,,Income Tax Department,
REF-DOC-000003,DRIVING_LICENSE,Driving Licence,Driving licence issued by transport authority,Active,2026-01-01,,MoRTH,
REF-DOC-000004,REGISTRATION_CERTIFICATE,Registration Certificate,Vehicle Registration Certificate (RC),Active,2026-01-01,,MoRTH,
REF-DOC-000005,PUC,Pollution Under Control Certificate,Vehicle emission compliance certificate,Active,2026-01-01,,MoRTH,
REF-DOC-000006,POLICY_SCHEDULE,Policy Schedule,Issued insurance policy schedule,Active,2026-01-01,,Insurance Company,
REF-DOC-000007,CLAIM_FORM,Claim Form,Insurance claim application form,Active,2026-01-01,,Insurance Company,
REF-DOC-000008,FIR,First Information Report,Police FIR related to accident or theft,Active,2026-01-01,,Police Department,
REF-DOC-000009,SURVEY_REPORT,Survey Report,Insurance surveyor assessment report,Active,2026-01-01,,IRDAI Licensed Surveyor,
REF-DOC-000010,REPAIR_ESTIMATE,Repair Estimate,Workshop repair estimate,Active,2026-01-01,,Authorized Workshop,
REF-DOC-000011,REPAIR_INVOICE,Repair Invoice,Workshop invoice after repair,Active,2026-01-01,,Authorized Workshop,
REF-DOC-000012,MEDICAL_REPORT,Medical Report,Medical assessment document,Active,2026-01-01,,Hospital,
REF-DOC-000013,DEATH_CERTIFICATE,Death Certificate,Government death certificate,Active,2026-01-01,,Registrar of Births & Deaths,
REF-DOC-000014,BANK_PASSBOOK,Bank Passbook,Customer bank account proof,Active,2026-01-01,,Bank,
REF-DOC-000015,CANCELLED_CHEQUE,Cancelled Cheque,Bank account verification document,Active,2026-01-01,,Bank,
REF-DOC-000016,PASSPORT,Passport,Government passport,Active,2026-01-01,,Government of India,
REF-DOC-000017,VOTER_ID,Voter ID Card,Electoral identity document,Active,2026-01-01,,Election Commission of India,
REF-DOC-000018,PHOTO,Photograph,Identity photograph,Active,2026-01-01,,Customer,
REF-DOC-000019,VIDEO,Video Evidence,Accident or inspection video evidence,Active,2026-01-01,,Customer/Surveyor,
REF-DOC-000020,AUDIO,Audio Evidence,Voice recording submitted as evidence,Active,2026-01-01,,Customer,
