schema_id,entity_id,attribute_name,business_definition,data_type,required,derived,derived_from,default_value,validation_rule,reference_catalog,collection_source,privacy_class,example_value,ai_importance,remarks
SCH-REG-000001,ENT-REG-000001,regulation_identifier,Unique regulation identifier.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,REG-100001,Critical,
SCH-REG-000002,ENT-REG-000001,regulation_name,Official regulation title.,String,Yes,No,,,Required,,Regulatory,Public,Motor Insurance Service Regulations,Critical,
SCH-REG-000003,ENT-REG-000001,regulation_category,Classification of regulation.,Enumeration,Yes,No,,,Reference Integrity,Regulation Category Master,Regulatory,Internal,Claims Settlement,High,
SCH-REG-000004,ENT-REG-000001,regulation_scope,Business applicability of regulation.,Enumeration,Yes,No,,,Reference Integrity,Scope Master,Regulatory,Internal,Motor Insurance,High,
SCH-REG-000005,ENT-REG-000001,effective_date,Effective date.,Date,Yes,No,,,ISO Date,,Regulatory,Internal,2024-04-01,High,
SCH-REG-000006,ENT-REG-000001,expiry_date,Expiry date if applicable.,Date,No,No,,,ISO Date,,Regulatory,Internal,2030-03-31,Medium,
SCH-REG-000007,ENT-REG-000001,regulation_status,Current lifecycle status.,Enumeration,Yes,Yes,lifecycle_stage,,Reference Integrity,Lifecycle Status Master,Derived,Internal,Active,Critical,
SCH-REG-000008,ENT-REG-000001,regulation_summary,Simplified explanation.,Text,Yes,Yes,regulation_name,,Domain Constraint,,Derived,Public,Motor insurance regulation.,Low,
SCH-REG-000009,ENT-REG-000002,authority_identifier,Authority identifier.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,AUTH-100001,High,
SCH-REG-000010,ENT-REG-000002,authority_name,Official authority name.,String,Yes,No,,,Required,,Regulatory,Public,Insurance Regulatory and Development Authority of India,High,
SCH-REG-000011,ENT-REG-000002,authority_type,Authority classification.,Enumeration,Yes,No,,,Reference Integrity,Authority Type Master,Regulatory,Internal,Regulator,Medium,
SCH-REG-000012,ENT-REG-000002,jurisdiction,Applicable jurisdiction.,Enumeration,Yes,No,,,Reference Integrity,Country Master,Regulatory,Internal,India,Medium,
SCH-REG-000013,ENT-REG-000002,authority_status,Authority operational status.,Enumeration,Yes,No,,,Reference Integrity,Status Master,Regulatory,Internal,Active,Medium,
SCH-REG-000014,ENT-REG-000002,authority_summary,Simplified authority explanation.,Text,Yes,Yes,authority_name,,Domain Constraint,,Derived,Public,National insurance regulator.,Low,
SCH-REG-000015,ENT-REG-000003,reference_identifier,Legal reference identifier.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,LAW-100001,High,
SCH-REG-000016,ENT-REG-000003,act_name,Official act or statute name.,String,Yes,No,,,Required,,Regulatory,Public,Motor Vehicles Act 1988,Critical,
SCH-REG-000017,ENT-REG-000003,section_reference,Legal section reference.,String,Yes,No,,,Required,,Regulatory,Public,Section 146,Critical,
SCH-REG-000018,ENT-REG-000003,legal_applicability,Applicable business scope.,Enumeration,Yes,No,,,Reference Integrity,Applicability Master,Regulatory,Internal,Private Cars,High,
SCH-REG-000019,ENT-REG-000003,legal_status,Current legal status.,Enumeration,Yes,Yes,lifecycle_stage,,Reference Integrity,Legal Status Master,Derived,Internal,In Force,High,
SCH-REG-000020,ENT-REG-000003,reference_summary,Simplified legal explanation.,Text,Yes,Yes,act_name,,Domain Constraint,,Derived,Public,Mandatory third-party insurance.,Low,
SCH-REG-000021,ENT-REG-000004,circular_identifier,Unique circular identifier.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,CIR-100001,High,
SCH-REG-000022,ENT-REG-000004,circular_number,Official circular number.,String,Yes,No,,,Required,,Regulatory,Public,IRDAI/NL/CIR/001,High,
SCH-REG-000023,ENT-REG-000004,circular_issue_date,Issue date.,Date,Yes,No,,,ISO Date,,Regulatory,Internal,2024-05-10,Medium,
SCH-REG-000024,ENT-REG-000004,circular_subject,Subject of circular.,String,Yes,No,,,Required,,Regulatory,Public,Claim Settlement Timelines,Critical,
SCH-REG-000025,ENT-REG-000004,circular_status,Current status.,Enumeration,Yes,Yes,lifecycle_stage,,Reference Integrity,Lifecycle Status Master,Derived,Internal,Active,Medium,
SCH-REG-000026,ENT-REG-000004,circular_summary,Simplified circular explanation.,Text,Yes,Yes,circular_subject,,Domain Constraint,,Derived,Public,Updated claim settlement timelines.,Low,
SCH-REG-000027,ENT-REG-000005,rule_identifier,Business rule identifier.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,RULE-100001,Critical,
SCH-REG-000028,ENT-REG-000005,rule_name,Business rule name.,String,Yes,No,,,Required,,Regulatory,Internal,Claim Settlement Timeline,Critical,
SCH-REG-000029,ENT-REG-000005,rule_category,Rule category.,Enumeration,Yes,No,,,Reference Integrity,Rule Category Master,Regulatory,Internal,Claims,High,
SCH-REG-000030,ENT-REG-000005,rule_trigger,Business trigger.,String,Yes,No,,,Required,,Business,Internal,Claim Submitted,Critical,
SCH-REG-000031,ENT-REG-000005,rule_outcome,Expected business outcome.,Text,Yes,No,,,Required,,Business,Internal,Settlement within SLA,Critical,
SCH-REG-000032,ENT-REG-000005,rule_priority,Execution priority.,Enumeration,Yes,Yes,rule_engine,,Reference Integrity,Priority Master,Derived,Internal,High,Medium,
SCH-REG-000033,ENT-REG-000005,rule_status,Current rule status.,Enumeration,Yes,Yes,lifecycle_stage,,Reference Integrity,Lifecycle Status Master,Derived,Internal,Active,High,
SCH-REG-000034,ENT-REG-000005,rule_summary,Simplified rule explanation.,Text,Yes,Yes,rule_name,,Domain Constraint,,Derived,Public,Claims must be settled within SLA.,Low,
SCH-REG-000035,ENT-REG-000006,compliance_identifier,Compliance identifier.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,COMP-100001,High,
SCH-REG-000036,ENT-REG-000006,compliance_category,Compliance category.,Enumeration,Yes,No,,,Reference Integrity,Compliance Category Master,Regulatory,Internal,Claims Compliance,High,
SCH-REG-000037,ENT-REG-000006,compliance_trigger,Business event triggering compliance.,String,Yes,No,,,Required,,Business,Internal,Claim Settlement,High,
SCH-REG-000038,ENT-REG-000006,compliance_status,Current compliance status.,Enumeration,Yes,Yes,compliance_engine,,Reference Integrity,Compliance Status Master,Derived,Internal,Satisfied,Critical,
SCH-REG-000039,ENT-REG-000006,compliance_evidence,Evidence supporting compliance.,String,Yes,No,,,Required,,Business,Restricted,Settlement Record,High,
SCH-REG-000040,ENT-REG-000006,compliance_summary,Simplified compliance explanation.,Text,Yes,Yes,compliance_status,,Domain Constraint,,Derived,Public,Compliance satisfied.,Low,
SCH-REG-000041,ENT-REG-000007,version_number,Rule version number.,Integer,Yes,No,,,Positive Number,,Platform,Internal,2,Medium,
SCH-REG-000042,ENT-REG-000007,version_effective_date,Version effective date.,Date,Yes,No,,,ISO Date,,Regulatory,Internal,2024-04-01,Medium,
SCH-REG-000043,ENT-REG-000007,current_version_indicator,Current version indicator.,Boolean,Yes,Yes,version_history,,Domain Constraint,,Derived,Internal,True,Medium,
