schema_id,entity_id,attribute_name,business_definition,data_type,required,derived,derived_from,default_value,validation_rule,reference_catalog,collection_source,privacy_class,example_value,ai_importance,remarks
SCH-REC-000001,ENT-REC-000001,recommendation_identifier,Unique recommendation identifier.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,REC-100001,Critical,
SCH-REC-000002,ENT-REC-000001,recommendation_type,Recommendation classification.,Enumeration,Yes,No,,,Reference Integrity,Recommendation Type Master,Business,Internal,Policy Recommendation,Critical,
SCH-REC-000003,ENT-REC-000001,recommendation_target_identifier,Identifier of recommended business object.,Identifier,Yes,No,,,Reference Integrity,Entity Identifier Master,Derived,Internal,POL-100345,Critical,
SCH-REC-000004,ENT-REC-000001,recommendation_status,Current recommendation status.,Enumeration,Yes,Yes,lifecycle_stage,,Reference Integrity,Lifecycle Status Master,Derived,Internal,Active,High,
SCH-REC-000005,ENT-REC-000001,recommendation_timestamp,Generation timestamp.,DateTime,Yes,No,,,ISO DateTime,,System,Internal,2026-08-20T10:00:00,Medium,
SCH-REC-000006,ENT-REC-000001,recommendation_confidence,Overall recommendation confidence.,Decimal,Yes,Yes,reasoning_engine,,Percentage Range,,AI Generated,Internal,97,Critical,
SCH-REC-000007,ENT-REC-000001,recommendation_score,Overall recommendation score.,Decimal,Yes,Yes,ranking_engine,,Value Range,,AI Generated,Internal,96.5,Critical,
SCH-REC-000008,ENT-REC-000001,recommendation_summary,Simplified recommendation explanation.,Text,Yes,Yes,recommendation_score,,Domain Constraint,,Derived,Public,Best value comprehensive policy.,Low,
SCH-REC-000009,ENT-REC-000002,ranking_method,Ranking methodology.,Enumeration,Yes,No,,,Reference Integrity,Ranking Method Master,Business,Internal,Hybrid Ranking,Medium,
SCH-REC-000010,ENT-REC-000002,candidate_count,Number of evaluated candidates.,Integer,Yes,No,,,Positive Number,,AI Generated,Internal,24,Medium,
SCH-REC-000011,ENT-REC-000002,top_recommendation_identifier,Highest ranked recommendation.,Identifier,Yes,Yes,ranking_engine,,Reference Integrity,Recommendation Identifier Master,Derived,Internal,REC-100001,Critical,
SCH-REC-000012,ENT-REC-000002,ranking_position,Assigned ranking position.,Integer,Yes,Yes,ranking_engine,,Positive Number,,Derived,Internal,1,High,
