relationship_id,source_context,relationship_type,target_context,relationship_strength,relationship_nature,evidence_level,confidence_score,model_reference,remarks
REL-INF-000001,Poor Road Surface,INCREASES,Suspension Damage Risk,0.97,Causal,High,0.97,MODEL-INF-RISK-001,
REL-INF-000002,Suspension Damage Risk,INCREASES,Repair Cost,0.94,Causal,High,0.95,MODEL-REP-001,
REL-INF-000003,Repair Cost,RECOMMENDS,Zero Depreciation Cover,0.96,Rule-Based,High,0.97,RULE-REC-001,
REL-INF-000004,High Pothole Density,INCREASES,Tyre Damage Risk,0.95,Causal,High,0.96,MODEL-INF-RISK-001,
REL-INF-000005,Tyre Damage Risk,RECOMMENDS,Roadside Assistance,0.95,Rule-Based,High,0.96,RULE-REC-002,
REL-INF-000006,Poor Road Geometry,INCREASES,Accident Probability,0.93,Causal,High,0.94,MODEL-MOB-001,
REL-INF-000007,Sharp Curves,INCREASES,Vehicle Skidding Risk,0.91,Causal,Medium,0.92,MODEL-MOB-002,
REL-INF-000008,Steep Gradient,INCREASES,Brake Failure Risk,0.89,Causal,Medium,0.90,MODEL-VEH-001,
REL-INF-000009,Poor Street Lighting,INCREASES,Night Driving Risk,0.95,Causal,High,0.95,MODEL-INF-RISK-003,
REL-INF-000010,Night Driving Risk,INCREASES,Collision Probability,0.92,Causal,High,0.93,MODEL-MOB-003,
REL-INF-000011,Low CCTV Coverage,INCREASES,Vehicle Theft Risk,0.94,Causal,High,0.95,MODEL-FRD-001,
REL-INF-000012,Vehicle Theft Risk,RECOMMENDS,Comprehensive Insurance,0.98,Rule-Based,High,0.98,RULE-REC-003,
REL-INF-000013,Low Parking Security,INCREASES,Parking Damage Risk,0.92,Causal,Medium,0.93,MODEL-INF-RISK-004,
REL-INF-000014,Parking Damage Risk,INCREASES,Claim Frequency,0.88,Causal,Medium,0.90,MODEL-CLAIM-001,
REL-INF-000015,High Traffic Signal Density,DECREASES,Intersection Accident Risk,0.84,Causal,Medium,0.86,MODEL-MOB-004,
REL-INF-000016,Missing Pedestrian Crossing,INCREASES,Pedestrian Accident Risk,0.90,Causal,Medium,0.91,MODEL-MOB-005,
REL-INF-000017,High Emergency Response Distance,INCREASES,Claim Severity,0.91,Causal,High,0.92,MODEL-CLAIM-002,
REL-INF-000018,Low Workshop Density,INCREASES,Repair Delay,0.93,Causal,High,0.93,MODEL-REP-002,
REL-INF-000019,Repair Delay,DECREASES,Customer Satisfaction,0.89,Causal,Medium,0.90,MODEL-CUST-001,
REL-INF-000020,Low Fuel Station Density,INCREASES,Trip Planning Risk,0.82,Correlational,Medium,0.84,MODEL-INF-RISK-005,
REL-INF-000021,Low EV Charging Density,INCREASES,Range Anxiety,0.93,Causal,High,0.94,MODEL-INF-RISK-006,
REL-INF-000022,Range Anxiety,DECREASES,EV Adoption Probability,0.87,Correlational,Medium,0.88,MODEL-MARKET-001,
REL-INF-000023,Road Construction,INCREASES,Travel Delay,0.91,Causal,High,0.92,MODEL-MOB-006,
REL-INF-000024,Road Closure,BLOCKS,Route Accessibility,0.98,Causal,High,0.98,MODEL-MOB-007,
REL-INF-000025,Bridge Closure,BLOCKS,Traffic Flow,0.96,Causal,High,0.97,MODEL-MOB-008,
REL-INF-000026,Tunnel Closure,INCREASES,Travel Time,0.92,Causal,High,0.93,MODEL-MOB-009,
REL-INF-000027,Road Hazard Index,INCREASES,Overall Insurance Risk,0.94,Causal,High,0.95,MODEL-INF-IDX-001,
REL-INF-000028,Infrastructure Reliability Index,DECREASES,Claim Frequency,0.87,Causal,Medium,0.88,MODEL-CLAIM-003,
REL-INF-000029,Parking Safety Index,DECREASES,Vehicle Theft Risk,0.91,Causal,High,0.92,MODEL-FRD-002,
REL-INF-000030,Emergency Accessibility Index,DECREASES,Claim Severity,0.89,Causal,High,0.90,MODEL-CLAIM-004,
