schema_id,entity_id,attribute_name,business_definition,data_type,required,derived,derived_from,default_value,validation_rule,reference_catalog,collection_source,privacy_class,example_value,ai_importance,remarks
SCH-REP-000001,ENT-REP-000001,repair_identifier,Unique repair identifier.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,REP-100001,Critical,
SCH-REP-000002,ENT-REP-000001,repair_order_number,Official repair order number.,String,Yes,No,,,Required;Unique,,Workshop,Internal,RP202600123,Critical,
SCH-REP-000003,ENT-REP-000001,repair_status,Current repair workflow status.,Enumeration,Yes,Yes,repair_progress,,Reference Integrity,Workflow Status Master,Derived,Internal,In Progress,Critical,
SCH-REP-000004,ENT-REP-000001,repair_type,Classification of repair.,Enumeration,Yes,No,,,Reference Integrity,Repair Type Master,Business,Internal,Collision Repair,Critical,
SCH-REP-000005,ENT-REP-000001,repair_creation_date,Repair creation date.,Date,Yes,No,,,ISO Date,,Business,Internal,2026-08-15,High,
SCH-REP-000006,ENT-REP-000001,claim_identifier,Associated insurance claim.,Identifier,Yes,No,,,Reference Integrity,Claim Identifier Master,Claims,Internal,CLM-100001,Critical,
SCH-REP-000007,ENT-REP-000001,repair_priority,Business repair priority.,Enumeration,Yes,Yes,severity_engine,,Reference Integrity,Priority Master,Derived,Internal,High,Medium,
SCH-REP-000008,ENT-REP-000001,repair_summary,Simplified repair explanation.,Text,Yes,Yes,repair_type,,Domain Constraint,,Derived,Public,Collision repair approved.,Low,
SCH-REP-000009,ENT-REP-000002,workshop_identifier,Unique workshop identifier.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,WS-100001,High,
SCH-REP-000010,ENT-REP-000002,workshop_name,Official workshop name.,String,Yes,No,,,Required,,Business,Public,ABC Motors,Medium,
SCH-REP-000011,ENT-REP-000002,workshop_type,Classification of workshop.,Enumeration,Yes,No,,,Reference Integrity,Workshop Type Master,Business,Internal,Authorized Dealer,Medium,
SCH-REP-000012,ENT-REP-000002,workshop_location,Workshop location.,String,Yes,No,,,,,Business,Public,Pune,Low,
SCH-REP-000013,ENT-REP-000002,oem_authorization,OEM authorization indicator.,Boolean,Yes,No,,,,,Business,Internal,True,Medium,
SCH-REP-000014,ENT-REP-000002,cashless_facility,Cashless repair support.,Boolean,Yes,No,,,,,Business,Internal,True,Medium,
SCH-REP-000015,ENT-REP-000002,workshop_rating,Operational quality rating.,Decimal,Yes,Yes,feedback_engine,,Value Range,,Derived,Internal,4.8,Medium,
SCH-REP-000016,ENT-REP-000002,workshop_summary,Simplified workshop explanation.,Text,Yes,Yes,workshop_rating,,Domain Constraint,,Derived,Public,Authorized cashless workshop.,Low,
SCH-REP-000017,ENT-REP-000003,estimate_identifier,Unique repair estimate identifier.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,EST-100001,High,
SCH-REP-000018,ENT-REP-000003,estimate_date,Estimate preparation date.,Date,Yes,No,,,ISO Date,,Business,Internal,2026-08-15,Medium,
SCH-REP-000019,ENT-REP-000003,estimated_parts_cost,Estimated spare parts cost.,Decimal,Yes,No,,,Positive Number,,Business,Confidential,28000,Critical,
SCH-REP-000020,ENT-REP-000003,estimated_labor_cost,Estimated labor cost.,Decimal,Yes,No,,,Positive Number,,Business,Confidential,9000,Critical,
SCH-REP-000021,ENT-REP-000003,estimated_paint_cost,Estimated painting cost.,Decimal,No,No,,,Positive Number,,Business,Confidential,5500,Medium,
SCH-REP-000022,ENT-REP-000003,estimated_repair_duration,Estimated repair duration.,Integer,Yes,No,,,Positive Number,,Business,Internal,5,Critical,
SCH-REP-000023,ENT-REP-000003,estimate_status,Estimate approval status.,Enumeration,Yes,Yes,approval_workflow,,Reference Integrity,Workflow Status Master,Derived,Internal,Approved,Medium,
SCH-REP-000024,ENT-REP-000003,estimate_confidence,AI confidence for estimate.,Decimal,Yes,Yes,estimation_engine,,Percentage Range,,AI Generated,Internal,95,High,
SCH-REP-000025,ENT-REP-000003,estimate_summary,Simplified estimate explanation.,Text,Yes,Yes,estimated_parts_cost,,Domain Constraint,,Derived,Public,Estimated repair ₹42,500.,Low,
SCH-REP-000026,ENT-REP-000004,part_identifier,Unique spare part identifier.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,PART-100001,High,
SCH-REP-000027,ENT-REP-000004,part_name,Official spare part name.,String,Yes,No,,,Required,,Business,Public,Front Bumper,Medium,
SCH-REP-000028,ENT-REP-000004,part_category,Classification of spare part.,Enumeration,Yes,No,,,Reference Integrity,Part Category Master,Business,Internal,Body Panel,Medium,
SCH-REP-000029,ENT-REP-000004,oem_part_indicator,OEM part indicator.,Boolean,Yes,No,,,,,Business,Internal,True,High,
SCH-REP-000030,ENT-REP-000004,part_quantity,Quantity required.,Integer,Yes,No,,,Positive Number,,Business,Internal,1,Medium,
SCH-REP-000031,ENT-REP-000004,part_unit_cost,Unit cost.,Decimal,Yes,No,,,Positive Number,,Business,Confidential,18000,High,
SCH-REP-000032,ENT-REP-000004,part_availability,Availability status.,Enumeration,Yes,Yes,inventory_engine,,Reference Integrity,Inventory Status Master,Derived,Internal,Available,Medium,
SCH-REP-000033,ENT-REP-000004,part_summary,Simplified part explanation.,Text,Yes,Yes,part_name,,Domain Constraint,,Derived,Public,OEM bumper replacement.,Low,
