reference_id,organization_code,organization_name,organization_type,website,status,effective_date,expiry_date,source_authority,remarks
REF-MFR-000001,MSIL,Maruti Suzuki,Vehicle Manufacturer,https://www.marutisuzuki.com,Active,1981-02-24,,Manufacturer,
REF-MFR-000002,HYUNDAI,Hyundai Motor India,Vehicle Manufacturer,https://www.hyundai.com/in,Active,1996-05-06,,Manufacturer,
REF-MFR-000003,TATA,Tata Motors,Vehicle Manufacturer,https://cars.tatamotors.com,Active,1945-09-01,,Manufacturer,
REF-MFR-000004,MAHINDRA,Mahindra & Mahindra,Vehicle Manufacturer,https://auto.mahindra.com,Active,1945-10-02,,Manufacturer,
REF-MFR-000005,TOYOTA,Toyota Kirloskar Motor,Vehicle Manufacturer,https://www.toyotabharat.com,Active,1997-10-01,,Manufacturer,
REF-MFR-000006,HONDA,Honda Cars India,Vehicle Manufacturer,https://www.hondacarindia.com,Active,1995-12-01,,Manufacturer,
REF-MFR-000007,KIA,Kia India,Vehicle Manufacturer,https://www.kia.com/in,Active,2017-05-19,,Manufacturer,
REF-MFR-000008,MG,MG Motor India,Vehicle Manufacturer,https://www.mgmotor.co.in,Active,2017-01-01,,Manufacturer,
REF-MFR-000009,SKODA,Skoda Auto India,Vehicle Manufacturer,https://www.skoda-auto.co.in,Active,2001-01-01,,Manufacturer,
REF-MFR-000010,VOLKSWAGEN,Volkswagen India,Vehicle Manufacturer,https://www.volkswagen.co.in,Active,2007-01-01,,Manufacturer,
REF-MFR-000011,RENAULT,Renault India,Vehicle Manufacturer,https://www.renault.co.in,Active,2005-01-01,,Manufacturer,
REF-MFR-000012,NISSAN,Nissan Motor India,Vehicle Manufacturer,https://www.nissan.in,Active,2005-01-01,,Manufacturer,
REF-MFR-000013,BMW,BMW India,Vehicle Manufacturer,https://www.bmw.in,Active,2007-01-01,,Manufacturer,
REF-MFR-000014,MERCEDES,Mercedes-Benz India,Vehicle Manufacturer,https://www.mercedes-benz.co.in,Active,1994-01-01,,Manufacturer,
REF-MFR-000015,AUDI,Audi India,Vehicle Manufacturer,https://www.audi.in,Active,2007-01-01,,Manufacturer,
