observation_id,observation_type,subject_type,subject_code,subject_name,attribute,metric,metric_unit,observed_value,evidence_reference,evidence_type,observation_timestamp,geographic_scope,temporal_scope,source_type,source_name,collection_method,quality_score,confidence_score,version,remarks
OBS-FRD3-000001,NETWORK,CUSTOMER,CUS-000001,Customer-000001,Shared Mobile Number,Count,customers,3,NETWORK_GRAPH_001,Entity Resolution Report,2026-07-03T09:00:00Z,Mumbai,Current,Graph Engine,Entity Resolution,Graph Analytics,0.99,0.99,v1.0,
OBS-FRD3-000002,NETWORK,CUSTOMER,CUS-000002,Customer-000002,Shared Email Address,Count,customers,2,NETWORK_GRAPH_002,Entity Resolution Report,2026-07-03T09:15:00Z,Pune,Current,Graph Engine,Entity Resolution,Graph Analytics,0.99,0.98,v1.0,
OBS-FRD3-000003,NETWORK,CUSTOMER,CUS-000003,Customer-000003,Shared Residential Address,Count,policies,5,ADDRESS_LINK_003,Address Link Analysis,2026-07-03T09:30:00Z,Delhi,Current,CRM,Entity Resolution,Analytics,0.98,0.97,v1.0,
OBS-FRD3-000004,NETWORK,CUSTOMER,CUS-000004,Customer-000004,Shared Bank Account,Count,claims,4,BANK_LINK_004,Banking Analysis,2026-07-03T09:45:00Z,Bengaluru,Current,Finance,Payment Analytics,Analytics,0.99,0.98,v1.0,
OBS-FRD3-000005,NETWORK,GARAGE,GAR-000005,Garage-000005,Repeated Garage Usage,Count,claims,28,GARAGE_NETWORK_005,Garage Analytics Report,2026-07-03T10:00:00Z,Chennai,Current,Garage ERP,Garage Analytics,Analytics,0.98,0.97,v1.0,
OBS-FRD3-000006,NETWORK,SURVEYOR,SUR-000006,Surveyor-000006,Repeated Surveyor Assignment,Count,claims,17,SURVEYOR_NETWORK_006,Surveyor Analytics,2026-07-03T10:15:00Z,Ahmedabad,Current,CMS,Assignment Analytics,Analytics,0.98,0.97,v1.0,
OBS-FRD3-000007,NETWORK,WORKSHOP,WRK-000007,Workshop-000007,Shared Repair Workshop,Count,claims,21,WORKSHOP_NETWORK_007,Workshop Analytics,2026-07-03T10:30:00Z,Hyderabad,Current,Garage Network,Repair Analytics,Analytics,0.98,0.97,v1.0,
OBS-FRD3-000008,NETWORK,CUSTOMER,CUS-000008,Customer-000008,Shared Device Fingerprint,Count,accounts,6,DEVICE_GRAPH_008,Device Intelligence Report,2026-07-03T10:45:00Z,Kolkata,Current,Security,Device Intelligence,Analytics,0.99,0.98,v1.0,
OBS-FRD3-000009,NETWORK,CUSTOMER,CUS-000009,Customer-000009,Shared IP Address,Count,accounts,8,IP_GRAPH_009,Network Intelligence,2026-07-03T11:00:00Z,Jaipur,Current,Security,IP Analytics,Analytics,0.98,0.97,v1.0,
OBS-FRD3-000010,NETWORK,CUSTOMER,CUS-000010,Customer-000010,Social Network Similarity,Score,index,81,SOCIAL_GRAPH_010,Social Link Analysis,2026-07-03T11:15:00Z,Surat,Current,Graph Engine,Relationship Analytics,Graph Analytics,0.97,0.96,v1.0,
OBS-FRD3-000011,FRAUD_NETWORK,CASE,CASE-000011,Case-000011,Fraud Ring Probability,Score,index,88,FRAUD_RING_MODEL_011,Fraud Ring Detection Report,2026-07-03T11:30:00Z,Nagpur,Current,Fraud Engine,Graph AI,AI,0.99,0.98,v1.0,
OBS-FRD3-000012,INVESTIGATION,CASE,CASE-000012,Case-000012,Investigation Status,Category,Status,In Progress,SIU_CASE_012,Investigation Record,2026-07-03T11:45:00Z,Goa,Current,SIU,Case Management,System,0.99,0.99,v1.0,
OBS-FRD3-000013,INVESTIGATION,CASE,CASE-000013,Case-000013,SIU Assignment,Boolean,Flag,Assigned,SIU_ASSIGNMENT_013,Assignment Record,2026-07-03T12:00:00Z,Indore,Current,SIU,Case Management,System,0.99,0.99,v1.0,
OBS-FRD3-000014,INVESTIGATION,CASE,CASE-000014,Case-000014,Investigator Confidence,Score,index,92,INVESTIGATOR_REPORT_014,Investigation Report,2026-07-03T12:15:00Z,Kochi,Current,SIU,Case Report,Manual,0.98,0.97,v1.0,
OBS-FRD3-000015,INVESTIGATION,CASE,CASE-000015,Case-000015,Investigation Duration,Duration,days,14,CASE_TIMELINE_015,Case Timeline,2026-07-03T12:30:00Z,Lucknow,Current,SIU,Case Management,System,0.99,0.98,v1.0,
OBS-FRD3-000016,INVESTIGATION,CASE,CASE-000016,Case-000016,Investigation Outcome,Category,Type,Confirmed Fraud,CASE_RESULT_016,Investigation Report,2026-07-03T12:45:00Z,Bhopal,Current,SIU,Case Closure,System,0.99,0.99,v1.0,
OBS-FRD3-000017,LEGAL,CASE,CASE-000017,Case-000017,Legal Action Initiated,Boolean,Flag,Yes,LEGAL_CASE_017,Legal Record,2026-07-03T13:00:00Z,Patna,Current,Legal,Legal Management,System,0.99,0.98,v1.0,
OBS-FRD3-000018,RECOVERY,CASE,CASE-000018,Case-000018,Fraud Recovery Amount,Currency,INR,285000,RECOVERY_CASE_018,Recovery Report,2026-07-03T13:15:00Z,Noida,Current,Recovery,Recovery System,System,0.98,0.97,v1.0,
OBS-FRD3-000019,LOSS,CASE,CASE-000019,Case-000019,Confirmed Fraud Loss,Currency,INR,510000,LOSS_REPORT_019,Financial Loss Report,2026-07-03T13:30:00Z,Mumbai,Current,Finance,Loss Analytics,Analytics,0.99,0.99,v1.0,
OBS-FRD3-000020,CLOSURE,CASE,CASE-000020,Case-000020,Case Closure Status,Category,Status,Closed,CASE_CLOSURE_020,Case Closure Report,2026-07-03T13:45:00Z,Pune,Current,SIU,Case Management,System,0.99,0.99,v1.0,
