intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-HUM-IDX-000001,INDEX,DRIVER,DRV-000001,Driver-000001,Driving Safety Index,94,Excellent,0.98,Multiple Observations,MODEL-HUM-IDX-001,2026-07-01,2026-12-31,Active,
INT-HUM-IDX-000002,INDEX,DRIVER,DRV-000002,Driver-000002,Aggressive Driving Index,81,High,0.96,OBS-HUM1-000002;OBS-HUM1-000003,MODEL-HUM-IDX-001,2026-07-01,2026-12-31,Active,
INT-HUM-IDX-000003,INDEX,DRIVER,DRV-000003,Driver-000003,Distraction Index,73,High,0.95,OBS-HUM2-000002;OBS-HUM2-000003,MODEL-HUM-IDX-002,2026-07-01,2026-12-31,Active,
INT-HUM-IDX-000004,INDEX,DRIVER,DRV-000004,Driver-000004,Fatigue Index,69,Medium,0.94,OBS-HUM2-000004,MODEL-HUM-IDX-002,2026-07-01,2026-12-31,Active,
INT-HUM-IDX-000005,INDEX,DRIVER,DRV-000005,Driver-000005,Traffic Compliance Score,96,Excellent,0.98,OBS-HUM2-000010,MODEL-HUM-IDX-003,2026-07-01,2026-12-31,Active,
INT-HUM-IDX-000006,INDEX,DRIVER,DRV-000006,Driver-000006,Eco Driving Score,83,High,0.95,OBS-HUM3-000002,MODEL-HUM-IDX-003,2026-07-01,2026-12-31,Active,
INT-HUM-IDX-000007,INDEX,DRIVER,DRV-000007,Driver-000007,Driving Consistency Index,89,High,0.96,OBS-HUM3-000004,MODEL-HUM-IDX-004,2026-07-01,2026-12-31,Active,
INT-HUM-IDX-000008,INDEX,DRIVER,DRV-000008,Driver-000008,Defensive Driving Index,92,Excellent,0.97,OBS-HUM3-000011,MODEL-HUM-IDX-004,2026-07-01,2026-12-31,Active,
INT-HUM-IDX-000009,INDEX,DRIVER,DRV-000009,Driver-000009,Driver Trust Score,90,High,0.97,Multiple Observations,MODEL-HUM-IDX-005,2026-07-01,2026-12-31,Active,
INT-HUM-IDX-000010,INDEX,DRIVER,DRV-000010,Driver-000010,Risk Taking Index,64,Medium,0.93,OBS-HUM3-000012,MODEL-HUM-IDX-005,2026-07-01,2026-12-31,Active,
INT-HUM-IDX-000011,INDEX,DRIVER,DRV-000011,Driver-000011,Attention Score,93,Excellent,0.98,OBS-HUM2-000009,MODEL-HUM-IDX-006,2026-07-01,2026-12-31,Active,
INT-HUM-IDX-000012,INDEX,DRIVER,DRV-000012,Driver-000012,Overall Driver Quality Index,87,High,0.96,Multiple Observations,MODEL-HUM-IDX-006,2026-07-01,2026-12-31,Active,
