field_name,data_type,required,description,example
snapshot_id,string,Yes,Unique snapshot identifier,SNAP-000001
snapshot_timestamp,datetime,Yes,Time when the snapshot was generated,2026-07-01T10:00:00Z
snapshot_type,string,Yes,Type of contextual snapshot,CITY
geographic_scope,string,Yes,Area represented by the snapshot,Mumbai
temporal_scope,string,Yes,Applicable time period,Monsoon
observation_count,integer,Yes,Number of observations included,128
intelligence_count,integer,Yes,Number of intelligence records included,42
overall_risk_index,float,Yes,Overall normalized contextual risk score (0-100),81.7
active_alerts,string,No,Semicolon-separated active alerts,FLOOD_WARNING;HEAVY_TRAFFIC
dominant_contexts,string,Yes,Most influential contextual factors,FLOOD;TRAFFIC;ROAD_CONGESTION
confidence_score,float,Yes,Overall confidence score (0-1),0.96
version,string,Yes,Snapshot schema/version,v1.0
remarks,string,No,Additional notes,
