observation_id,observation_type,subject_type,subject_code,subject_name,attribute,metric,metric_unit,observed_value,evidence_reference,evidence_type,observation_timestamp,geographic_scope,temporal_scope,source_type,source_name,collection_method,quality_score,confidence_score,version,remarks
OBS-CLM3-000001,SETTLEMENT,CLAIM,CLM-000001,Claim-000001,Settlement Recommendation,Category,Type,Approve,SETTLEMENT_ENGINE_101,Decision Report,2026-07-05T09:00:00Z,Mumbai,Current,Settlement Engine,AI Decision Engine,AI,0.99,0.99,v1.0,
OBS-CLM3-000002,SETTLEMENT,CLAIM,CLM-000002,Claim-000002,Approved Settlement Amount,Currency,INR,118500,APPROVAL_DOC_102,Approval Document,2026-07-05T09:20:00Z,Pune,Current,CMS,Claims Approval,System,0.99,0.99,v1.0,
OBS-CLM3-000003,SETTLEMENT,CLAIM,CLM-000003,Claim-000003,Settlement Ratio,Percentage,%,92,SETTLEMENT_CALC_103,Settlement Report,2026-07-05T09:40:00Z,Delhi,Current,CMS,Settlement Engine,System,0.98,0.98,v1.0,
OBS-CLM3-000004,SETTLEMENT,CLAIM,CLM-000004,Claim-000004,Settlement Approval Time,Duration,hours,8,WORKFLOW_LOG_104,System Log,2026-07-05T10:00:00Z,Bengaluru,Current,Workflow,Approval Workflow,System,0.99,0.99,v1.0,
OBS-CLM3-000005,SETTLEMENT,CLAIM,CLM-000005,Claim-000005,Payment Date,Date,date,2026-07-06,PAYMENT_TXN_105,Payment Record,2026-07-05T10:20:00Z,Chennai,Current,Finance,Payment Gateway,System,0.99,0.99,v1.0,
OBS-CLM3-000006,SETTLEMENT,CLAIM,CLM-000006,Claim-000006,Payment Method,Category,Type,NEFT,PAYMENT_LOG_106,Bank Transaction,2026-07-05T10:40:00Z,Ahmedabad,Current,Finance,Bank Gateway,System,0.99,0.99,v1.0,
OBS-CLM3-000007,SETTLEMENT,CLAIM,CLM-000007,Claim-000007,Customer Acceptance,Boolean,Flag,Yes,CUSTOMER_ACK_107,Customer Acknowledgement,2026-07-05T11:00:00Z,Hyderabad,Current,CRM,Customer Portal,System,0.98,0.98,v1.0,
OBS-CLM3-000008,SETTLEMENT,CLAIM,CLM-000008,Claim-000008,Recovery Status,Category,Type,Pending,RECOVERY_CASE_108,Recovery File,2026-07-05T11:20:00Z,Kolkata,Current,Recovery,Recovery System,System,0.98,0.97,v1.0,
OBS-CLM3-000009,SETTLEMENT,CLAIM,CLM-000009,Claim-000009,Recovery Amount,Currency,INR,15000,RECOVERY_TXN_109,Recovery Report,2026-07-05T11:40:00Z,Jaipur,Current,Recovery,Recovery System,System,0.98,0.97,v1.0,
OBS-CLM3-000010,SETTLEMENT,CLAIM,CLM-000010,Claim-000010,Subrogation Status,Category,Type,Initiated,SUBROGATION_CASE_110,Legal Record,2026-07-05T12:00:00Z,Surat,Current,Legal,Legal Management,System,0.98,0.97,v1.0,
OBS-CLM3-000011,SETTLEMENT,CLAIM,CLM-000011,Claim-000011,Salvage Sold,Boolean,Flag,Yes,SALVAGE_AUCTION_111,Auction Record,2026-07-05T12:20:00Z,Nagpur,Current,Salvage,Salvage Portal,System,0.98,0.97,v1.0,
OBS-CLM3-000012,SETTLEMENT,CLAIM,CLM-000012,Claim-000012,Salvage Amount,Currency,INR,22500,SALVAGE_PAYMENT_112,Salvage Receipt,2026-07-05T12:40:00Z,Goa,Current,Salvage,Finance System,System,0.98,0.97,v1.0,
OBS-CLM3-000013,SETTLEMENT,CLAIM,CLM-000013,Claim-000013,Litigation Initiated,Boolean,Flag,No,LEGAL_STATUS_113,Legal Status Report,2026-07-05T13:00:00Z,Indore,Current,Legal,Legal System,System,0.99,0.98,v1.0,
OBS-CLM3-000014,SETTLEMENT,CLAIM,CLM-000014,Claim-000014,Ombudsman Complaint,Boolean,Flag,No,OMBUDSMAN_STATUS_114,Regulatory Record,2026-07-05T13:20:00Z,Kochi,Current,Regulatory,Complaint Portal,System,0.99,0.98,v1.0,
OBS-CLM3-000015,SETTLEMENT,CLAIM,CLM-000015,Claim-000015,Claim Closure Date,Date,date,2026-07-08,CLOSURE_REPORT_115,Closure Report,2026-07-05T13:40:00Z,Lucknow,Current,CMS,Claims Management System,System,0.99,0.99,v1.0,
OBS-CLM3-000016,SETTLEMENT,CLAIM,CLM-000016,Claim-000016,Claim Turnaround Time,Duration,days,8,PROCESS_AUDIT_116,Audit Report,2026-07-05T14:00:00Z,Bhopal,Current,CMS,Claims Analytics,Analytics,0.99,0.98,v1.0,
OBS-CLM3-000017,SETTLEMENT,CLAIM,CLM-000017,Claim-000017,Customer Satisfaction Score,Score,index,94,CSAT_SURVEY_117,Survey Report,2026-07-05T14:20:00Z,Patna,Current,CRM,Customer Survey,System,0.98,0.97,v1.0,
OBS-CLM3-000018,SETTLEMENT,CLAIM,CLM-000018,Claim-000018,Claim Reopened,Boolean,Flag,No,CLAIM_HISTORY_118,Claim History,2026-07-05T14:40:00Z,Noida,Current,CMS,Claims History,System,0.99,0.99,v1.0,
OBS-CLM3-000019,SETTLEMENT,CLAIM,CLM-000019,Claim-000019,Final Loss Amount,Currency,INR,121500,FINAL_SETTLEMENT_119,Settlement Report,2026-07-05T15:00:00Z,Mumbai,Current,Finance,Settlement System,System,0.99,0.99,v1.0,
OBS-CLM3-000020,SETTLEMENT,CLAIM,CLM-000020,Claim-000020,Claim Operational Cost,Currency,INR,6200,OPS_COST_120,Operational Report,2026-07-05T15:20:00Z,Pune,Current,Operations,Claims Analytics,Analytics,0.98,0.98,v1.0,
