intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-CLM-RISK-000001,RISK,CLAIM,CLM-000001,Claim-000001,Overall Claim Risk,24,Low,0.98,Combined Claim Observations,MODEL-CLM-RISK-001,2026-07-01,2026-07-31,Active,
INT-CLM-RISK-000002,RISK,CLAIM,CLM-000002,Claim-000002,Fraud Risk,71,High,0.96,Fraud Indicators,MODEL-CLM-RISK-001,2026-07-01,2026-07-31,Active,
INT-CLM-RISK-000003,RISK,CLAIM,CLM-000003,Claim-000003,Severity Risk,83,High,0.97,Damage Assessment,MODEL-CLM-RISK-002,2026-07-01,2026-07-31,Active,
INT-CLM-RISK-000004,RISK,CLAIM,CLM-000004,Claim-000004,Reserve Risk,64,Medium,0.94,Reserve Estimation,MODEL-CLM-RISK-002,2026-07-01,2026-07-31,Active,
INT-CLM-RISK-000005,RISK,CLAIM,CLM-000005,Claim-000005,Settlement Risk,55,Medium,0.93,Settlement Analysis,MODEL-CLM-RISK-003,2026-07-01,2026-07-31,Active,
INT-CLM-RISK-000006,RISK,CLAIM,CLM-000006,Claim-000006,Litigation Risk,62,Medium,0.94,Legal Assessment,MODEL-CLM-RISK-003,2026-07-01,2026-07-31,Active,
INT-CLM-RISK-000007,RISK,CLAIM,CLM-000007,Claim-000007,Recovery Risk,48,Medium,0.91,Recovery Analysis,MODEL-CLM-RISK-004,2026-07-01,2026-07-31,Active,
INT-CLM-RISK-000008,RISK,CLAIM,CLM-000008,Claim-000008,Leakage Risk,69,High,0.95,Financial Analysis,MODEL-CLM-RISK-004,2026-07-01,2026-07-31,Active,
INT-CLM-RISK-000009,RISK,CLAIM,CLM-000009,Claim-000009,Operational Risk,53,Medium,0.92,Claims Workflow,MODEL-CLM-RISK-005,2026-07-01,2026-07-31,Active,
INT-CLM-RISK-000010,RISK,CLAIM,CLM-000010,Claim-000010,Customer Escalation Risk,58,Medium,0.91,Customer Behaviour,MODEL-CLM-RISK-005,2026-07-01,2026-07-31,Active,
INT-CLM-RISK-000011,RISK,CLAIM,CLM-000011,Claim-000011,Document Risk,37,Low,0.90,Document Verification,MODEL-CLM-RISK-006,2026-07-01,2026-07-31,Active,
INT-CLM-RISK-000012,RISK,CLAIM,CLM-000012,Claim-000012,Coverage Risk,44,Medium,0.91,Coverage Validation,MODEL-CLM-RISK-006,2026-07-01,2026-07-31,Active,
INT-CLM-RISK-000013,RISK,CLAIM,CLM-000013,Claim-000013,Repair Cost Risk,73,High,0.96,Repair Estimate,MODEL-CLM-RISK-007,2026-07-01,2026-07-31,Active,
INT-CLM-RISK-000014,RISK,CLAIM,CLM-000014,Claim-000014,Delay Risk,61,Medium,0.92,Claim Timeline,MODEL-CLM-RISK-007,2026-07-01,2026-07-31,Active,
INT-CLM-RISK-000015,RISK,CLAIM,CLM-000015,Claim-000015,Claim Health Risk,29,Low,0.97,Combined Intelligence,MODEL-CLM-RISK-008,2026-07-01,2026-07-31,Active,
